"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","15","0.6","false","1.5625","15","11.464448221116402","17.913200345494378"
"1","43","1.066","20","0.6","false","0.09765599999999999","20","5.240140332670675","0.5117311443272874"
"44","200","1.066","45","0.6","false","0.09765599999999999","45","1.0542194318499372","0.10295085283673745"
"201","410","1.066","30","0.6","false","0.048827999999999996","30","2.127785652989195","0.1038955178641564"
"411","430","1.066","12","0.6","false","0.07323","12","3.3422899345685018","0.2447558919084514"
"431","500","1.066","13","0.6","false","0.07323","13","0.8209781895214228","0.06012023281865379"
"501","750","1.066","13","0.6","false","0.054922","13","3.2754820427920284","0.17989602475422378"
"751","950","1.066","14","0.6","false","0.054922","14","0.846184805004076","0.04647416186043386"
"951","1066","1.066","15","0.6","false","0.041191","15","3.4719678883541802","0.14301382928919704"
"1067","1086","1.066","20","0.6","false","0.041191","20","1.108413413212175","0.0456566569036227"
"1087","1190","1.066","37","0.6","false","0.041191","37","0.9701720960120099","0.0399623588068307"
"1191","1220","1.066","48","0.6","false","0.041191","48","0.9053144776762074","0.037290808649960656"
"1221","1250","1.066","50","0.6","false","0.041191","50","0.8641813486952846","0.035596493934107465"
"1251","1279","1.066","53","0.6","false","0.041191","53","0.8316010190708144","0.034254477576545914"
"1280","1290","1.066","57","0.6","false","0.041191","57","0.8309455886156478","0.03422747974066715"
"1291","1315","1.066","56","0.6","false","0.041191","56","0.8075518067938365","0.03326386647364492"
"1316","1325","1.066","50","0.6","false","0.041191","50","0.7802132944148419","0.032137765810241754"
"1326","1348","1.066","57","0.6","false","0.030893","57","3.2718497523596675","0.10107725439964721"
"1349","1351","1.066","30","0.6","true","0.030893","30","0.8937693851486955","0.027611217615398653"
"1352","1377","1.066","30","0.6","false","0.030893","30","1.0090280709612018","0.031171904196204407"
"1378","1400","1.066","25","0.6","false","0.030893","25","0.9878724455838072","0.030518343461420554"
"1401","1430","1.066","24","0.6","false","0.030893","24","0.9397373986999179","0.029031307458036563"
"1431","1450","1.066","23","0.6","false","0.030893","23","0.9248883153883156","0.028572574727291234"
"1451","1490","1.066","26","0.6","false","0.030893","26","0.8982674799459337","0.02775017725796973"
"1491","1522","1.066","28","0.6","false","0.030893","28","0.8597473911328052","0.02656017615426575"
"1523","1541","1.066","34","0.6","false","0.030893","34","0.8532086025987998","0.026358173360084725"
"1542","1560","1.066","38","0.6","false","0.030893","38","0.8150700330199258","0.025179958530084565"
"1561","1600","1.066","50","0.6","false","0.023169","50","3.435923784831578","0.07960691817076282"
"1601","1650","1.066","63","0.6","false","0.023169","63","1.0264274055152875","0.023781296558383697"
"1651","1700","1.066","62","0.6","false","0.023169","62","0.9977225327410102","0.023116233361076464"
"1701","1801","1.066","113","0.6","false","0.023169","113","0.9419751108055189","0.021824621342253065"
"1802","1811","1.066","125","0.6","false","0.023169","125","0.8759387259847632","0.020294624342340976"
"1812","1821","1.066","134","0.6","false","0.023169","134","0.8410307465029664","0.019485841365727227"
"1822","1831","1.066","158","0.6","false","0.023169","158","0.8568147751204723","0.019851541524766224"
"1832","1841","1.066","202","0.6","false","0.023169","202","0.8892080997439225","0.020602062462966936"
"1842","1851","1.066","274","0.6","false","0.023169","274","0.9099071810334312","0.021081639477363565"
"1852","1861","1.066","290","0.6","false","0.023169","290","0.8278660080108212","0.019180827539602714"
"1862","1871","1.066","315","0.6","false","0.023169","315","0.8311559290847479","0.01925705172096452"
"1872","1881","1.066","350","0.6","false","0.023169","350","0.8170687218486","0.018930665216510212"
"1882","1891","1.066","378","0.6","false","0.023169","378","0.7960196563623938","0.0184429794182603"
"1892","1901","1.066","382","0.6","false","0.023169","382","0.7828231470883548","0.018137229494890092"
"1902","1911","1.003","421","0.13","false","0.023169","421","0.8081188240824023","0.01872330503516518"
"1912","1921","1.003","440","0.13","false","0.017376","440","3.20780804353861","0.055738872564526885"
"1922","1931","1.003","450","0.13","false","0.017376","450","1.017459243974084","0.017679371823293683"
"1932","1941","1.003","502","0.13","false","0.017376","502","1.0825604383949157","0.018810570177550053"
"1942","1951","1.003","528","0.13","false","0.017376","528","1.061423972264356","0.018443302942065448"
"1952","1961","1.003","559","0.13","false","0.017376","559","1.0546541873301123","0.01832567115904803"
"1962","1971","1.003","563","0.13","false","0.017376","563","1.0468903487635317","0.018190766700115126"
"1972","1981","1.003","574","0.13","false","0.017376","574","1.0316187533418106","0.0179254074580673"
"1982","1991","1.003","593","0.13","false","0.017376","593","1.0308582166892988","0.017912192373193254"
"1992","2001","1.003","632","0.13","false","0.017376","632","1.0363623561854443","0.01800783230107828"
"2002","2011","1.003","656","0.13","false","0.017376","656","1.02483078053477","0.017807459642572163"
"2012","2015","1.003","662","0.13","false","0.017376","662","1.0026750686551422","0.01742248199295175"
