"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","15","0.35","false","25.0","15","90","41","1.3607188616977361","34.017971542443405","150.0","false"
"1","43","20","0.35","false","18.75","20","90","41","3.814721162910018","71.52602180456283","150.0","false"
"44","200","45","0.35","false","18.75","45","90","41","1.163854737484289","21.822276327830416","150.0","false"
"201","410","30","0.35","false","18.75","30","90","41","1.156046643012724","21.675874556488576","150.0","false"
"411","430","12","0.35","false","18.75","12","90","41","1.1277715757293763","21.145717044925803","150.0","false"
"431","500","13","0.35","false","18.75","13","90","41","1.2036630036630043","22.56868131868133","150.0","false"
"501","750","13","0.35","false","18.75","13","90","41","1.3018505050505096","24.409696969697055","150.0","false"
"751","950","14","0.35","false","18.75","14","90","41","1.287117243867247","24.13344832251088","150.0","false"
"951","1066","15","0.35","false","28.90625","15","90","41","2.9807184796732233","86.16139355305411","150.0","false"
"1067","1086","20","0.35","false","28.90625","20","90","41","0.8071795076281212","23.332532642375376","150.0","false"
"1087","1190","37","0.35","false","28.90625","37","90","41","0.8069890351528735","23.32702679738775","150.0","false"
"1191","1220","48","0.35","false","21.679686999999998","48","90","41","3.4436022253736245","74.65621839860363","150.0","false"
"1221","1250","50","0.35","false","21.679686999999998","50","90","41","1.0624066320805474","23.032643250230425","150.0","false"
"1251","1279","53","0.35","false","21.679686999999998","53","90","41","1.06378930071486","23.06261907344704","150.0","false"
"1280","1290","57","0.35","false","21.679686999999998","57","90","41","1.0586391821685939","22.950966115351093","150.0","false"
"1291","1315","56","0.35","false","21.679686999999998","56","90","41","1.0540917864558266","22.852379999633158","150.0","false"
"1316","1325","50","0.35","false","21.679686999999998","50","90","41","1.0442534681201179","22.639088337508632","150.0","false"
"1326","1348","57","0.35","false","21.679686999999998","57","90","41","1.0743936025190863","23.292517017416202","150.0","false"
"1349","1351","30","0.35","true","21.679686999999998","30","90","41","0.8948247978436658","19.399521537088948","150.0","false"
"1352","1377","30","0.35","false","21.679686999999998","30","90","41","1.0595269124361277","22.970211829691653","150.0","false"
"1378","1400","25","0.35","false","21.679686999999998","25","90","41","1.0618460394742906","23.02048977799226","150.0","false"
"1401","1430","24","0.35","false","21.679686999999998","24","90","41","1.0589844468467657","22.958451345506017","150.0","false"
"1431","1450","23","0.35","false","21.679686999999998","23","90","41","1.0978658949745903","23.80138897102399","150.0","false"
"1451","1490","26","0.35","false","21.679686999999998","26","90","41","1.065317243355001","23.09574439163925","150.0","false"
"1491","1522","28","0.35","false","21.679686999999998","28","90","41","1.0526385543301309","22.82087438200973","150.0","false"
"1523","1541","34","0.35","false","21.679686999999998","34","90","41","1.0714114022530539","23.227863849077302","150.0","false"
"1542","1560","38","0.35","false","21.679686999999998","38","90","41","1.0990645980571578","23.82737647865999","150.0","false"
"1561","1600","50","0.31","false","21.679686999999998","50","90","41","1.086764263321607","23.56070907159802","150.0","false"
"1601","1650","63","0.29","false","21.679686999999998","63","90","41","1.1007839775000319","23.86465208681573","150.0","false"
"1651","1700","62","0.26","false","21.679686999999998","62","90","41","1.0880904723117641","23.58946086740121","150.0","false"
"1701","1801","0","0.25","false","23.821257","113","90","41","1.0","23.821257","150.0","false"
"1802","1811","0","0.28","false","23.821257","125","90","41","1.0","23.821257","150.0","false"
"1812","1821","0","0.28","false","23.821257","134","90","41","1.0","23.821257","150.0","false"
"1822","1831","0","0.26","false","61.910627999999996","158","90","41","1.0","61.910627999999996","150.0","false"
"1832","1841","0","0.25","false","61.910627999999996","202","90","41","1.0","61.910627999999996","150.0","false"
"1842","1851","0","0.22","false","30.955313999999998","274","90","41","1.0","30.955313999999998","150.0","false"
"1852","1861","0","0.25","false","23.216485","290","90","41","1.0","23.216485","150.0","false"
"1862","1871","0","0.22","false","42.412363","315","90","41","1.0","42.412363","150.0","false"
"1872","1881","0","0.21","false","23.856952999999997","350","90","41","1.0","23.856952999999997","150.0","false"
"1882","1891","0","0.19","false","23.856952999999997","378","90","41","1.0","23.856952999999997","150.0","false"
"1892","1901","0","0.18","false","23.856952999999997","382","90","41","1.0","23.856952999999997","150.0","false"
"1902","1911","0","0.13","false","61.928475999999996","421","90","41","1.0","61.928475999999996","150.0","false"
"1912","1921","0","0.14","false","24.19081","440","90","41","1.0","24.19081","150.0","false"
"1922","1931","0","0.12","false","24.19081","450","90","41","1.0","24.19081","150.0","false"
"1932","1941","0","0.07","false","62.095405","502","90","41","1.0","62.095405","150.0","false"
"1942","1951","0","0.08","false","62.095405","528","90","41","1.0","62.095405","150.0","false"
"1952","1961","0","0.09","false","62.095405","559","90","41","1.0","62.095405","150.0","true"
"1962","1971","0","0.1","false","62.095405","563","90","41","1.0","62.095405","150.0","true"
"1972","1981","0","0.07","false","24.256016","574","90","41","1.0","24.256016","150.0","true"
"1982","1991","0","0.1","false","24.256016","593","90","41","1.0","24.256016","150.0","true"
"1992","2001","0","0.09","false","62.128007999999994","632","90","41","1.0","62.128007999999994","150.0","true"
"2002","2011","0","0.09","false","62.128007999999994","656","90","41","1.0","62.128007999999994","150.0","true"
"2012","2015","0","0.09","false","62.128007999999994","662","90","41","1.0","62.128007999999994","150.0","true"
