"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","3.90625","1500","90","41","5.159682615613943","20.155010217241966","0.00375","false","true"
"-50","0","1500","0.35","false","3.90625","1500","90","41","1.9153662303526384","7.481899337314994","0.00375","false","true"
"1","43","2000","0.35","false","3.90625","2000","90","41","1.9306970551248146","7.541785371581307","0.00375","false","true"
"44","200","4500","0.35","false","3.90625","4500","90","41","1.926232404289479","7.524345329255777","0.00375","false","true"
"201","410","3000","0.35","false","3.90625","3000","90","41","1.9122202656448546","7.469610412675213","0.00375","false","true"
"411","430","1250","0.35","false","3.90625","1250","90","41","1.8378292296982965","7.179020428508971","0.00375","false","true"
"431","500","1300","0.35","false","3.90625","1300","90","41","1.9181100833201696","7.492617512969413","0.00375","false","true"
"501","750","1300","0.35","false","3.90625","1300","90","41","1.9179222581580682","7.491883820929954","0.00375","false","true"
"751","950","1400","0.35","false","3.90625","1400","90","41","1.9167839677384904","7.487437373978478","0.00375","false","true"
"951","1066","1500","0.35","false","3.90625","1500","90","41","1.9193106865449163","7.497307369316079","0.00375","false","true"
"1067","1086","2000","0.35","false","3.90625","2000","90","41","1.942797641863793","7.589053288530441","0.00375","false","true"
"1087","1190","3700","0.35","false","3.90625","3700","90","41","1.928697317500889","7.533973896487848","0.00375","false","true"
"1191","1220","4800","0.35","false","3.90625","4800","90","41","1.9344563033735402","7.556469935052892","0.00375","false","true"
"1221","1250","5000","0.35","false","3.90625","5000","90","41","1.9190589648950585","7.496324081621322","0.00375","false","true"
"1251","1279","5300","0.35","false","3.90625","5300","90","41","1.9193794852882218","7.497576114407116","0.00375","false","true"
"1280","1290","5700","0.35","false","3.90625","5700","90","41","1.928288747188133","7.532377918703644","0.00375","false","true"
"1291","1315","5600","0.35","false","3.90625","5600","90","41","1.9159088854603343","7.484019083829431","0.00375","false","true"
"1316","1325","5000","0.35","false","3.90625","5000","90","41","1.8914713524792082","7.388559970621907","0.00375","false","true"
"1326","1348","5700","0.35","false","3.90625","5700","90","41","1.928789339197636","7.534333356240766","0.00375","false","true"
"1349","1351","3000","0.35","true","3.90625","3000","90","41","1.5671897811295743","6.1218350825374","0.00375","false","true"
"1352","1377","3000","0.35","false","3.90625","3000","90","41","1.9181424152113127","7.49274380941919","0.00375","false","true"
"1378","1400","2500","0.35","false","3.90625","2500","90","41","1.8997644187666776","7.4209547608073345","0.00375","false","true"
"1401","1430","2400","0.35","false","3.90625","2400","90","41","1.9137502645433535","7.475586970872475","0.00375","false","true"
"1431","1450","2300","0.35","false","3.90625","2300","90","41","1.9135684671723354","7.474876824891935","0.00375","false","true"
"1451","1490","2600","0.35","false","3.90625","2600","90","41","1.9233032997336152","7.512903514584434","0.00375","false","true"
"1491","1522","2800","0.35","false","3.90625","2800","90","41","1.9226872517337583","7.5104970770849935","0.00375","false","true"
"1523","1541","3400","0.35","false","3.90625","3400","90","41","1.9365506833672697","7.564651106903397","0.00375","false","true"
"1542","1560","3800","0.35","false","3.90625","3800","90","41","1.9260921622561655","7.523797508813146","0.00375","false","true"
"1561","1600","5000","0.31","false","3.90625","5000","90","41","1.9372776473978273","7.5674908101477625","0.00375","false","true"
"1601","1650","6300","0.29","false","3.90625","6300","90","41","1.938307642005577","7.571514226584285","0.00375","false","true"
"1651","1700","6200","0.26","false","3.90625","6200","90","41","1.9376745251043561","7.569041113688891","0.00375","false","true"
"1701","1801","11300","0.25","false","3.90625","11300","90","41","1.9529916851222169","7.62887377000866","0.00375","false","true"
"1802","1811","12500","0.28","false","3.90625","12500","90","41","1.9535788320880474","7.631167312843935","0.00375","false","true"
"1812","1821","13400","0.28","false","3.90625","13400","90","41","1.9498022267916504","7.616414948404884","0.00375","false","true"
"1822","1831","15800","0.26","false","3.90625","15800","90","41","1.9723455259862568","7.704474710883815","0.00375","false","true"
"1832","1841","20200","0.25","false","3.90625","20200","90","41","1.9884035362733943","7.767201313567947","0.00375","false","true"
"1842","1851","27400","0.22","false","3.90625","27400","90","41","2.0105592505175607","7.8537470723342215","0.00375","false","true"
"1852","1861","29000","0.25","false","3.90625","29000","90","41","1.9497263223635568","7.616118446732644","0.00375","false","true"
"1862","1871","31500","0.22","false","3.90625","31500","90","41","1.9676335560778644","7.686068578429158","0.00375","false","true"
"1872","1881","35000","0.21","false","3.90625","35000","90","41","1.9721898198008336","7.7038664835970065","0.00375","false","true"
"1882","1891","37800","0.19","false","3.90625","37800","90","41","1.9721645914174064","7.703767935224244","0.00375","false","true"
"1892","1901","38200","0.18","false","3.90625","38200","90","41","1.9627652174680215","7.667051630734459","0.00375","false","true"
"1902","1911","42100","0.13","false","3.90625","42100","90","41","1.9968927173710704","7.800362177230744","0.00375","false","true"
"1912","1921","44000","0.14","false","3.90625","44000","90","41","1.983057427092384","7.746318074579625","0.00375","false","true"
"1922","1931","45000","0.12","false","3.90625","45000","90","41","1.988529356081401","7.767692797192972","0.00375","false","true"
"1932","1951","50200","0.07","false","3.90625","50200","90","41","2.0148143402894076","7.870368516755499","0.00375","false","true"
"1952","1961","55900","0.09","false","3.90625","55900","90","41","2.024924728024083","7.909862218844075","0.00375","false","true"
"1962","1971","56300","0.1","false","3.90625","56300","90","41","2.0087614036720334","7.84672423309388","0.00375","false","true"
"1972","1981","57400","0.07","false","3.90625","57400","90","41","2.0226175833597924","7.900849934999189","0.00375","true","true"
"1982","1991","59300","0.1","false","3.90625","59300","90","41","2.019595357446483","7.889044365025324","0.00375","true","true"
"1992","2001","63200","0.09","false","3.90625","63200","90","41","2.0379848252294495","7.960878223552537","0.00375","true","true"
"2002","2011","65600","0.09","false","3.90625","65600","90","41","2.058713049603585","8.041847850014003","0.00375","true","true"
"2012","2015","66270","0.09","false","3.90625","66270","90","41","2.068383900974893","8.079624613183176","0.00375","true","true"
