"Epoch Start Year","Epoch End Year","Epoch Kill Constant","Epoch Environment Capacity","Epoch Enable Fitness","Epoch Breeding Probability","Year","Epoch Fitness Factor","Epoch Expected Max Population","Population","Number Born","Number Killed","Born Elapsed","Kill Elapsed","Avg Fitness","Fitness Deviation","Average Age"
"-50","0","1.066","1500.0","true","0.6","-50","1.2509375","1500","1162","0","338","0.0","0.01","0.8237178958860502","0.146717841018571","0"
"-50","0","1.066","1500.0","true","0.6","-49","1.2509375","1500","1106","0","56","0.0","0.0","1.0968799604890251","0.1708871421993328","1"
"-50","0","1.066","1500.0","true","0.6","-48","1.2509375","1500","1084","0","22","0.0","0.0","1.1668325266740138","0.1685484279038091","2"
"-50","0","1.066","1500.0","true","0.6","-47","1.2509375","1500","1064","0","20","0.0","0.0","1.1971797098852646","0.1652592947448782","3"
"-50","0","1.066","1500.0","true","0.6","-46","1.2509375","1500","1044","0","20","0.0","0.0","1.2262921350259304","0.16197004044136273","4"
"-50","0","1.066","1500.0","true","0.6","-45","1.2509375","1500","1032","0","12","0.0","0.0","1.2559476670734628","0.15978187826312185","5"
"-50","0","1.066","1500.0","true","0.6","-44","1.2509375","1500","1027","0","5","0.0","0.0","1.2745349546457634","0.15785296528457882","5"
"-50","0","1.066","1500.0","true","0.6","-43","1.2509375","1500","1021","0","6","0.0","0.0","1.2822983456237476","0.15736119183094752","6"
"-50","0","1.066","1500.0","true","0.6","-42","1.2509375","1500","1017","0","4","0.0","0.0","1.2920251521200987","0.15597624815972294","7"
"-50","0","1.066","1500.0","true","0.6","-41","1.2509375","1500","1012","0","5","0.0","0.0","1.2987888197879964","0.15444602428795717","9"
"-50","0","1.066","1500.0","true","0.6","-40","1.2509375","1500","1007","0","5","0.0","0.0","1.3071094608735174","0.15312767898725346","9"
"-50","0","1.066","1500.0","true","0.6","-39","1.2509375","1500","1005","0","2","0.0","0.0","1.3154981332907338","0.151773190321048","10"
"-50","0","1.066","1500.0","true","0.6","-38","1.2509375","1500","1001","0","4","0.0","0.0","1.3187140871931482","0.1516329646343025","11"
"-50","0","1.066","1500.0","true","0.6","-37","1.2509375","1500","1001","0","0","0.0","0.0","1.3253442216940925","0.150991426750391","12"
"-50","0","1.066","1500.0","true","0.6","-36","1.2509375","1500","999","0","2","0.0","0.0","1.3253442216940925","0.150991426750391","13"
"-50","0","1.066","1500.0","true","0.6","-35","1.2509375","1500","998","0","1","0.0","0.0","1.3286907655316962","0.15064783846657062","15"
"-50","0","1.066","1500.0","true","0.6","-34","1.2509375","1500","1297","300","1","0.01","0.0","1.3303085306099949","0.1506024926547509","12"
"-50","0","1.066","1500.0","true","0.6","-33","1.2509375","1500","1498","289","88","0.01","0.0","1.0238041805349756","0.11989838177472623","10"
"-50","0","1.066","1500.0","true","0.6","-32","1.2509375","1500","1491","247","254","0.0","0.0","0.8930654425775364","0.1029435092803102","9"
"-50","0","1.066","1500.0","true","0.6","-31","1.2509375","1500","1467","193","217","0.0","0.0","0.9079749693881249","0.1029074024119309","9"
"-50","0","1.066","1500.0","true","0.6","-30","1.2509375","1500","1435","174","206","0.0","0.0","0.9321450566360144","0.10397791029374602","9"
"-50","0","1.066","1500.0","true","0.6","-29","1.2509375","1500","1448","156","143","0.0","0.0","0.9628488109282399","0.1039384681123959","9"
"-50","0","1.066","1500.0","true","0.6","-28","1.2509375","1500","1432","145","161","0.0","0.0","0.9629888546957337","0.10295282368190828","9"
"-50","0","1.066","1500.0","true","0.6","-27","1.2509375","1500","1453","134","113","0.0","0.0","0.9827818026319409","0.10265123806533734","9"
"-50","0","1.066","1500.0","true","0.6","-26","1.2509375","1500","1420","115","148","0.0","0.0","0.9740135617485844","0.09847842190818118","9"
"-50","0","1.066","1500.0","true","0.6","-25","1.2509375","1500","1426","94","88","0.0","0.0","1.0070093253301011","0.09543764701903419","9"
"-50","0","1.066","1500.0","true","0.6","-24","1.2509375","1500","1456","103","73","0.0","0.0","1.0087413148185838","0.09256763437212003","9"
"-50","0","1.066","1500.0","true","0.6","-23","1.2509375","1500","1452","101","105","0.0","0.0","0.9908125650272127","0.09037185755145132","10"
"-50","0","1.066","1500.0","true","0.6","-22","1.2509375","1500","1423","80","109","0.0","0.0","0.9976688058328403","0.09016871052613933","10"
