"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","15000","0.6","false","3.75","15000","6.256172699123258","23.46064762171222","2.0E-4"
"1","43","1.066","20000","0.6","false","3.75","20000","0.9292483642899487","3.4846813660873077","2.0E-4"
"44","200","1.066","45000","0.6","false","3.75","45000","0.9098115142819041","3.4117931785571405","2.0E-4"
"201","410","1.066","30000","0.6","false","3.75","30000","0.8990133634187927","3.3713001128204727","2.0E-4"
"411","430","1.066","12500","0.6","false","3.75","12500","0.8615678544308183","3.2308794541155685","2.0E-4"
"431","500","1.066","13000","0.6","false","3.75","13000","0.9002880155605296","3.376080058351986","2.0E-4"
"501","750","1.066","13000","0.6","false","3.75","13000","0.8989962927108005","3.371236097665502","2.0E-4"
"751","950","1.066","14000","0.6","false","3.75","14000","0.8994043535512872","3.3727663258173273","2.0E-4"
"951","1066","1.066","15000","0.6","false","3.75","15000","0.8990133050575991","3.371299893965997","2.0E-4"
"1067","1086","1.066","20000","0.6","false","3.75","20000","0.9114195654313008","3.417823370367378","2.0E-4"
"1087","1190","1.066","37000","0.6","false","3.75","37000","0.9038008849142882","3.389253318428581","2.0E-4"
"1191","1220","1.066","48000","0.6","false","3.75","48000","0.9066303672577135","3.3998638772164256","2.0E-4"
"1221","1250","1.066","50000","0.6","false","3.75","50000","0.8996381670991495","3.3736431266218103","2.0E-4"
"1251","1279","1.066","53000","0.6","false","3.75","53000","0.8996753872726304","3.373782702272364","2.0E-4"
"1280","1290","1.066","57000","0.6","false","3.75","57000","0.9036386797745187","3.3886450491544453","2.0E-4"
"1291","1315","1.066","56000","0.6","false","3.75","56000","0.8977055658985159","3.3663958721194347","2.0E-4"
"1316","1325","1.066","50000","0.6","false","3.75","50000","0.8882190574412819","3.3308214654048074","2.0E-4"
"1326","1348","1.066","57000","0.6","false","3.75","57000","0.9032052843173232","3.387019816189962","2.0E-4"
"1349","1351","1.066","30000","0.6","true","3.75","30000","0.7344491276940865","2.7541842288528247","2.0E-4"
"1352","1377","1.066","30000","0.6","false","3.75","30000","0.8987272142988468","3.3702270536206758","2.0E-4"
"1378","1400","1.066","25000","0.6","false","3.75","25000","0.891032683835438","3.3413725643828927","2.0E-4"
"1401","1430","1.066","24000","0.6","false","3.75","24000","0.8972511772430966","3.364691914661612","2.0E-4"
"1431","1450","1.066","23000","0.6","false","3.75","23000","0.8958741835541091","3.359528188327909","2.0E-4"
"1451","1490","1.066","26000","0.6","false","3.75","26000","0.9004854957447413","3.37682060904278","2.0E-4"
"1491","1522","1.066","28000","0.6","false","3.75","28000","0.9000071893248365","3.3750269599681366","2.0E-4"
"1523","1541","1.066","34000","0.6","false","3.75","34000","0.9074176481067568","3.4028161804003383","2.0E-4"
"1542","1560","1.066","38000","0.6","false","3.75","38000","0.9029721157466981","3.386145434050118","2.0E-4"
"1561","1600","1.066","50000","0.6","false","3.75","50000","0.9043932984642353","3.3914748692408825","2.0E-4"
"1601","1650","1.066","63000","0.6","false","3.75","63000","0.902318594197265","3.383694728239744","2.0E-4"
