"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","15000","0.6","false","1.25","15000","3.433351924196499","4.291689905245624","2.0E-4"
"1","43","1.066","20000","0.6","false","0.9375","20000","3.5649336884324088","3.342125332905383","2.0E-4"
"44","200","1.066","45000","0.6","false","0.9375","45000","1.072258578920637","1.0052424177380972","2.0E-4"
"201","410","1.066","30000","0.6","false","0.9375","30000","1.0585217637569126","0.9923641535221056","2.0E-4"
"411","430","1.066","12500","0.6","false","0.9375","12500","1.0147064278344717","0.9512872760948172","2.0E-4"
"431","500","1.066","13000","0.6","false","0.9375","13000","1.0602370971245025","0.9939722785542211","2.0E-4"
"501","750","1.066","13000","0.6","false","0.9375","13000","1.0586169366401479","0.9924533781001387","2.0E-4"
"751","950","1.066","14000","0.6","false","0.9375","14000","1.0578383437985792","0.991723447311168","2.0E-4"
"951","1066","1.066","15000","0.6","false","0.9375","15000","1.0586928194596021","0.9925245182433771","2.0E-4"
"1067","1086","1.066","20000","0.6","false","0.9375","20000","1.073596010217419","1.0064962595788303","2.0E-4"
"1087","1190","1.066","37000","0.6","false","0.9375","37000","1.0636474289354547","0.9971694646269889","2.0E-4"
"1191","1220","1.066","48000","0.6","false","0.9375","48000","1.0667380044588686","1.0000668791801892","2.0E-4"
"1221","1250","1.066","50000","0.6","false","0.9375","50000","1.0591182602381652","0.9929233689732799","2.0E-4"
"1251","1279","1.066","53000","0.6","false","0.9375","53000","1.0598716762749252","0.9936296965077424","2.0E-4"
"1280","1290","1.066","57000","0.6","false","0.9375","57000","1.0647346086808662","0.9981886956383121","2.0E-4"
"1291","1315","1.066","56000","0.6","false","0.9375","56000","1.0566433235526138","0.9906031158305755","2.0E-4"
"1316","1325","1.066","50000","0.6","false","0.9375","50000","1.0456962063732713","0.9803401934749418","2.0E-4"
"1326","1348","1.066","57000","0.6","false","0.9375","57000","1.063071759300863","0.996629774344559","2.0E-4"
"1349","1351","1.066","30000","0.6","true","0.9375","30000","0.8637411271839163","0.8097573067349215","2.0E-4"
"1352","1377","1.066","30000","0.6","false","0.9375","30000","1.0578783148813522","0.9917609202012677","2.0E-4"
"1378","1400","1.066","25000","0.6","false","0.9375","25000","1.0495122320685206","0.9839177175642381","2.0E-4"
"1401","1430","1.066","24000","0.6","false","0.9375","24000","1.0561996285394186","0.9901871517557049","2.0E-4"
"1431","1450","1.066","23000","0.6","false","0.9375","23000","1.0552739961038466","0.9893193713473563","2.0E-4"
"1451","1490","1.066","26000","0.6","false","0.9375","26000","1.059874447039552","0.99363229409958","2.0E-4"
"1491","1522","1.066","28000","0.6","false","0.9375","28000","1.059132896677317","0.9929370906349847","2.0E-4"
"1523","1541","1.066","34000","0.6","false","0.9375","34000","1.0678727811649573","1.0011307323421474","2.0E-4"
"1542","1560","1.066","38000","0.6","false","0.9375","38000","1.0637682860897275","0.9972827682091195","2.0E-4"
"1561","1600","1.066","50000","0.6","false","0.9375","50000","1.064532813018625","0.9979995122049609","2.0E-4"
"1601","1650","1.066","63000","0.6","false","0.9375","63000","1.0620199493154576","0.9956437024832415","2.0E-4"
"1651","1700","1.066","62000","0.6","false","0.9375","62000","1.0569574055173763","0.9908975676725402","2.0E-4"
"1701","1801","1.066","113000","0.6","false","0.9375","113000","1.0635954786081652","0.9971207611951548","2.0E-4"
"1802","1811","1.066","125000","0.6","false","0.9375","125000","1.0676183053362958","1.0008921612527772","2.0E-4"
"1812","1821","1.066","134000","0.6","false","0.9375","134000","1.0645924239267675","0.9980553974313445","2.0E-4"
"1822","1831","1.066","158000","0.6","false","0.9375","158000","1.0740878219823493","1.0069573331084525","2.0E-4"
"1832","1841","1.066","202000","0.6","false","0.9375","202000","1.0834928922716665","1.0157745865046872","2.0E-4"
"1842","1851","1.066","274000","0.6","false","0.9375","274000","1.0896263687864258","1.0215247207372742","2.0E-4"
"1852","1861","1.066","290000","0.6","false","0.9375","290000","1.0632693419693076","0.9968150080962258","2.0E-4"
"1862","1871","1.066","315000","0.6","false","0.9375","315000","1.0656482161540426","0.999045202644415","2.0E-4"
"1872","1881","1.066","350000","0.6","false","0.9375","350000","1.0681603901535566","1.0014003657689592","2.0E-4"
"1882","1891","1.066","378000","0.6","false","0.9375","378000","1.065149801220472","0.9985779386441926","2.0E-4"
"1892","1901","1.066","382000","0.6","false","0.9375","382000","1.0581994399411079","0.9920619749447886","2.0E-4"
"1902","1911","1.066","421000","0.6","false","0.9375","421000","1.0674453521170961","1.0007300176097775","2.0E-4"
"1912","1921","1.066","440000","0.6","false","0.9375","440000","1.0616352823539819","0.9952830772068579","2.0E-4"
"1922","1931","1.066","450000","0.13","false","0.9375","450000","1.1133424889065218","1.0437585833498642","2.0E-4"
"1932","1941","1.066","502000","0.13","false","0.9375","502000","1.118182985405889","1.048296548818021","2.0E-4"
