"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","15000","0.6","false","1.0","15000","1.9466681460171182","1.9466681460171182","2.0E-4"
"1","43","1.066","20000","0.6","false","1.0","20000","1.0303623107949649","1.0303623107949649","2.0E-4"
"44","200","1.066","45000","0.6","false","1.0","45000","1.0039557053810715","1.0039557053810715","2.0E-4"
"201","410","1.066","30000","0.6","false","1.0","30000","0.9918972739907753","0.9918972739907753","2.0E-4"
"411","430","1.066","12500","0.6","false","1.0","12500","0.9511555086030814","0.9511555086030814","2.0E-4"
"431","500","1.066","13000","0.6","false","1.0","13000","0.9927976392252097","0.9927976392252097","2.0E-4"
"501","750","1.066","13000","0.6","false","1.0","13000","0.9925534894434148","0.9925534894434148","2.0E-4"
"751","950","1.066","14000","0.6","false","1.0","14000","0.9921922594229854","0.9921922594229854","2.0E-4"
"951","1066","1.066","15000","0.6","false","1.0","15000","0.9920196403234322","0.9920196403234322","2.0E-4"
"1067","1086","1.066","20000","0.6","false","1.0","20000","1.0063874724377917","1.0063874724377917","2.0E-4"
"1087","1190","1.066","37000","0.6","false","1.0","37000","0.9971582481805602","0.9971582481805602","2.0E-4"
"1191","1220","1.066","48000","0.6","false","1.0","48000","1.0002174110907733","1.0002174110907733","2.0E-4"
"1221","1250","1.066","50000","0.6","false","1.0","50000","0.992330860776837","0.992330860776837","2.0E-4"
"1251","1279","1.066","53000","0.6","false","1.0","53000","0.9934556395451527","0.9934556395451527","2.0E-4"
"1280","1290","1.066","57000","0.6","false","1.0","57000","0.9977766987989513","0.9977766987989513","2.0E-4"
"1291","1315","1.066","56000","0.6","false","1.0","56000","0.9908385087112375","0.9908385087112375","2.0E-4"
"1316","1325","1.066","50000","0.6","false","1.0","50000","0.9794985094942653","0.9794985094942653","2.0E-4"
"1326","1348","1.066","57000","0.6","false","1.0","57000","0.9966761834871513","0.9966761834871513","2.0E-4"
"1349","1351","1.066","30000","0.6","true","1.0","30000","0.8091261758931164","0.8091261758931164","2.0E-4"
"1352","1377","1.066","30000","0.6","false","1.0","30000","0.9904605429424269","0.9904605429424269","2.0E-4"
"1378","1400","1.066","25000","0.6","false","1.0","25000","0.9831369848163531","0.9831369848163531","2.0E-4"
"1401","1430","1.066","24000","0.6","false","1.0","24000","0.9898448625528118","0.9898448625528118","2.0E-4"
"1431","1450","1.066","23000","0.6","false","1.0","23000","0.98981504137018","0.98981504137018","2.0E-4"
"1451","1490","1.066","26000","0.6","false","1.0","26000","0.9939946582964009","0.9939946582964009","2.0E-4"
"1491","1522","1.066","28000","0.6","false","1.0","28000","0.9933052312620997","0.9933052312620997","2.0E-4"
"1523","1541","1.066","34000","0.6","false","1.0","34000","1.0013338436988732","1.0013338436988732","2.0E-4"
"1542","1560","1.066","38000","0.6","false","1.0","38000","0.9969224944247763","0.9969224944247763","2.0E-4"
"1561","1600","1.066","50000","0.6","false","1.0","50000","0.9980995454804422","0.9980995454804422","2.0E-4"
"1601","1650","1.066","63000","0.6","false","1.0","63000","0.9958100298747068","0.9958100298747068","2.0E-4"
"1651","1700","1.066","62000","0.6","false","1.0","62000","0.9908831324497054","0.9908831324497054","2.0E-4"
"1701","1801","1.066","113000","0.6","false","1.0","113000","0.9968914704550121","0.9968914704550121","2.0E-4"
"1802","1811","1.066","125000","0.6","false","1.0","125000","1.0009806570072892","1.0009806570072892","2.0E-4"
"1812","1821","1.066","134000","0.6","false","1.0","134000","0.9978917451335256","0.9978917451335256","2.0E-4"
"1822","1831","1.066","158000","0.6","false","1.0","158000","1.0074895156255919","1.0074895156255919","2.0E-4"
"1832","1841","1.066","202000","0.6","false","1.0","202000","1.0157997566994434","1.0157997566994434","2.0E-4"
"1842","1851","1.066","274000","0.6","false","1.0","274000","1.0217503219099915","1.0217503219099915","2.0E-4"
"1852","1861","1.066","290000","0.6","false","1.0","290000","0.9965623962427855","0.9965623962427855","2.0E-4"
"1862","1871","1.066","315000","0.6","false","1.0","315000","0.9989553978873689","0.9989553978873689","2.0E-4"
"1872","1881","1.066","350000","0.6","false","1.0","350000","1.0011408666472852","1.0011408666472852","2.0E-4"
"1882","1891","1.066","378000","0.6","false","1.0","378000","0.9987116752956323","0.9987116752956323","2.0E-4"
