Year,Sphere,Exponential,Schwefel220,Ackleys,Alpine,Brown,ChungReynolds,DixonPrice,Exponential,Griewank,Qing,Rastrigin,Rosenbrock,Salomon,SchumerSteiglitz,Schwefel220,Schwefel226,Sphere,StyblinksiTang,SumSquares,Trid,Zakharoy,SumOfPowers
-50,0.333333362,1,0.500000919,0.625735799,0.118790182,0.27953565,0.111112496,0.167043751,1,0.333332098,1.12309405,0.229364196,0.141095116,4786.985429,0.199999645,0.500000449,1.415094634,0.333332129,0.252419606,0.333332434,0.083327069,0.044643621,11.73599412
-49,0.333334405,1,0.500001273,0.625735821,0.118790182,0.279535872,0.111113212,0.167044956,1,0.333332098,1.12309405,0.229364641,0.141095117,4786.992764,0.200000556,0.500000781,1.416429197,0.333333393,0.252419606,0.333333541,0.083327311,0.044643621,12.05038038
-48,0.333335008,1,0.500001643,0.62573591,0.118790182,0.279536408,0.111114332,0.167045497,1,0.333332098,1.12309405,0.229365069,0.141095635,4786.994713,0.200001362,0.500001059,1.417107116,0.333333553,0.252419606,0.333334324,0.08332759,0.044643621,12.21556809
-47,0.333335345,1,0.500001952,0.625735936,0.118790182,0.279536551,0.111114674,0.167045659,1,0.333332098,1.12309405,0.229365216,0.141095934,4786.995114,0.200001927,0.500001244,1.417530161,0.333333919,0.252419606,0.333334872,0.083327774,0.044643621,12.31308568
-46,0.333335576,1,0.500002267,0.625735949,0.118790182,0.279536742,0.111114995,0.167045864,1,0.333332098,1.12309405,0.229365372,0.141096162,4786.995804,0.200002223,0.500001521,1.41781447,0.333334218,0.252419606,0.333335098,0.083327873,0.044643621,12.38048946
-45,0.333335795,1,0.500002582,0.625735956,0.118790182,0.279536879,0.111115199,0.167046054,1,0.333332098,1.12309405,0.229365502,0.141096372,4786.996151,0.20000238,0.500001792,1.418044474,0.333334356,0.252419606,0.333335417,0.083327955,0.044643621,12.42986654
-44,0.333336003,1,0.500002897,0.625735959,0.118790182,0.279537045,0.111115361,0.167046191,1,0.333332098,1.12309405,0.229365572,0.141096561,4786.99648,0.200002515,0.500002004,1.418233383,0.333334542,0.252419606,0.333335599,0.083328029,0.044643621,12.46774466
-43,0.333336182,1,0.5000032,0.625735957,0.118790182,0.279537198,0.11111552,0.167046228,1,0.333332098,1.12309405,0.22936564,0.141096741,4786.996386,0.200002651,0.500002213,1.418384362,0.333334749,0.252419606,0.333335832,0.083328055,0.044643621,12.49493381
-42,0.333336368,1,0.500003468,0.625735954,0.118790182,0.279537314,0.111115667,0.167046314,1,0.333332098,1.12309405,0.229365661,0.141096847,4786.996324,0.2000028,0.500002415,1.418518316,0.333334933,0.252419606,0.333335952,0.08332811,0.044643621,12.5188786
-41,0.333336522,1,0.50000374,0.625735963,0.118790182,0.27953744,0.111115868,0.167046397,1,0.333332098,1.12309405,0.229365662,0.141096955,4786.996271,0.20000297,0.500002699,1.418647483,0.333335064,0.252419606,0.333336101,0.08332813,0.044643621,12.53572598
-40,0.333336677,1,0.50000403,0.625735967,0.118790182,0.279537537,0.111116052,0.16704648,1,0.333332098,1.12309405,0.229365665,0.141097066,4786.996367,0.200003141,0.500002954,1.418736675,0.333335183,0.252419606,0.333336238,0.08332815,0.044643621,12.55070811
-39,0.333336821,1,0.500004283,0.625735967,0.118790182,0.279537641,0.111116161,0.167046576,1,0.333332098,1.12309405,0.229365679,0.141097186,4786.996745,0.200003234,0.500003161,1.418819001,0.333335265,0.252419606,0.333336337,0.083328165,0.044643621,12.56270705
-38,0.33333698,1,0.500004535,0.625735963,0.118790182,0.279537738,0.111116341,0.167046633,1,0.333332098,1.12309405,0.229365686,0.141097272,4786.996778,0.200003362,0.500003366,1.418890146,0.333335372,0.252419606,0.333336414,0.083328166,0.044643621,12.57245559
-37,0.333337128,1,0.500004791,0.625735962,0.118790182,0.279537839,0.111116494,0.167046771,1,0.333332098,1.12309405,0.229365684,0.141097316,4786.996966,0.200003528,0.500003577,1.418972972,0.333335503,0.252419606,0.333336569,0.08332818,0.044643621,12.5809643
-36,0.333337264,1,0.50000505,0.625735962,0.118790182,0.279537936,0.111116646,0.16704686,1,0.333332098,1.12309405,0.229365691,0.141097395,4786.996955,0.20000364,0.500003744,1.419035195,0.333335631,0.252419606,0.333336743,0.083328195,0.044643621,12.58844203
-35,0.333337404,1,0.500005279,0.625735962,0.118790182,0.279538044,0.111116711,0.167046963,1,0.333332098,1.12309405,0.229365695,0.14109745,4786.996878,0.200003747,0.50000388,1.419101843,0.333335711,0.252419606,0.333336847,0.083328213,0.044643621,12.5942762
-34,0.333337526,1,0.500005505,0.625736003,0.118790161,0.279538123,0.111116799,0.167047077,1,0.333332088,1.123093911,0.229365763,0.141097479,4786.996977,0.200003829,0.500003964,1.419158708,0.333335897,0.252419601,0.333337013,0.083328266,0.044643638,12.60021682
-33,0.333341788,1,0.500001633,0.625745755,0.118788169,0.279541793,0.111119092,0.167050719,1,0.333336293,1.123085706,0.229378344,0.141101722,4787.023514,0.200008508,0.500001243,1.418950883,0.333339934,0.252417807,0.333341574,0.083357308,0.044634342,12.60861583
-32,0.333345742,1,0.499999578,0.625753714,0.118786848,0.279545638,0.111122752,0.167053289,1,0.333340735,1.123082843,0.22938833,0.141105317,4787.046488,0.200012594,0.499999362,1.419918337,0.333344555,0.252417774,0.333345959,0.083379343,0.044628579,12.66953142
-31,0.333348909,1,0.499998077,0.62575967,0.118785877,0.279549316,0.111124719,0.167056422,1,0.333343916,1.12307937,0.22939557,0.141108637,4787.06078,0.200015521,0.499997785,1.420927442,0.333347763,0.252419679,0.333349939,0.083396713,0.044624591,12.79461244
-30,0.333351677,1,0.499996508,0.62576456,0.118785216,0.279550044,0.111126495,0.16705901,1,0.333346829,1.123081506,0.229402469,0.14111074,4787.082443,0.200018654,0.499995241,1.421992756,0.333350317,0.252420422,0.333352746,0.083410964,0.044621798,12.95332962
-29,0.333354386,1,0.49999555,0.625768738,0.118784526,0.279551928,0.111128836,0.167061851,1,0.333349204,1.123082906,0.229408131,0.141112796,4787.106597,0.200020354,0.499994281,1.4230173,0.333352217,0.252422102,0.333355683,0.083422609,0.044619547,13.11707885
-28,0.333356402,1,0.499995026,0.625772478,0.118784251,0.279553298,0.11113135,0.167064034,1,0.333351394,1.123085459,0.229411912,0.14111468,4787.115551,0.200022538,0.499993375,1.423992044,0.333354728,0.252425319,0.333357515,0.08343208,0.044617776,13.2746557
-27,0.333358436,1,0.499994893,0.625775346,0.118784065,0.279555178,0.111133093,0.16706549,1,0.333353094,1.123085223,0.229415545,0.141116315,4787.126442,0.200025527,0.499993527,1.425035914,0.333356385,0.252426319,0.33335971,0.083440324,0.044616618,13.41793244
-26,0.33336037,1,0.499994757,0.625777882,0.118784133,0.279556721,0.111134029,0.167066835,1,0.33335393,1.123087977,0.22941825,0.14111745,4787.128537,0.200028048,0.499993218,1.426020868,0.333358529,0.25242933,0.333362003,0.083447115,0.044615342,13.55276625
-25,0.333362326,1,0.499994546,0.625780415,0.118783781,0.279558192,0.111136062,0.167068039,1,0.333355611,1.123089843,0.229420815,0.141119564,4787.136613,0.200029589,0.499993994,1.427035089,0.333360585,0.252430796,0.333364004,0.083453267,0.044614439,13.67821618
