"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","60","0.35","false","1.5","60","90","41","3.3713407169040783","5.057011075356117","150.0"
"1","43","80","0.35","false","1.5","80","90","41","1.0152354800503391","1.5228532200755087","150.0"
"44","200","180","0.35","false","1.5","180","90","41","1.01609959784747","1.5241493967712052","150.0"
"201","410","120","0.35","false","1.5","120","90","41","1.0039578722990388","1.505936808448558","150.0"
"411","430","50","0.35","false","1.5","50","90","41","0.964061170820154","1.446091756230231","150.0"
"431","500","52","0.35","false","1.5","52","90","41","1.0067463366340792","1.5101195049511187","150.0"
"501","750","52","0.35","false","1.5","52","90","41","1.0093435183717832","1.5140152775576747","150.0"
"751","950","56","0.35","false","1.5","56","90","41","1.0159147238284514","1.523872085742677","150.0"
"951","1066","60","0.35","false","1.5","60","90","41","1.013570005846956","1.5203550087704338","150.0"
"1067","1086","80","0.35","false","1.5","80","90","41","1.0034881321877527","1.505232198281629","150.0"
"1087","1190","148","0.35","false","1.5","148","90","41","1.0096688067825286","1.514503210173793","150.0"
"1191","1220","192","0.35","false","1.5","192","90","41","1.0143007061565998","1.5214510592348998","150.0"
"1221","1250","200","0.35","false","1.5","200","90","41","1.002994898973979","1.5044923484609685","150.0"
"1251","1279","212","0.35","false","1.5","212","90","41","1.002778124276717","1.5041671864150756","150.0"
"1280","1290","228","0.35","false","1.5","228","90","41","1.0051427687752215","1.5077141531628322","150.0"
"1291","1315","224","0.35","false","1.5","224","90","41","1.0059080665626146","1.5088620998439217","150.0"
"1316","1325","200","0.35","false","1.5","200","90","41","0.9940563045817965","1.4910844568726946","150.0"
"1326","1348","228","0.35","false","1.5","228","90","41","1.0117672417138934","1.5176508625708403","150.0"
"1349","1351","120","0.35","true","1.5","120","90","41","0.8397406645256278","1.2596109967884417","150.0"
"1352","1377","120","0.35","false","1.5","120","90","41","1.0057489342681145","1.5086234014021718","150.0"
"1378","1400","100","0.35","false","1.5","100","90","41","0.9954224018870999","1.4931336028306497","150.0"
"1401","1430","96","0.35","false","1.5","96","90","41","1.0031803797668408","1.5047705696502613","150.0"
"1431","1450","92","0.35","false","1.5","92","90","41","0.9989560842579538","1.4984341263869307","150.0"
"1451","1490","104","0.35","false","1.5","104","90","41","1.0106123260020352","1.5159184890030528","150.0"
"1491","1522","112","0.35","false","1.5","112","90","41","1.0022253983510023","1.5033380975265036","150.0"
"1523","1541","136","0.35","false","1.5","136","90","41","1.0144222916869292","1.5216334375303937","150.0"
"1542","1560","152","0.35","false","1.5","152","90","41","0.9991564257773543","1.4987346386660314","150.0"
"1561","1600","200","0.31","false","1.5","200","90","41","1.0118469807194195","1.517770471079129","150.0"
"1601","1650","252","0.29","false","1.5","252","90","41","1.0162826960491982","1.5244240440737973","150.0"
"1651","1700","248","0.26","false","1.5","248","90","41","1.0102620194802578","1.5153930292203868","150.0"
"1701","1801","452","0.25","false","1.5","452","90","41","1.0178017677661864","1.5267026516492797","150.0"
"1802","1811","500","0.28","false","1.5","500","90","41","1.0265524298559112","1.5398286447838667","150.0"
"1812","1821","536","0.28","false","1.5","536","90","41","1.019742951872478","1.5296144278087171","150.0"
"1822","1831","632","0.26","false","1.5","632","90","41","1.0281243703469758","1.5421865555204637","150.0"
"1832","1841","808","0.25","false","1.5","808","90","41","1.038981203479866","1.558471805219799","150.0"
"1842","1851","1096","0.22","false","1.5","1096","90","41","1.0475041524501498","1.5712562286752247","150.0"
"1852","1861","1160","0.25","false","1.5","1160","90","41","1.0167030921869658","1.5250546382804486","150.0"
"1862","1871","1260","0.22","false","1.5","1260","90","41","1.024638197275427","1.5369572959131406","150.0"
"1872","1881","1400","0.21","false","1.5","1400","90","41","1.026433352547345","1.5396500288210175","150.0"
"1882","1891","1512","0.19","false","1.5","1512","90","41","1.0288195195991154","1.5432292793986733","150.0"
"1892","1901","1528","0.18","false","1.5","1528","90","41","1.0227997247309846","1.5341995870964769","150.0"
"1902","1911","1684","0.13","false","1.5","1684","90","41","1.0421366140919868","1.5632049211379802","150.0"
"1912","1921","1760","0.14","false","1.5","1760","90","41","1.0323044431706232","1.5484566647559348","150.0"
"1922","1931","1800","0.12","false","1.5","1800","90","41","1.036404380253939","1.5546065703809087","150.0"
"1932","1941","2008","0.07","false","1.5","2008","90","41","1.0565295248095719","1.5847942872143577","150.0"
"1942","1951","2112","0.08","false","1.5","2112","90","41","1.0477519056452054","1.571627858467808","150.0"
"1952","1961","2236","0.09","false","1.5","2236","90","41","1.0490117639515701","1.5735176459273552","150.0"
"1962","1971","2252","0.1","false","1.5","2252","90","41","1.0464736358253748","1.5697104537380622","150.0"
"1972","1981","2296","0.07","false","1.5","2296","90","41","1.053178796715123","1.5797681950726843","150.0"
"1982","1991","2372","0.1","false","1.5","2372","90","41","1.0529206032138836","1.5793809048208254","150.0"
"1992","2001","2528","0.09","false","1.5","2528","90","41","1.0667663437401553","1.600149515610233","150.0"
"2002","2011","2624","0.09","false","1.5","2624","90","41","1.090625948845659","1.6359389232684887","150.0"
"2012","2015","2650","0.09","false","1.5","2650","90","41","1.099343182929311","1.6490147743939665","150.0"
