"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","60","0.35","false","10.0","60","90","41","0.8609436391472466","8.609436391472466","150.0"
"1","43","80","0.35","false","10.0","80","90","41","0.8002123556014162","8.002123556014162","150.0"
"44","200","180","0.35","false","10.0","180","90","41","0.8035887338951111","8.035887338951111","150.0"
"201","410","120","0.35","false","10.0","120","90","41","0.7976810533878294","7.976810533878293","150.0"
"411","430","50","0.35","false","10.0","50","90","41","0.7601710141289674","7.601710141289674","150.0"
"431","500","52","0.35","false","10.0","52","90","41","0.7920566682763985","7.920566682763985","150.0"
"501","750","52","0.35","false","10.0","52","90","41","0.8008160415891454","8.008160415891455","150.0"
"751","950","56","0.35","false","10.0","56","90","41","0.7991313555912177","7.9913135559121775","150.0"
"951","1066","60","0.35","false","10.0","60","90","41","0.803409266364101","8.03409266364101","150.0"
"1067","1086","80","0.35","false","10.0","80","90","41","0.8036855636222693","8.036855636222693","150.0"
"1087","1190","148","0.35","false","10.0","148","90","41","0.8046683237041611","8.046683237041611","150.0"
"1191","1220","192","0.35","false","10.0","192","90","41","0.8088747214872093","8.088747214872093","150.0"
"1221","1250","200","0.35","false","10.0","200","90","41","0.8008144517551631","8.008144517551631","150.0"
"1251","1279","212","0.35","false","10.0","212","90","41","0.8001536466641714","8.001536466641713","150.0"
"1280","1290","228","0.35","false","10.0","228","90","41","0.8082360793213319","8.082360793213319","150.0"
"1291","1315","224","0.35","false","10.0","224","90","41","0.8006533798907286","8.006533798907286","150.0"
"1316","1325","200","0.35","false","10.0","200","90","41","0.7836875781599824","7.836875781599824","150.0"
"1326","1348","228","0.35","false","10.0","228","90","41","0.7991538716588391","7.991538716588391","150.0"
"1349","1351","120","0.35","true","10.0","120","90","41","0.651793843313278","6.51793843313278","150.0"
"1352","1377","120","0.35","false","10.0","120","90","41","0.8070373200018294","8.070373200018294","150.0"
"1378","1400","100","0.35","false","10.0","100","90","41","0.7982858365605637","7.9828583656056376","150.0"
"1401","1430","96","0.35","false","10.0","96","90","41","0.8009924326249374","8.009924326249374","150.0"
"1431","1450","92","0.35","false","10.0","92","90","41","0.8011713427639776","8.011713427639776","150.0"
"1451","1490","104","0.35","false","10.0","104","90","41","0.8148102822767471","8.148102822767472","150.0"
"1491","1522","112","0.35","false","10.0","112","90","41","0.8043539546073138","8.043539546073138","150.0"
"1523","1541","136","0.35","false","10.0","136","90","41","0.8149723978269211","8.149723978269211","150.0"
"1542","1560","152","0.35","false","10.0","152","90","41","0.7967623440206043","7.967623440206043","150.0"
"1561","1600","200","0.31","false","10.0","200","90","41","0.8106093378320359","8.10609337832036","150.0"
"1601","1650","252","0.29","false","10.0","252","90","41","0.8031014929378161","8.031014929378161","150.0"
"1651","1700","248","0.26","false","10.0","248","90","41","0.811362051451398","8.113620514513979","150.0"
"1701","1801","452","0.25","false","10.0","452","90","41","0.8175653641015043","8.175653641015042","150.0"
"1802","1811","500","0.28","false","10.0","500","90","41","0.8197700282951222","8.197700282951223","150.0"
"1812","1821","536","0.28","false","10.0","536","90","41","0.8116756654247752","8.116756654247752","150.0"
"1822","1831","632","0.26","false","10.0","632","90","41","0.82486654232899","8.2486654232899","150.0"
"1832","1841","808","0.25","false","10.0","808","90","41","0.8327953010825702","8.327953010825702","150.0"
"1842","1851","1096","0.22","false","10.0","1096","90","41","0.8406534028297049","8.406534028297049","150.0"
"1852","1861","1160","0.25","false","10.0","1160","90","41","0.8143272674784139","8.14327267478414","150.0"
"1862","1871","1260","0.22","false","10.0","1260","90","41","0.8200784452056707","8.200784452056707","150.0"
"1872","1881","1400","0.21","false","10.0","1400","90","41","0.8260359282829359","8.26035928282936","150.0"
"1882","1891","1512","0.19","false","10.0","1512","90","41","0.8223144138403358","8.223144138403358","150.0"
"1892","1901","1528","0.18","false","10.0","1528","90","41","0.8192521097997503","8.192521097997503","150.0"
"1902","1911","1684","0.13","false","10.0","1684","90","41","0.8353060616734673","8.353060616734673","150.0"
"1912","1921","1760","0.14","false","10.0","1760","90","41","0.8297991072823819","8.29799107282382","150.0"
"1922","1931","1800","0.12","false","10.0","1800","90","41","0.8298823478257942","8.298823478257942","150.0"
"1932","1941","2008","0.07","false","10.0","2008","90","41","0.8545868949325858","8.545868949325857","150.0"
"1942","1951","2112","0.08","false","10.0","2112","90","41","0.8455046783611854","8.455046783611854","150.0"
"1952","1961","2236","0.09","false","10.0","2236","90","41","0.8435384534093749","8.43538453409375","150.0"
"1962","1971","2252","0.1","false","10.0","2252","90","41","0.8406877083153903","8.406877083153903","150.0"
"1972","1981","2296","0.07","false","10.0","2296","90","41","0.845642768475034","8.45642768475034","150.0"
"1982","1991","2372","0.1","false","10.0","2372","90","41","0.8454352356855553","8.454352356855553","150.0"
"1992","2001","2528","0.09","false","10.0","2528","90","41","0.8495019912000474","8.495019912000474","150.0"
"2002","2011","2624","0.09","false","10.0","2624","90","41","0.8556064817805982","8.556064817805982","150.0"
"2012","2015","2650","0.09","false","10.0","2650","90","41","0.867565183863194","8.675651838631941","150.0"
