"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","60","0.35","false","2.5","60","90","41","2.1444593787921953","5.361148446980488","150.0"
"1","43","80","0.35","false","2.5","80","90","41","1.3701886580330949","3.4254716450827374","150.0"
"44","200","180","0.35","false","2.5","180","90","41","1.3637891937172926","3.4094729842932314","150.0"
"201","410","120","0.35","false","2.5","120","90","41","1.3541589983881015","3.3853974959702535","150.0"
"411","430","50","0.35","false","3.4375","50","90","41","3.820352285500106","13.132460981406615","150.0"
"431","500","52","0.35","false","3.4375","52","90","41","0.98363302006792","3.381238506483475","150.0"
"501","750","52","0.35","false","3.4375","52","90","41","0.984905135122884","3.3856114019849137","150.0"
"751","950","56","0.35","false","3.4375","56","90","41","0.9875596834256458","3.3947364117756575","150.0"
"951","1066","60","0.35","false","3.4375","60","90","41","0.9741562864979025","3.34866223483654","150.0"
"1067","1086","80","0.35","false","3.4375","80","90","41","1.0022287518910833","3.445161334625599","150.0"
"1087","1190","148","0.35","false","3.4375","148","90","41","0.9831933085820003","3.379726998250626","150.0"
"1191","1220","192","0.35","false","3.4375","192","90","41","0.9800109843779007","3.3687877587990336","150.0"
"1221","1250","200","0.35","false","3.4375","200","90","41","0.979434541549741","3.3668062365772347","150.0"
"1251","1279","212","0.35","false","3.4375","212","90","41","0.9792991944789426","3.366340981021365","150.0"
"1280","1290","228","0.35","false","3.4375","228","90","41","0.9809040955561947","3.371857828474419","150.0"
"1291","1315","224","0.35","false","3.4375","224","90","41","0.9809152677802453","3.3718962329945934","150.0"
"1316","1325","200","0.35","false","3.4375","200","90","41","0.9712883240495639","3.338803613920376","150.0"
"1326","1348","228","0.35","false","3.4375","228","90","41","0.9901273786807476","3.40356286421507","150.0"
"1349","1351","120","0.35","true","3.4375","120","90","41","0.8012539073822676","2.754310306626545","150.0"
"1352","1377","120","0.35","false","3.4375","120","90","41","0.9733698100770692","3.3459587221399256","150.0"
"1378","1400","100","0.35","false","3.4375","100","90","41","0.9714673727564909","3.3394190938504376","150.0"
"1401","1430","96","0.35","false","3.4375","96","90","41","0.9815833503147295","3.3741927667068827","150.0"
"1431","1450","92","0.35","false","3.4375","92","90","41","0.9904226695353193","3.40457792652766","150.0"
"1451","1490","104","0.35","false","3.4375","104","90","41","0.9868115955086749","3.39216485956107","150.0"
"1491","1522","112","0.35","false","3.4375","112","90","41","0.9844909991945978","3.38418780973143","150.0"
"1523","1541","136","0.35","false","3.4375","136","90","41","0.9934518488277129","3.414990730345263","150.0"
"1542","1560","152","0.35","false","3.4375","152","90","41","0.9932318641240844","3.4142345329265402","150.0"
"1561","1600","200","0.31","false","3.4375","200","90","41","0.9828795704602138","3.378648523456985","150.0"
"1601","1650","252","0.29","false","3.4375","252","90","41","0.9888210757148346","3.399072447769744","150.0"
"1651","1700","248","0.26","false","3.4375","248","90","41","0.9894073804764871","3.4010878703879244","150.0"
"1701","1801","452","0.25","false","3.4375","452","90","41","0.9952300342860788","3.421103242858396","150.0"
"1802","1811","500","0.28","false","3.4375","500","90","41","0.9952802126079531","3.4212757308398385","150.0"
"1812","1821","536","0.28","false","3.4375","536","90","41","0.9992445618328853","3.4349031813005433","150.0"
"1822","1831","632","0.26","false","3.4375","632","90","41","0.9997816035460299","3.4367492621894775","150.0"
"1832","1841","808","0.25","false","3.4375","808","90","41","1.0165556389634856","3.4944100089369816","150.0"
"1842","1851","1096","0.22","false","3.4375","1096","90","41","1.020580737602976","3.5082462855102303","150.0"
"1852","1861","1160","0.25","false","3.4375","1160","90","41","0.9925611613424046","3.4119289921145155","150.0"
"1862","1871","1260","0.22","false","3.4375","1260","90","41","1.0005796517432937","3.439492552867572","150.0"
"1872","1881","1400","0.21","false","3.4375","1400","90","41","1.0008339676924347","3.440366763942744","150.0"
"1882","1891","1512","0.19","false","3.4375","1512","90","41","1.0032705629632497","3.448742560186171","150.0"
"1892","1901","1528","0.18","false","3.4375","1528","90","41","0.9960306581791366","3.423855387490782","150.0"
"1902","1911","1684","0.13","false","3.4375","1684","90","41","1.0174142443306282","3.4973614648865343","150.0"
"1912","1921","1760","0.14","false","3.4375","1760","90","41","1.00748166784604","3.463218233220763","150.0"
"1922","1931","1800","0.12","false","3.4375","1800","90","41","1.013054592320947","3.4823751611032554","150.0"
"1932","1941","2008","0.07","false","3.4375","2008","90","41","1.03145887646757","3.545639887857272","150.0"
"1942","1951","2112","0.08","false","3.4375","2112","90","41","1.0247108109635514","3.522443412687208","150.0"
"1952","1961","2236","0.09","false","3.4375","2236","90","41","1.0258489502035957","3.52635576632486","150.0"
"1962","1971","2252","0.1","false","3.4375","2252","90","41","1.019510799008049","3.5045683715901683","150.0"
"1972","1981","2296","0.07","false","3.4375","2296","90","41","1.026276617284516","3.5278258719155233","150.0"
"1982","1991","2372","0.1","false","3.4375","2372","90","41","1.0272898769851442","3.531308952136433","150.0"
"1992","2001","2528","0.09","false","3.4375","2528","90","41","1.0386377419439208","3.570317237932228","150.0"
"2002","2011","2624","0.09","false","3.4375","2624","90","41","1.0499125704611434","3.6090744609601804","150.0"
"2012","2015","2650","0.09","false","3.4375","2650","90","41","1.0479987700624056","3.602495772089519","150.0"
