"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","60","0.35","false","4.0","60","90","41","1.4219325116359958","5.687730046543983","150.0"
"1","43","80","0.35","false","4.0","80","90","41","1.4473254392893409","5.7893017571573635","150.0"
"44","200","180","0.35","false","4.0","180","90","41","1.4270970956792663","5.708388382717065","150.0"
"201","410","120","0.35","false","4.0","120","90","41","1.4164791836028363","5.665916734411345","150.0"
"411","430","50","0.35","false","4.0","50","90","41","1.340366279499976","5.361465117999904","150.0"
"431","500","52","0.35","false","6.0","52","90","41","2.399497072320227","14.396982433921362","150.0"
"501","750","52","0.35","false","6.0","52","90","41","0.9405034255410274","5.643020553246164","150.0"
"751","950","56","0.35","false","6.0","56","90","41","0.9440610090529618","5.664366054317771","150.0"
"951","1066","60","0.35","false","6.0","60","90","41","0.9407051870850812","5.6442311225104875","150.0"
"1067","1086","80","0.35","false","6.0","80","90","41","0.9563163661301228","5.737898196780737","150.0"
"1087","1190","148","0.35","false","6.0","148","90","41","0.9414603900480911","5.648762340288547","150.0"
"1191","1220","192","0.35","false","6.0","192","90","41","0.9396862587067872","5.638117552240724","150.0"
"1221","1250","200","0.35","false","6.0","200","90","41","0.938768521564733","5.632611129388398","150.0"
"1251","1279","212","0.35","false","6.0","212","90","41","0.9432706894394812","5.659624136636888","150.0"
"1280","1290","228","0.35","false","6.0","228","90","41","0.937178793557672","5.623072761346032","150.0"
"1291","1315","224","0.35","false","6.0","224","90","41","0.934775633635438","5.608653801812628","150.0"
"1316","1325","200","0.35","false","6.0","200","90","41","0.9164811340121736","5.498886804073042","150.0"
"1326","1348","228","0.35","false","6.0","228","90","41","0.939429063755227","5.636574382531362","150.0"
"1349","1351","120","0.35","true","6.0","120","90","41","0.7769485478989364","4.6616912873936185","150.0"
"1352","1377","120","0.35","false","6.0","120","90","41","0.9336913959413","5.6021483756478005","150.0"
"1378","1400","100","0.35","false","6.0","100","90","41","0.922548311966867","5.5352898718012025","150.0"
"1401","1430","96","0.35","false","6.0","96","90","41","0.9290412030597969","5.5742472183587815","150.0"
"1431","1450","92","0.35","false","6.0","92","90","41","0.9289741395238345","5.573844837143007","150.0"
"1451","1490","104","0.35","false","6.0","104","90","41","0.9460741412976669","5.6764448477860014","150.0"
"1491","1522","112","0.35","false","6.0","112","90","41","0.9399195978345978","5.639517587007587","150.0"
"1523","1541","136","0.35","false","6.0","136","90","41","0.9519139024448512","5.711483414669107","150.0"
"1542","1560","152","0.35","false","6.0","152","90","41","0.9344144604913442","5.606486762948066","150.0"
"1561","1600","200","0.31","false","6.0","200","90","41","0.9454867382461746","5.672920429477047","150.0"
"1601","1650","252","0.29","false","6.0","252","90","41","0.9416140074420052","5.649684044652031","150.0"
"1651","1700","248","0.26","false","6.0","248","90","41","0.9453555933265285","5.672133559959171","150.0"
"1701","1801","452","0.25","false","6.0","452","90","41","0.9508988778011731","5.705393266807039","150.0"
"1802","1811","500","0.28","false","6.0","500","90","41","0.9521757473611814","5.713054484167088","150.0"
"1812","1821","536","0.28","false","6.0","536","90","41","0.9409356995033133","5.64561419701988","150.0"
"1822","1831","632","0.26","false","6.0","632","90","41","0.9620002635256721","5.772001581154033","150.0"
"1832","1841","808","0.25","false","6.0","808","90","41","0.9681845289420693","5.809107173652416","150.0"
"1842","1851","1096","0.22","false","6.0","1096","90","41","0.9795033361096086","5.877020016657651","150.0"
"1852","1861","1160","0.25","false","6.0","1160","90","41","0.9481543678417246","5.688926207050347","150.0"
"1862","1871","1260","0.22","false","6.0","1260","90","41","0.9542880989334199","5.72572859360052","150.0"
"1872","1881","1400","0.21","false","6.0","1400","90","41","0.9599477622097721","5.759686573258632","150.0"
"1882","1891","1512","0.19","false","6.0","1512","90","41","0.9574336570623038","5.744601942373823","150.0"
"1892","1901","1528","0.18","false","6.0","1528","90","41","0.9556284031671838","5.733770419003102","150.0"
"1902","1911","1684","0.13","false","6.0","1684","90","41","0.9736305083262373","5.841783049957424","150.0"
"1912","1921","1760","0.14","false","6.0","1760","90","41","0.9646854070798015","5.788112442478809","150.0"
"1922","1931","1800","0.12","false","6.0","1800","90","41","0.9665021911378723","5.7990131468272335","150.0"
"1932","1941","2008","0.07","false","6.0","2008","90","41","0.9883977345789677","5.930386407473806","150.0"
"1942","1951","2112","0.08","false","6.0","2112","90","41","0.9781620935672821","5.868972561403693","150.0"
"1952","1961","2236","0.09","false","6.0","2236","90","41","0.9772197620045986","5.863318572027591","150.0"
"1962","1971","2252","0.1","false","6.0","2252","90","41","0.9750215320250133","5.85012919215008","150.0"
"1972","1981","2296","0.07","false","6.0","2296","90","41","0.9832645527363765","5.899587316418259","150.0"
"1982","1991","2372","0.1","false","6.0","2372","90","41","0.9793158408956639","5.8758950453739835","150.0"
"1992","2001","2528","0.09","false","6.0","2528","90","41","0.9857789608123696","5.914673764874218","150.0"
"2002","2011","2624","0.09","false","6.0","2624","90","41","0.9878857394619542","5.927314436771725","150.0"
"2012","2015","2650","0.09","false","6.0","2650","90","41","0.9819484649295543","5.891690789577326","150.0"
