"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","60","0.35","false","1.0","60","90","41","1.3468877024408357","1.3468877024408357","150.0"
"1","43","80","0.35","false","1.0","80","90","41","0.953188533925744","0.953188533925744","150.0"
"44","200","180","0.35","false","1.0","180","90","41","0.952536187862165","0.952536187862165","150.0"
"201","410","120","0.35","false","1.0","120","90","41","0.94618017776546","0.94618017776546","150.0"
"411","430","50","0.35","false","1.0","50","90","41","0.9100165454584335","0.9100165454584335","150.0"
"431","500","52","0.35","false","1.0","52","90","41","0.9503353561954156","0.9503353561954156","150.0"
"501","750","52","0.35","false","1.0","52","90","41","0.954944949097163","0.954944949097163","150.0"
"751","950","56","0.35","false","1.0","56","90","41","0.9580485264597286","0.9580485264597286","150.0"
"951","1066","60","0.35","false","1.0","60","90","41","0.9463723496667575","0.9463723496667575","150.0"
"1067","1086","80","0.35","false","1.0","80","90","41","0.9689811756428195","0.9689811756428195","150.0"
"1087","1190","148","0.35","false","1.0","148","90","41","0.9528140416184592","0.9528140416184592","150.0"
"1191","1220","192","0.35","false","1.0","192","90","41","0.9520744975016083","0.9520744975016083","150.0"
"1221","1250","200","0.35","false","1.0","200","90","41","0.9451656830954515","0.9451656830954515","150.0"
"1251","1279","212","0.35","false","1.0","212","90","41","0.9548193453048093","0.9548193453048093","150.0"
"1280","1290","228","0.35","false","1.0","228","90","41","0.9546441847070348","0.9546441847070348","150.0"
"1291","1315","224","0.35","false","1.0","224","90","41","0.9468598094921434","0.9468598094921434","150.0"
"1316","1325","200","0.35","false","1.0","200","90","41","0.9414287224552822","0.9414287224552822","150.0"
"1326","1348","228","0.35","false","1.0","228","90","41","0.9503018324248901","0.9503018324248901","150.0"
"1349","1351","120","0.35","true","1.0","120","90","41","0.7635021368898052","0.7635021368898052","150.0"
"1352","1377","120","0.35","false","1.0","120","90","41","0.9440362090082405","0.9440362090082405","150.0"
"1378","1400","100","0.35","false","1.0","100","90","41","0.9443308807226493","0.9443308807226493","150.0"
"1401","1430","96","0.35","false","1.0","96","90","41","0.9347554079759152","0.9347554079759152","150.0"
"1431","1450","92","0.35","false","1.0","92","90","41","0.9475724468413211","0.9475724468413211","150.0"
"1451","1490","104","0.35","false","1.0","104","90","41","0.9453551906822893","0.9453551906822893","150.0"
"1491","1522","112","0.35","false","1.0","112","90","41","0.9402922565665668","0.9402922565665668","150.0"
"1523","1541","136","0.35","false","1.0","136","90","41","0.9524618919021666","0.9524618919021666","150.0"
"1542","1560","152","0.35","false","1.0","152","90","41","0.9477670032610378","0.9477670032610378","150.0"
"1561","1600","200","0.31","false","1.0","200","90","41","0.9599947681004928","0.9599947681004928","150.0"
"1601","1650","252","0.29","false","1.0","252","90","41","0.9577153744825382","0.9577153744825382","150.0"
"1651","1700","248","0.26","false","1.0","248","90","41","0.9549210566099294","0.9549210566099294","150.0"
"1701","1801","452","0.25","false","1.0","452","90","41","0.9634114155983735","0.9634114155983735","150.0"
"1802","1811","500","0.28","false","1.0","500","90","41","0.9676836495369023","0.9676836495369023","150.0"
"1812","1821","536","0.28","false","1.0","536","90","41","0.9622276487884207","0.9622276487884207","150.0"
"1822","1831","632","0.26","false","1.0","632","90","41","0.9764810305867831","0.9764810305867831","150.0"
"1832","1841","808","0.25","false","1.0","808","90","41","0.9796903385405523","0.9796903385405523","150.0"
"1842","1851","1096","0.22","false","1.0","1096","90","41","0.9921180814673483","0.9921180814673483","150.0"
"1852","1861","1160","0.25","false","1.0","1160","90","41","0.9619929101301938","0.9619929101301938","150.0"
"1862","1871","1260","0.22","false","1.0","1260","90","41","0.9687258512071661","0.9687258512071661","150.0"
"1872","1881","1400","0.21","false","1.0","1400","90","41","0.9737224124647706","0.9737224124647706","150.0"
"1882","1891","1512","0.19","false","1.0","1512","90","41","0.9731433666361677","0.9731433666361677","150.0"
"1892","1901","1528","0.18","false","1.0","1528","90","41","0.9681121207815654","0.9681121207815654","150.0"
"1902","1911","1684","0.13","false","1.0","1684","90","41","0.9846142543182147","0.9846142543182147","150.0"
"1912","1921","1760","0.14","false","1.0","1760","90","41","0.9771620152568552","0.9771620152568552","150.0"
"1922","1931","1800","0.12","false","1.0","1800","90","41","0.9806283910543279","0.9806283910543279","150.0"
"1932","1941","2008","0.07","false","1.0","2008","90","41","0.9979903172116394","0.9979903172116394","150.0"
"1942","1951","2112","0.08","false","1.0","2112","90","41","0.992638720949906","0.992638720949906","150.0"
"1952","1961","2236","0.09","false","1.0","2236","90","41","0.9936331325138275","0.9936331325138275","150.0"
"1962","1971","2252","0.1","false","1.0","2252","90","41","0.9905670833516467","0.9905670833516467","150.0"
"1972","1981","2296","0.07","false","1.0","2296","90","41","0.9972372491032819","0.9972372491032819","150.0"
"1982","1991","2372","0.1","false","1.0","2372","90","41","0.9965451758071373","0.9965451758071373","150.0"
"1992","2001","2528","0.09","false","1.0","2528","90","41","1.0055732756907694","1.0055732756907694","150.0"
"2002","2011","2624","0.09","false","1.0","2624","90","41","1.0110931176666818","1.0110931176666818","150.0"
"2012","2015","2650","0.09","false","1.0","2650","90","41","1.0177741856150728","1.0177741856150728","150.0"
