"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","60","0.35","false","3.125","60","90","41","3.333303227452813","10.41657258579004","150.0"
"1","43","80","0.35","false","2.734375","80","90","41","5.014448213501494","13.711381833793146","150.0"
"44","200","180","0.35","false","2.734375","180","90","41","1.045386495339684","2.8584786981944488","150.0"
"201","410","120","0.35","false","2.734375","120","90","41","1.0347553730412624","2.829409223159702","150.0"
"411","430","50","0.35","false","2.734375","50","90","41","1.0003685751702522","2.7353828227311583","150.0"
"431","500","52","0.35","false","2.734375","52","90","41","1.0440854836550009","2.854921244369143","150.0"
"501","750","52","0.35","false","2.734375","52","90","41","1.0399817189955132","2.8437000128783563","150.0"
"751","950","56","0.35","false","2.734375","56","90","41","1.0432875240688884","2.8527393236258667","150.0"
"951","1066","60","0.35","false","2.734375","60","90","41","1.037654924727168","2.83733768480085","150.0"
"1067","1086","80","0.35","false","2.734375","80","90","41","1.0497939352839736","2.8705302917921154","150.0"
"1087","1190","148","0.35","false","2.734375","148","90","41","1.0407151180022927","2.845705400787519","150.0"
"1191","1220","192","0.35","false","2.734375","192","90","41","1.0404895554471445","2.8450886281757857","150.0"
"1221","1250","200","0.35","false","2.734375","200","90","41","1.033636244163692","2.8263491051350953","150.0"
"1251","1279","212","0.35","false","2.734375","212","90","41","1.0375591525079428","2.837075807638906","150.0"
"1280","1290","228","0.35","false","2.734375","228","90","41","1.021945384450464","2.7943819106067376","150.0"
"1291","1315","224","0.35","false","2.734375","224","90","41","1.0385823161530836","2.839873520731088","150.0"
"1316","1325","200","0.35","false","2.734375","200","90","41","1.0235355824782002","2.7987301083388285","150.0"
"1326","1348","228","0.35","false","2.734375","228","90","41","1.0454035079625459","2.8585252170850866","150.0"
"1349","1351","120","0.35","true","2.734375","120","90","41","0.8460221753942947","2.3133418858437746","150.0"
"1352","1377","120","0.35","false","2.734375","120","90","41","1.0274000142074073","2.8092969138483794","150.0"
"1378","1400","100","0.35","false","2.734375","100","90","41","1.0334237718133423","2.825768126052108","150.0"
"1401","1430","96","0.35","false","2.734375","96","90","41","1.031472424428783","2.820432410547453","150.0"
"1431","1450","92","0.35","false","2.734375","92","90","41","1.0364859461799028","2.8341412590856714","150.0"
"1451","1490","104","0.35","false","2.734375","104","90","41","1.0370461296061286","2.835673010641758","150.0"
"1491","1522","112","0.35","false","2.734375","112","90","41","1.031707525242484","2.8210752643349175","150.0"
"1523","1541","136","0.35","false","2.734375","136","90","41","1.0359334168812575","2.8326304367846884","150.0"
"1542","1560","152","0.35","false","2.734375","152","90","41","1.0337059738223981","2.82653977217062","150.0"
"1561","1600","200","0.31","false","2.734375","200","90","41","1.0453644487950133","2.8584184146738645","150.0"
"1601","1650","252","0.29","false","2.734375","252","90","41","1.0469810949609992","2.8628389315339824","150.0"
"1651","1700","248","0.26","false","2.734375","248","90","41","1.0417522693754762","2.8485413615735675","150.0"
"1701","1801","452","0.25","false","2.734375","452","90","41","1.0517028400501962","2.8757499532622552","150.0"
"1802","1811","500","0.28","false","2.734375","500","90","41","1.0464993151552238","2.861521564877565","150.0"
"1812","1821","536","0.28","false","2.734375","536","90","41","1.048893906053767","2.868069274365769","150.0"
"1822","1831","632","0.26","false","2.734375","632","90","41","1.0614000137136999","2.9022656624983982","150.0"
"1832","1841","808","0.25","false","2.734375","808","90","41","1.0666789528083365","2.916700261585295","150.0"
"1842","1851","1096","0.22","false","2.734375","1096","90","41","1.0785591490904267","2.9491851732941354","150.0"
"1852","1861","1160","0.25","false","2.734375","1160","90","41","1.0507429461653033","2.873125243420751","150.0"
"1862","1871","1260","0.22","false","2.734375","1260","90","41","1.0555813172124682","2.8863551642528424","150.0"
"1872","1881","1400","0.21","false","2.734375","1400","90","41","1.0574410198076352","2.8914402885365025","150.0"
"1882","1891","1512","0.19","false","2.734375","1512","90","41","1.061772902312542","2.903285279760857","150.0"
"1892","1901","1528","0.18","false","2.734375","1528","90","41","1.0543571557876175","2.8830078478567667","150.0"
"1902","1911","1684","0.13","false","2.734375","1684","90","41","1.0736859296683172","2.935859963936805","150.0"
"1912","1921","1760","0.14","false","2.734375","1760","90","41","1.0661216978269954","2.9151765174956905","150.0"
"1922","1931","1800","0.12","false","2.734375","1800","90","41","1.068015449615362","2.9203547450420055","150.0"
"1932","1941","2008","0.07","false","2.734375","2008","90","41","1.0879080602069915","2.9747486021284923","150.0"
"1942","1951","2112","0.08","false","2.734375","2112","90","41","1.0817947330414428","2.9580324731601952","150.0"
"1952","1961","2236","0.09","false","2.734375","2236","90","41","1.0837798268967413","2.963460464170777","150.0"
"1962","1971","2252","0.1","false","2.734375","2252","90","41","1.078042830397124","2.9477733643671358","150.0"
"1972","1981","2296","0.07","false","2.734375","2296","90","41","1.0872698804395253","2.9730035793268272","150.0"
"1982","1991","2372","0.1","false","2.734375","2372","90","41","1.084249186803193","2.964743870164981","150.0"
"1992","2001","2528","0.09","false","2.734375","2528","90","41","1.1056585386483597","3.0232850666166087","150.0"
"2002","2011","2624","0.09","false","2.734375","2624","90","41","1.1217832214744423","3.067375996219178","150.0"
"2012","2015","2650","0.09","false","2.734375","2650","90","41","1.1156301575736356","3.0505512121154097","150.0"
