"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","60","0.35","false","3.75","60","90","41","3.703910535317382","13.889664507440182","150.0"
"1","43","80","0.35","false","3.75","80","90","41","1.1114910857056899","4.168091571396337","150.0"
"44","200","180","0.35","false","3.75","180","90","41","1.0989155441809741","4.120933290678653","150.0"
"201","410","120","0.35","false","4.53125","120","90","41","3.385514760465896","15.340613758361092","150.0"
"411","430","50","0.35","false","4.53125","50","90","41","0.8739613231138309","3.9601372453595465","150.0"
"431","500","52","0.35","false","4.53125","52","90","41","0.9211865746527914","4.174126666395461","150.0"
"501","750","52","0.35","false","3.9648429999999997","52","90","41","4.994386460587852","19.80195819755652","150.0"
"751","950","56","0.35","false","3.9648429999999997","56","90","41","1.0373143814186907","4.112788663967225","150.0"
"951","1066","60","0.35","false","3.9648429999999997","60","90","41","1.0256289245245154","4.066457661998553","150.0"
"1067","1086","80","0.35","false","3.9648429999999997","80","90","41","1.044352914178427","4.140695341309936","150.0"
"1087","1190","148","0.35","false","3.9648429999999997","148","90","41","1.029898552838571","4.083386067932137","150.0"
"1191","1220","192","0.35","false","3.9648429999999997","192","90","41","1.03249260396993","4.093671073401949","150.0"
"1221","1250","200","0.35","false","3.9648429999999997","200","90","41","1.0262037920680425","4.068736921554433","150.0"
"1251","1279","212","0.35","false","3.9648429999999997","212","90","41","1.0246617557563198","4.062622989678154","150.0"
"1280","1290","228","0.35","false","3.9648429999999997","228","90","41","1.0238420791002203","4.059373100425955","150.0"
"1291","1315","224","0.35","false","3.9648429999999997","224","90","41","1.018095435591016","4.03658856113499","150.0"
"1316","1325","200","0.35","false","3.9648429999999997","200","90","41","0.9949459317871051","3.9448044130245807","150.0"
"1326","1348","228","0.35","false","3.9648429999999997","228","90","41","1.0374270614223462","4.113235422490959","150.0"
"1349","1351","120","0.35","true","3.9648429999999997","120","90","41","0.8310479388489993","3.2949746030098828","150.0"
"1352","1377","120","0.35","false","3.9648429999999997","120","90","41","1.0215101860940605","4.0501275107637325","150.0"
"1378","1400","100","0.35","false","3.9648429999999997","100","90","41","1.015080662204371","4.024635457976365","150.0"
"1401","1430","96","0.35","false","3.9648429999999997","96","90","41","1.017312669965038","4.0334850183221915","150.0"
"1431","1450","92","0.35","false","3.9648429999999997","92","90","41","1.010988315891378","4.0084099473437185","150.0"
"1451","1490","104","0.35","false","3.9648429999999997","104","90","41","1.0218814832678957","4.051599645764333","150.0"
"1491","1522","112","0.35","false","3.9648429999999997","112","90","41","1.0229005316748085","4.055640012707142","150.0"
"1523","1541","136","0.35","false","3.9648429999999997","136","90","41","1.0274346321500882","4.073617009237852","150.0"
"1542","1560","152","0.35","false","3.9648429999999997","152","90","41","1.0207361309414553","4.047058503610312","150.0"
"1561","1600","200","0.31","false","3.9648429999999997","200","90","41","1.0317367523321","4.09067424032666","150.0"
"1601","1650","252","0.29","false","3.9648429999999997","252","90","41","1.0255059608124897","4.065970130185674","150.0"
"1651","1700","248","0.26","false","3.9648429999999997","248","90","41","1.0271429734766644","4.072460628388138","150.0"
"1701","1801","452","0.25","false","3.9648429999999997","452","90","41","1.032435216127384","4.093443539616145","150.0"
"1802","1811","500","0.28","false","3.9648429999999997","500","90","41","1.0338155779902345","4.098916457685535","150.0"
"1812","1821","536","0.28","false","3.9648429999999997","536","90","41","1.0272494334085907","4.072882725304017","150.0"
"1822","1831","632","0.26","false","3.9648429999999997","632","90","41","1.0443714762878589","4.140768937159583","150.0"
"1832","1841","808","0.25","false","3.9648429999999997","808","90","41","1.0444621930414855","4.141128614845182","150.0"
"1842","1851","1096","0.22","false","3.9648429999999997","1096","90","41","1.0553757739252065","4.184399249616938","150.0"
"1852","1861","1160","0.25","false","3.9648429999999997","1160","90","41","1.0340994177898255","4.100041837928065","150.0"
"1862","1871","1260","0.22","false","3.9648429999999997","1260","90","41","1.038738700090787","4.118435863884056","150.0"
"1872","1881","1400","0.21","false","3.9648429999999997","1400","90","41","1.0401531185022406","4.124043810821779","150.0"
"1882","1891","1512","0.19","false","3.9648429999999997","1512","90","41","1.0382557701991924","4.116521122683876","150.0"
"1892","1901","1528","0.18","false","3.9648429999999997","1528","90","41","1.0341102373137347","4.100084735641699","150.0"
"1902","1911","1684","0.13","false","3.9648429999999997","1684","90","41","1.0541205833009208","4.179422615856573","150.0"
"1912","1921","1760","0.14","false","3.9648429999999997","1760","90","41","1.0470439029104615","4.151364689147222","150.0"
"1922","1931","1800","0.12","false","3.9648429999999997","1800","90","41","1.046956075072559","4.15101646555891","150.0"
"1932","1941","2008","0.07","false","3.9648429999999997","2008","90","41","1.078181855665657","4.274821783162991","150.0"
"1942","1951","2112","0.08","false","3.9648429999999997","2112","90","41","1.0630499170093395","4.21482602210506","150.0"
"1952","1961","2236","0.09","false","3.9648429999999997","2236","90","41","1.0626051108019923","4.213062435327503","150.0"
"1962","1971","2252","0.1","false","3.9648429999999997","2252","90","41","1.0575709419215786","4.193102746081177","150.0"
"1972","1981","2296","0.07","false","3.9648429999999997","2296","90","41","1.0636697163170648","4.217283429051699","150.0"
"1982","1991","2372","0.1","false","3.9648429999999997","2372","90","41","1.0643000009596868","4.219782408705007","150.0"
"1992","2001","2528","0.09","false","3.9648429999999997","2528","90","41","1.0754867531700865","4.264136124899145","150.0"
"2002","2011","2624","0.09","false","3.9648429999999997","2624","90","41","1.0755624508423882","4.264436254285287","150.0"
"2012","2015","2650","0.09","false","3.9648429999999997","2650","90","41","1.0670804133462337","4.230806307292921","150.0"
