"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","60","0.35","false","6.25","60","90","41","3.3521712847225866","20.951070529516166","150.0"
"1","43","80","0.35","false","6.25","80","90","41","1.0873743721026257","6.796089825641411","150.0"
"44","200","180","0.35","false","6.25","180","90","41","1.079399194382864","6.746244964892901","150.0"
"201","410","120","0.35","false","6.25","120","90","41","1.0718925878137031","6.699328673835645","150.0"
"411","430","50","0.35","false","6.25","50","90","41","1.0182906895363488","6.3643168096021805","150.0"
"431","500","52","0.35","false","6.25","52","90","41","1.0795417289019487","6.747135805637179","150.0"
"501","750","52","0.35","false","6.25","52","90","41","1.0767048273363982","6.7294051708524885","150.0"
"751","950","56","0.35","false","6.25","56","90","41","1.0718884883972053","6.699303052482533","150.0"
"951","1066","60","0.35","false","6.25","60","90","41","1.0777892512066758","6.736182820041724","150.0"
"1067","1086","80","0.35","false","6.25","80","90","41","1.0786067543559597","6.741292214724748","150.0"
"1087","1190","148","0.35","false","6.25","148","90","41","1.0728402184368542","6.705251365230339","150.0"
"1191","1220","192","0.35","false","6.25","192","90","41","1.0722713649537203","6.701696030960752","150.0"
"1221","1250","200","0.35","false","6.25","200","90","41","1.0706649010448717","6.691655631530448","150.0"
"1251","1279","212","0.35","false","6.25","212","90","41","1.06060284992078","6.628767812004875","150.0"
"1280","1290","228","0.35","false","6.25","228","90","41","1.0831205499781127","6.769503437363205","150.0"
"1291","1315","224","0.35","false","6.25","224","90","41","1.0592654045847807","6.6204087786548795","150.0"
"1316","1325","200","0.35","false","6.25","200","90","41","1.0401503047378644","6.500939404611652","150.0"
"1326","1348","228","0.35","false","6.25","228","90","41","1.0695493656566573","6.684683535354107","150.0"
"1349","1351","120","0.35","true","6.25","120","90","41","0.8575612835997876","5.3597580224986725","150.0"
"1352","1377","120","0.35","false","6.25","120","90","41","1.0822527536200854","6.764079710125534","150.0"
"1378","1400","100","0.35","false","6.25","100","90","41","1.0536521140640271","6.58532571290017","150.0"
"1401","1430","96","0.35","false","6.25","96","90","41","1.0529531040617788","6.580956900386117","150.0"
"1431","1450","92","0.35","false","6.25","92","90","41","1.0643064917457405","6.651915573410879","150.0"
"1451","1490","104","0.35","false","6.25","104","90","41","1.0709312799929265","6.6933204999557905","150.0"
"1491","1522","112","0.35","false","6.25","112","90","41","1.0664302597269288","6.665189123293305","150.0"
"1523","1541","136","0.35","false","6.25","136","90","41","1.0750094392959892","6.718808995599932","150.0"
"1542","1560","152","0.35","false","6.25","152","90","41","1.0683191777796033","6.6769948611225205","150.0"
"1561","1600","200","0.31","false","6.25","200","90","41","1.0814266952985927","6.758916845616205","150.0"
"1601","1650","252","0.29","false","6.25","252","90","41","1.0687946600454645","6.679966625284154","150.0"
"1651","1700","248","0.26","false","6.25","248","90","41","1.0682776072985696","6.67673504561606","150.0"
"1701","1801","452","0.25","false","6.25","452","90","41","1.0766292823591432","6.728933014744645","150.0"
"1802","1811","500","0.28","false","6.25","500","90","41","1.0789513874026997","6.743446171266873","150.0"
"1812","1821","536","0.28","false","6.25","536","90","41","1.0792814081894886","6.745508801184304","150.0"
"1822","1831","632","0.26","false","6.25","632","90","41","1.088721751209666","6.804510945060413","150.0"
"1832","1841","808","0.25","false","6.25","808","90","41","1.0945636619563273","6.841022887227045","150.0"
"1842","1851","1096","0.22","false","6.25","1096","90","41","1.1237863733561722","7.023664833476076","150.0"
"1852","1861","1160","0.25","false","6.25","1160","90","41","1.0723586785758616","6.702241741099135","150.0"
"1862","1871","1260","0.22","false","6.25","1260","90","41","1.087577382438334","6.797358640239587","150.0"
"1872","1881","1400","0.21","false","6.25","1400","90","41","1.0839417298160368","6.77463581135023","150.0"
"1882","1891","1512","0.19","false","6.25","1512","90","41","1.0933339463107503","6.83333716444219","150.0"
"1892","1901","1528","0.18","false","6.25","1528","90","41","1.0800510263769127","6.750318914855705","150.0"
"1902","1911","1684","0.13","false","6.25","1684","90","41","1.1010214375781686","6.881383984863554","150.0"
"1912","1921","1760","0.14","false","6.25","1760","90","41","1.0917199575191676","6.823249734494798","150.0"
"1922","1931","1800","0.12","false","6.25","1800","90","41","1.0958982910443322","6.849364319027076","150.0"
"1932","1941","2008","0.07","false","6.25","2008","90","41","1.116545710353066","6.978410689706663","150.0"
"1942","1951","2112","0.08","false","6.25","2112","90","41","1.1091403041618595","6.932126901011622","150.0"
"1952","1961","2236","0.09","false","6.25","2236","90","41","1.108779747251767","6.929873420323545","150.0"
"1962","1971","2252","0.1","false","6.25","2252","90","41","1.1056742758221259","6.910464223888287","150.0"
"1972","1981","2296","0.07","false","6.25","2296","90","41","1.1126741642715665","6.95421352669729","150.0"
"1982","1991","2372","0.1","false","6.25","2372","90","41","1.111707471203149","6.948171695019681","150.0"
"1992","2001","2528","0.09","false","6.25","2528","90","41","1.1246449124911848","7.029030703069905","150.0"
"2002","2011","2624","0.09","false","6.25","2624","90","41","1.1393749446761359","7.121093404225849","150.0"
"2012","2015","2650","0.09","false","6.25","2650","90","41","1.1383674084196478","7.114796302622799","150.0"
