"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","60","0.35","false","1.83E-4","60","90","41","8.826462314835362","0.0016152426036148714","150.0"
"1","43","80","0.35","false","1.83E-4","80","90","41","1.0895601951529683","1.993895157129932E-4","150.0"
"44","200","180","0.35","false","1.83E-4","180","90","41","1.089144962454559","1.993135281291843E-4","150.0"
"201","410","120","0.35","false","1.83E-4","120","90","41","1.081696129266262","1.9795039165572593E-4","150.0"
"411","430","50","0.35","false","1.83E-4","50","90","41","1.0426155775084447","1.9079865068404538E-4","150.0"
"431","500","52","0.35","false","1.83E-4","52","90","41","1.088053869977897","1.9911385820595514E-4","150.0"
"501","750","52","0.35","false","1.83E-4","52","90","41","1.0829989263991475","1.98188803531044E-4","150.0"
"751","950","56","0.35","false","1.83E-4","56","90","41","1.0871907504123686","1.9895590732546344E-4","150.0"
"951","1066","60","0.35","false","1.83E-4","60","90","41","1.086996959524602","1.9892044359300217E-4","150.0"
"1067","1086","80","0.35","false","2.13E-4","80","90","41","14.672883319991968","0.003125324147158289","150.0"
"1087","1190","148","0.35","false","2.13E-4","148","90","41","0.9344753546854562","1.9904325054800217E-4","150.0"
"1191","1220","192","0.35","false","2.13E-4","192","90","41","0.9367399936914101","1.9952561865627035E-4","150.0"
"1221","1250","200","0.35","false","2.13E-4","200","90","41","0.9300807669597708","1.981072033624312E-4","150.0"
"1251","1279","212","0.35","false","2.13E-4","212","90","41","0.9324341286787832","1.9860846940858082E-4","150.0"
"1280","1290","228","0.35","false","2.13E-4","228","90","41","0.9210074170048405","1.9617457982203101E-4","150.0"
"1291","1315","224","0.35","false","2.13E-4","224","90","41","0.9279846999275795","1.9766074108457443E-4","150.0"
"1316","1325","200","0.35","false","2.13E-4","200","90","41","0.9043746412359965","1.9263179858326727E-4","150.0"
"1326","1348","228","0.35","false","2.13E-4","228","90","41","0.9319677113717337","1.9850912252217928E-4","150.0"
"1349","1351","120","0.35","true","2.13E-4","120","90","41","0.7481969754412571","1.5936595576898776E-4","150.0"
"1352","1377","120","0.35","false","2.13E-4","120","90","41","0.9225847647174485","1.9651055488481654E-4","150.0"
"1378","1400","100","0.35","false","1.86E-4","100","90","41","5.0104083621871","9.319359553668006E-4","150.0"
"1401","1430","96","0.35","false","1.86E-4","96","90","41","1.0498387980093888","1.952700164297463E-4","150.0"
"1431","1450","92","0.35","false","1.86E-4","92","90","41","1.0619309600814155","1.9751915857514328E-4","150.0"
"1451","1490","104","0.35","false","1.86E-4","104","90","41","1.0642925283458224","1.9795841027232296E-4","150.0"
"1491","1522","112","0.35","false","1.86E-4","112","90","41","1.0587867550324772","1.9693433643604076E-4","150.0"
"1523","1541","136","0.35","false","1.86E-4","136","90","41","1.0613617445957104","1.9741328449480214E-4","150.0"
"1542","1560","152","0.35","false","1.86E-4","152","90","41","1.0862046095459683","2.020340573755501E-4","150.0"
"1561","1600","200","0.31","false","1.86E-4","200","90","41","1.0782894169907655","2.005618315602824E-4","150.0"
"1601","1650","252","0.29","false","1.86E-4","252","90","41","1.073689855113687","1.9970631305114579E-4","150.0"
"1651","1700","248","0.26","false","1.86E-4","248","90","41","1.069279666953305","1.988860180533147E-4","150.0"
"1701","1801","452","0.25","false","1.86E-4","452","90","41","1.0771818233867039","2.0035581914992691E-4","150.0"
"1802","1811","500","0.28","false","1.86E-4","500","90","41","1.0774457033866873","2.0040490082992384E-4","150.0"
"1812","1821","536","0.28","false","1.86E-4","536","90","41","1.0809733160919148","2.0106103679309615E-4","150.0"
"1822","1831","632","0.26","false","1.86E-4","632","90","41","1.0885323850114972","2.0246702361213846E-4","150.0"
"1832","1841","808","0.25","false","1.86E-4","808","90","41","1.0988629375885124","2.043885063914633E-4","150.0"
"1842","1851","1096","0.22","false","1.86E-4","1096","90","41","1.1109219446659415","2.0663148170786512E-4","150.0"
"1852","1861","1160","0.25","false","1.86E-4","1160","90","41","1.0772003489209268","2.0035926489929236E-4","150.0"
"1862","1871","1260","0.22","false","1.86E-4","1260","90","41","1.0850768012350622","2.0182428502972156E-4","150.0"
"1872","1881","1400","0.21","false","1.86E-4","1400","90","41","1.0899460780447483","2.0272997051632317E-4","150.0"
"1882","1891","1512","0.19","false","1.86E-4","1512","90","41","1.0894185231996942","2.0263184531514312E-4","150.0"
"1892","1901","1528","0.18","false","1.86E-4","1528","90","41","1.0852573145148445","2.0185786049976108E-4","150.0"
"1902","1911","1684","0.13","false","1.86E-4","1684","90","41","1.0997998183891817","2.045627662203878E-4","150.0"
"1912","1921","1760","0.14","false","1.86E-4","1760","90","41","1.0908205764215133","2.0289262721440146E-4","150.0"
"1922","1931","1800","0.12","false","1.86E-4","1800","90","41","1.095789241993764","2.038167990108401E-4","150.0"
"1932","1941","2008","0.07","false","1.86E-4","2008","90","41","1.1213129363180998","2.0856420615516656E-4","150.0"
"1942","1951","2112","0.08","false","1.86E-4","2112","90","41","1.11177994309462","2.067910694155993E-4","150.0"
"1952","1961","2236","0.09","false","1.86E-4","2236","90","41","1.1120705589212392","2.0684512395935048E-4","150.0"
"1962","1971","2252","0.1","false","1.86E-4","2252","90","41","1.1067174941763398","2.058494539167992E-4","150.0"
"1972","1981","2296","0.07","false","1.86E-4","2296","90","41","1.118740564019293","2.0808574490758846E-4","150.0"
"1982","1991","2372","0.1","false","1.86E-4","2372","90","41","1.1127137021956417","2.0696474860838935E-4","150.0"
