"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","60","0.35","false","4.0","60","90","41","1.198770416679433","4.795081666717732","150.0"
"1","43","80","0.35","false","4.0","80","90","41","1.1966459242815701","4.7865836971262805","150.0"
"44","200","180","0.35","false","4.0","180","90","41","1.1899684297008513","4.759873718803405","150.0"
"201","410","120","0.35","false","4.0","120","90","41","1.1787577604748682","4.715031041899473","150.0"
"411","430","50","0.35","false","4.0","50","90","41","1.1463189385841555","4.585275754336622","150.0"
"431","500","52","0.35","false","4.0","52","90","41","1.1805525210675438","4.722210084270175","150.0"
"501","750","52","0.35","false","4.0","52","90","41","1.1861892634626907","4.744757053850763","150.0"
"751","950","56","0.35","false","4.0","56","90","41","1.1861042540728204","4.7444170162912815","150.0"
"951","1066","60","0.35","false","4.0","60","90","41","1.1804821458900123","4.721928583560049","150.0"
"1067","1086","80","0.35","false","4.0","80","90","41","1.188171041305889","4.752684165223556","150.0"
"1087","1190","148","0.35","false","4.0","148","90","41","1.1775296539450306","4.7101186157801225","150.0"
"1191","1220","192","0.35","false","4.0","192","90","41","1.1819763519957673","4.727905407983069","150.0"
"1221","1250","200","0.35","false","4.0","200","90","41","1.1715565919733641","4.686226367893457","150.0"
"1251","1279","212","0.35","false","4.0","212","90","41","1.1683291349582765","4.673316539833106","150.0"
"1280","1290","228","0.35","false","4.0","228","90","41","1.183769378047691","4.735077512190764","150.0"
"1291","1315","224","0.35","false","4.0","224","90","41","1.1703791571314766","4.681516628525906","150.0"
"1316","1325","200","0.35","false","4.0","200","90","41","1.1404390739566534","4.561756295826614","150.0"
"1326","1348","228","0.35","false","4.0","228","90","41","1.1774866372736326","4.70994654909453","150.0"
"1349","1351","120","0.35","true","4.0","120","90","41","0.9635414979939189","3.8541659919756754","150.0"
"1352","1377","120","0.35","false","4.0","120","90","41","1.1603268812751233","4.641307525100493","150.0"
"1378","1400","100","0.35","false","4.0","100","90","41","1.1697652117227761","4.679060846891105","150.0"
"1401","1430","96","0.35","false","4.0","96","90","41","1.1772938036842786","4.709175214737114","150.0"
"1431","1450","92","0.35","false","4.0","92","90","41","1.1775253018724765","4.710101207489906","150.0"
"1451","1490","104","0.35","false","4.0","104","90","41","1.1752154010049187","4.700861604019675","150.0"
"1491","1522","112","0.35","false","4.0","112","90","41","1.1671361333706851","4.6685445334827405","150.0"
"1523","1541","136","0.35","false","4.0","136","90","41","1.1807469283297913","4.722987713319165","150.0"
"1542","1560","152","0.35","false","4.0","152","90","41","1.1756127649525494","4.702451059810198","150.0"
"1561","1600","200","0.31","false","4.0","200","90","41","1.1841705300191363","4.736682120076545","150.0"
"1601","1650","252","0.29","false","4.0","252","90","41","1.176895009211023","4.707580036844092","150.0"
"1651","1700","248","0.26","false","4.0","248","90","41","1.1759744061379493","4.703897624551797","150.0"
"1701","1801","452","0.25","false","4.0","452","90","41","1.1895928393442539","4.758371357377015","150.0"
"1802","1811","500","0.28","false","4.0","500","90","41","1.1786961728882162","4.714784691552865","150.0"
"1812","1821","536","0.28","false","4.0","536","90","41","1.1914765950138901","4.7659063800555606","150.0"
"1822","1831","632","0.26","false","4.0","632","90","41","1.1988223309051707","4.795289323620683","150.0"
"1832","1841","808","0.25","false","4.0","808","90","41","1.2100321662012639","4.840128664805055","150.0"
"1842","1851","1096","0.22","false","4.0","1096","90","41","1.2238628271229166","4.895451308491666","150.0"
"1852","1861","1160","0.25","false","4.0","1160","90","41","1.1917679739089828","4.767071895635931","150.0"
"1862","1871","1260","0.22","false","4.0","1260","90","41","1.1952959480082936","4.781183792033175","150.0"
"1872","1881","1400","0.21","false","4.0","1400","90","41","1.2014846191189628","4.805938476475851","150.0"
"1882","1891","1512","0.19","false","4.0","1512","90","41","1.195308317845597","4.781233271382388","150.0"
"1892","1901","1528","0.18","false","4.0","1528","90","41","1.1954281437737753","4.781712575095101","150.0"
"1902","1911","1684","0.13","false","4.0","1684","90","41","1.2156383503886332","4.862553401554533","150.0"
"1912","1921","1760","0.14","false","4.0","1760","90","41","1.2050323217516072","4.820129287006429","150.0"
"1922","1931","1800","0.12","false","4.0","1800","90","41","1.2121566118860148","4.848626447544059","150.0"
"1932","1941","2008","0.07","false","4.0","2008","90","41","1.2403969394340713","4.961587757736285","150.0"
"1942","1951","2112","0.08","false","4.0","2112","90","41","1.2232491390205864","4.892996556082346","150.0"
"1952","1961","2236","0.09","false","4.0","2236","90","41","1.2273773095224896","4.909509238089958","150.0"
"1962","1971","2252","0.1","false","4.0","2252","90","41","1.2212895024451513","4.885158009780605","150.0"
"1972","1981","2296","0.07","false","4.0","2296","90","41","1.2305765559741573","4.922306223896629","150.0"
"1982","1991","2372","0.1","false","4.0","2372","90","41","1.2301654125894603","4.920661650357841","150.0"
"1992","2001","2528","0.09","false","4.0","2528","90","41","1.2494197884554863","4.997679153821945","150.0"
"2002","2011","2624","0.09","false","4.0","2624","90","41","1.2605279998507701","5.0421119994030805","150.0"
"2012","2015","2650","0.09","false","4.0","2650","90","41","1.279370883830151","5.117483535320604","150.0"
