"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","60","0.35","false","2.0","60","90","41","0.9620851064333531","1.9241702128667062","150.0"
"1","43","80","0.35","false","2.0","80","90","41","0.9446088670307613","1.8892177340615226","150.0"
"44","200","180","0.35","false","2.0","180","90","41","0.9529794742213088","1.9059589484426176","150.0"
"201","410","120","0.35","false","2.0","120","90","41","0.9465670216290581","1.8931340432581163","150.0"
"411","430","50","0.35","false","2.0","50","90","41","0.9068587056086106","1.8137174112172212","150.0"
"431","500","52","0.35","false","2.0","52","90","41","0.9545406737789991","1.9090813475579982","150.0"
"501","750","52","0.35","false","2.0","52","90","41","0.9488874207316303","1.8977748414632607","150.0"
"751","950","56","0.35","false","2.0","56","90","41","0.9492018326582204","1.898403665316441","150.0"
"951","1066","60","0.35","false","2.0","60","90","41","0.9523412328842732","1.9046824657685464","150.0"
"1067","1086","80","0.35","false","2.0","80","90","41","0.9618049899231492","1.9236099798462984","150.0"
"1087","1190","148","0.35","false","2.0","148","90","41","0.9512275213824213","1.9024550427648426","150.0"
"1191","1220","192","0.35","false","2.0","192","90","41","0.9588145776541509","1.9176291553083018","150.0"
"1221","1250","200","0.35","false","2.0","200","90","41","0.952530663674325","1.90506132734865","150.0"
"1251","1279","212","0.35","false","2.0","212","90","41","0.9482529239915644","1.8965058479831287","150.0"
"1280","1290","228","0.35","false","2.0","228","90","41","0.9464628398572587","1.8929256797145173","150.0"
"1291","1315","224","0.35","false","2.0","224","90","41","0.9534482716296065","1.906896543259213","150.0"
"1316","1325","200","0.35","false","2.0","200","90","41","0.9289639034596222","1.8579278069192444","150.0"
"1326","1348","228","0.35","false","2.0","228","90","41","0.9488752984009153","1.8977505968018307","150.0"
"1349","1351","120","0.35","true","2.0","120","90","41","0.7771107868618241","1.5542215737236482","150.0"
"1352","1377","120","0.35","false","2.0","120","90","41","0.9506583665093713","1.9013167330187426","150.0"
"1378","1400","100","0.35","false","2.0","100","90","41","0.9354948484942976","1.8709896969885953","150.0"
"1401","1430","96","0.35","false","2.0","96","90","41","0.9464581797874608","1.8929163595749217","150.0"
"1431","1450","92","0.35","false","2.0","92","90","41","0.934350574439914","1.868701148879828","150.0"
"1451","1490","104","0.35","false","2.0","104","90","41","0.9504301998367704","1.9008603996735407","150.0"
"1491","1522","112","0.35","false","2.0","112","90","41","0.9496257651686248","1.8992515303372497","150.0"
"1523","1541","136","0.35","false","2.0","136","90","41","0.9638411945247243","1.9276823890494486","150.0"
"1542","1560","152","0.35","false","2.0","152","90","41","0.958999856588709","1.917999713177418","150.0"
"1561","1600","200","0.31","false","2.0","200","90","41","0.9609880733945847","1.9219761467891694","150.0"
"1601","1650","252","0.29","false","2.0","252","90","41","0.9611241810410948","1.9222483620821895","150.0"
"1651","1700","248","0.26","false","2.0","248","90","41","0.9595577810846813","1.9191155621693625","150.0"
"1701","1801","452","0.25","false","2.0","452","90","41","0.9668382505093814","1.9336765010187629","150.0"
"1802","1811","500","0.28","false","2.0","500","90","41","0.9644700061598046","1.9289400123196092","150.0"
"1812","1821","536","0.28","false","2.0","536","90","41","0.9633251720675059","1.9266503441350118","150.0"
"1822","1831","632","0.26","false","2.0","632","90","41","0.9783395541056699","1.9566791082113397","150.0"
"1832","1841","808","0.25","false","2.0","808","90","41","0.9780527864383023","1.9561055728766046","150.0"
"1842","1851","1096","0.22","false","2.0","1096","90","41","1.0032756416891606","2.0065512833783212","150.0"
"1852","1861","1160","0.25","false","2.0","1160","90","41","0.9657347599797154","1.9314695199594307","150.0"
"1862","1871","1260","0.22","false","2.0","1260","90","41","0.9684070334009853","1.9368140668019707","150.0"
"1872","1881","1400","0.21","false","2.0","1400","90","41","0.971172183831271","1.942344367662542","150.0"
"1882","1891","1512","0.19","false","2.0","1512","90","41","0.9727288071071192","1.9454576142142384","150.0"
"1892","1901","1528","0.18","false","2.0","1528","90","41","0.9700566596119392","1.9401133192238784","150.0"
"1902","1911","1684","0.13","false","2.0","1684","90","41","0.9867047912509829","1.9734095825019657","150.0"
"1912","1921","1760","0.14","false","2.0","1760","90","41","0.9785579123232486","1.9571158246464972","150.0"
"1922","1931","1800","0.12","false","2.0","1800","90","41","0.9812720771472014","1.9625441542944029","150.0"
"1932","1941","2008","0.07","false","2.0","2008","90","41","1.003865881182466","2.007731762364932","150.0"
"1942","1951","2112","0.08","false","2.0","2112","90","41","0.9935751857838484","1.9871503715676968","150.0"
"1952","1961","2236","0.09","false","2.0","2236","90","41","0.9946884999758524","1.9893769999517048","150.0"
"1962","1971","2252","0.1","false","2.0","2252","90","41","0.9921928934460009","1.9843857868920018","150.0"
"1972","1981","2296","0.07","false","2.0","2296","90","41","1.0005257744416391","2.0010515488832783","150.0"
"1982","1991","2372","0.1","false","2.0","2372","90","41","0.9965847540216579","1.9931695080433158","150.0"
"1992","2001","2528","0.09","false","2.0","2528","90","41","1.0082691736410452","2.0165383472820904","150.0"
"2002","2011","2624","0.09","false","2.0","2624","90","41","1.0084855576608445","2.016971115321689","150.0"
"2012","2015","2650","0.09","false","2.0","2650","90","41","1.014036184639692","2.028072369279384","150.0"
