"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","60","0.35","false","2.5","60","90","41","1.1550396568990375","2.887599142247594","150.0"
"1","43","80","0.35","false","2.5","80","90","41","1.137998428954921","2.8449960723873025","150.0"
"44","200","180","0.35","false","2.5","180","90","41","1.1439705633084307","2.8599264082710767","150.0"
"201","410","120","0.35","false","2.5","120","90","41","1.1374708475316617","2.843677118829154","150.0"
"411","430","50","0.35","false","2.5","50","90","41","1.094367552234018","2.7359188805850447","150.0"
"431","500","52","0.35","false","2.5","52","90","41","1.1340856040435454","2.8352140101088636","150.0"
"501","750","52","0.35","false","2.5","52","90","41","1.1439113702121937","2.859778425530484","150.0"
"751","950","56","0.35","false","2.5","56","90","41","1.139671853656505","2.8491796341412625","150.0"
"951","1066","60","0.35","false","2.5","60","90","41","1.1342442932100156","2.835610733025039","150.0"
"1067","1086","80","0.35","false","2.5","80","90","41","1.1547880495358411","2.886970123839603","150.0"
"1087","1190","148","0.35","false","2.5","148","90","41","1.1425486707010013","2.856371676752503","150.0"
"1191","1220","192","0.35","false","2.5","192","90","41","1.1383443847955157","2.845860961988789","150.0"
"1221","1250","200","0.35","false","2.5","200","90","41","1.1379708303904261","2.844927075976065","150.0"
"1251","1279","212","0.35","false","2.5","212","90","41","1.1346690058760047","2.8366725146900116","150.0"
"1280","1290","228","0.35","false","2.5","228","90","41","1.1473220949982996","2.868305237495749","150.0"
"1291","1315","224","0.35","false","2.5","224","90","41","1.1324519845936185","2.8311299614840464","150.0"
"1316","1325","200","0.35","false","2.5","200","90","41","1.1070176929637525","2.7675442324093815","150.0"
"1326","1348","228","0.35","false","2.5","228","90","41","1.1346689233091245","2.8366723082728114","150.0"
"1349","1351","120","0.35","true","2.5","120","90","41","0.9420018515763197","2.355004628940799","150.0"
"1352","1377","120","0.35","false","2.5","120","90","41","1.11811836895566","2.79529592238915","150.0"
"1378","1400","100","0.35","false","2.5","100","90","41","1.1375149157445652","2.843787289361413","150.0"
"1401","1430","96","0.35","false","2.5","96","90","41","1.1419958518357183","2.8549896295892956","150.0"
"1431","1450","92","0.35","false","2.5","92","90","41","1.134293907968701","2.8357347699217526","150.0"
"1451","1490","104","0.35","false","2.5","104","90","41","1.1458225779721647","2.864556444930412","150.0"
"1491","1522","112","0.35","false","2.5","112","90","41","1.1373265512813258","2.8433163782033146","150.0"
"1523","1541","136","0.35","false","2.5","136","90","41","1.1318677705201292","2.829669426300323","150.0"
"1542","1560","152","0.35","false","2.5","152","90","41","1.146637861427226","2.8665946535680646","150.0"
"1561","1600","200","0.31","false","2.5","200","90","41","1.145961791850625","2.8649044796265626","150.0"
"1601","1650","252","0.29","false","2.5","252","90","41","1.1370413553675436","2.842603388418859","150.0"
"1651","1700","248","0.26","false","2.5","248","90","41","1.1392786877144483","2.8481967192861206","150.0"
"1701","1801","452","0.25","false","2.5","452","90","41","1.1490274001222085","2.8725685003055212","150.0"
"1802","1811","500","0.28","false","2.5","500","90","41","1.156835209565935","2.892088023914838","150.0"
"1812","1821","536","0.28","false","2.5","536","90","41","1.141895799456736","2.85473949864184","150.0"
"1822","1831","632","0.26","false","2.5","632","90","41","1.1554759277382467","2.8886898193456165","150.0"
"1832","1841","808","0.25","false","2.5","808","90","41","1.1741935218049282","2.9354838045123204","150.0"
"1842","1851","1096","0.22","false","2.5","1096","90","41","1.1830185055442484","2.957546263860621","150.0"
"1852","1861","1160","0.25","false","2.5","1160","90","41","1.1488449891466181","2.8721124728665455","150.0"
"1862","1871","1260","0.22","false","2.5","1260","90","41","1.1584218594108566","2.8960546485271417","150.0"
"1872","1881","1400","0.21","false","2.5","1400","90","41","1.1589520963310156","2.897380240827539","150.0"
"1882","1891","1512","0.19","false","2.5","1512","90","41","1.159206421155287","2.8980160528882175","150.0"
"1892","1901","1528","0.18","false","2.5","1528","90","41","1.15642030117583","2.891050752939575","150.0"
"1902","1911","1684","0.13","false","2.5","1684","90","41","1.1752979043326932","2.938244760831733","150.0"
"1912","1921","1760","0.14","false","2.5","1760","90","41","1.165771154914157","2.9144278872853926","150.0"
"1922","1931","1800","0.12","false","2.5","1800","90","41","1.1702018004659622","2.9255045011649057","150.0"
"1932","1941","2008","0.07","false","2.5","2008","90","41","1.1931130098617202","2.9827825246543007","150.0"
"1942","1951","2112","0.08","false","2.5","2112","90","41","1.1834741911472553","2.958685477868138","150.0"
"1952","1961","2236","0.09","false","2.5","2236","90","41","1.1863438834277866","2.9658597085694667","150.0"
"1962","1971","2252","0.1","false","2.5","2252","90","41","1.1792402118781289","2.9481005296953224","150.0"
"1972","1981","2296","0.07","false","2.5","2296","90","41","1.1929454893912106","2.9823637234780263","150.0"
"1982","1991","2372","0.1","false","2.5","2372","90","41","1.1863355548891248","2.965838887222812","150.0"
"1992","2001","2528","0.09","false","2.5","2528","90","41","1.198262005411141","2.995655013527853","150.0"
"2002","2011","2624","0.09","false","2.5","2624","90","41","1.2109273823825693","3.027318455956423","150.0"
"2012","2015","2650","0.09","false","2.5","2650","90","41","1.211467171483424","3.02866792870856","150.0"
