"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","60","0.35","false","5.0","60","90","41","0.8347899699455231","4.173949849727616","150.0"
"1","43","80","0.35","false","3.75","80","90","41","3.2598017817308578","12.224256681490717","150.0"
"44","200","180","0.35","false","3.75","180","90","41","1.0025653135185824","3.759619925694684","150.0"
"201","410","120","0.35","false","3.75","120","90","41","0.996227668880466","3.7358537583017473","150.0"
"411","430","50","0.35","false","3.75","50","90","41","0.9465622627141215","3.5496084851779557","150.0"
"431","500","52","0.35","false","3.75","52","90","41","0.9962309944673978","3.735866229252742","150.0"
"501","750","52","0.35","false","3.75","52","90","41","1.0031668248937016","3.7618755933513808","150.0"
"751","950","56","0.35","false","3.75","56","90","41","1.0038561925672789","3.764460722127296","150.0"
"951","1066","60","0.35","false","3.75","60","90","41","0.9994183163672695","3.747818686377261","150.0"
"1067","1086","80","0.35","false","3.75","80","90","41","1.0072574508375751","3.777215440640907","150.0"
"1087","1190","148","0.35","false","3.75","148","90","41","1.0050824830958007","3.7690593116092526","150.0"
"1191","1220","192","0.35","false","3.75","192","90","41","0.9980671827363268","3.7427519352612255","150.0"
"1221","1250","200","0.35","false","3.75","200","90","41","0.9973761037054455","3.7401603888954207","150.0"
"1251","1279","212","0.35","false","3.75","212","90","41","0.9924264247240243","3.721599092715091","150.0"
"1280","1290","228","0.35","false","3.75","228","90","41","1.00010336133349","3.7503876050005873","150.0"
"1291","1315","224","0.35","false","3.75","224","90","41","1.0014788266149492","3.7555455998060596","150.0"
"1316","1325","200","0.35","false","3.75","200","90","41","0.9898792461039513","3.7120471728898172","150.0"
"1326","1348","228","0.35","false","3.75","228","90","41","1.0032405879464774","3.7621522047992904","150.0"
"1349","1351","120","0.35","true","3.75","120","90","41","0.8080075942946833","3.0300284786050624","150.0"
"1352","1377","120","0.35","false","3.75","120","90","41","1.0074672533798257","3.7780022001743463","150.0"
"1378","1400","100","0.35","false","3.75","100","90","41","0.9827449740575966","3.6852936527159876","150.0"
"1401","1430","96","0.35","false","3.75","96","90","41","0.9975631211702056","3.740861704388271","150.0"
"1431","1450","92","0.35","false","3.75","92","90","41","1.0003310164000054","3.7512413115000203","150.0"
"1451","1490","104","0.35","false","3.75","104","90","41","1.0087759668188476","3.7829098755706787","150.0"
"1491","1522","112","0.35","false","3.75","112","90","41","0.9989703709557517","3.746138891084069","150.0"
"1523","1541","136","0.35","false","3.75","136","90","41","1.0127136641949952","3.797676240731232","150.0"
"1542","1560","152","0.35","false","3.75","152","90","41","1.0042667226453883","3.766000209920206","150.0"
"1561","1600","200","0.31","false","3.75","200","90","41","1.007842259193616","3.77940847197606","150.0"
"1601","1650","252","0.29","false","3.75","252","90","41","1.007778691754913","3.7791700940809236","150.0"
"1651","1700","248","0.26","false","3.75","248","90","41","1.0078315087365461","3.779368157762048","150.0"
"1701","1801","452","0.25","false","3.75","452","90","41","1.0154186882028424","3.807820080760659","150.0"
"1802","1811","500","0.28","false","3.75","500","90","41","1.0116712529261738","3.7937671984731516","150.0"
"1812","1821","536","0.28","false","3.75","536","90","41","1.007179286005745","3.7769223225215436","150.0"
"1822","1831","632","0.26","false","3.75","632","90","41","1.0237766629572942","3.839162486089853","150.0"
"1832","1841","808","0.25","false","3.75","808","90","41","1.0330419365440577","3.8739072620402166","150.0"
"1842","1851","1096","0.22","false","3.75","1096","90","41","1.0474027624210736","3.9277603590790258","150.0"
"1852","1861","1160","0.25","false","3.75","1160","90","41","1.013935950721041","3.8022598152039038","150.0"
"1862","1871","1260","0.22","false","3.75","1260","90","41","1.0215408693020414","3.830778259882655","150.0"
"1872","1881","1400","0.21","false","3.75","1400","90","41","1.026112659314735","3.847922472430256","150.0"
"1882","1891","1512","0.19","false","3.75","1512","90","41","1.0271050755822246","3.8516440334333426","150.0"
"1892","1901","1528","0.18","false","3.75","1528","90","41","1.020434633243445","3.826629874662919","150.0"
"1902","1911","1684","0.13","false","3.75","1684","90","41","1.038373081166752","3.89389905437532","150.0"
"1912","1921","1760","0.14","false","3.75","1760","90","41","1.0291649268151581","3.859368475556843","150.0"
"1922","1931","1800","0.12","false","3.75","1800","90","41","1.0338788752710317","3.877045782266369","150.0"
"1932","1941","2008","0.07","false","3.75","2008","90","41","1.0495393679327707","3.9357726297478903","150.0"
"1942","1951","2112","0.08","false","3.75","2112","90","41","1.045969256631627","3.922384712368601","150.0"
"1952","1961","2236","0.09","false","3.75","2236","90","41","1.0456523894445044","3.921196460416892","150.0"
"1962","1971","2252","0.1","false","3.75","2252","90","41","1.0439265982459198","3.9147247434221994","150.0"
"1972","1981","2296","0.07","false","3.75","2296","90","41","1.0520629831151331","3.945236186681749","150.0"
"1982","1991","2372","0.1","false","3.75","2372","90","41","1.0492269049762637","3.934600893660989","150.0"
"1992","2001","2528","0.09","false","3.75","2528","90","41","1.0653979836416698","3.9952424386562617","150.0"
"2002","2011","2624","0.09","false","3.75","2624","90","41","1.0792085140209726","4.047031927578647","150.0"
"2012","2015","2650","0.09","false","3.75","2650","90","41","1.0863123148308005","4.073671180615502","150.0"
