"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","60","0.35","false","2.5","60","90","41","2.2606759250205473","5.651689812551368","150.0"
"1","43","80","0.35","false","2.5","80","90","41","1.1441490759653414","2.8603726899133535","150.0"
"44","200","180","0.35","false","2.5","180","90","41","1.1449603992079878","2.8624009980199694","150.0"
"201","410","120","0.35","false","2.5","120","90","41","1.1310838052900332","2.827709513225083","150.0"
"411","430","50","0.35","false","2.5","50","90","41","1.0888594198973978","2.7221485497434945","150.0"
"431","500","52","0.35","false","2.5","52","90","41","1.1637754276238148","2.909438569059537","150.0"
"501","750","52","0.35","false","2.5","52","90","41","1.1422010555308029","2.8555026388270073","150.0"
"751","950","56","0.35","false","2.5","56","90","41","1.1368074116310285","2.8420185290775715","150.0"
"951","1066","60","0.35","false","2.5","60","90","41","1.1390211113559563","2.8475527783898906","150.0"
"1067","1086","80","0.35","false","2.5","80","90","41","1.1530165397400878","2.8825413493502197","150.0"
"1087","1190","148","0.35","false","2.5","148","90","41","1.141645924743754","2.854114811859385","150.0"
"1191","1220","192","0.35","false","2.5","192","90","41","1.1402567084856485","2.8506417712141214","150.0"
"1221","1250","200","0.35","false","2.5","200","90","41","1.132682048739195","2.8317051218479876","150.0"
"1251","1279","212","0.35","false","2.5","212","90","41","1.13662277861747","2.841556946543675","150.0"
"1280","1290","228","0.35","false","2.5","228","90","41","1.142603771198117","2.8565094279952925","150.0"
"1291","1315","224","0.35","false","2.5","224","90","41","1.1228260772584866","2.8070651931462165","150.0"
"1316","1325","200","0.35","false","2.5","200","90","41","1.1003389407613193","2.7508473519032983","150.0"
"1326","1348","228","0.35","false","2.5","228","90","41","1.123880295515975","2.8097007387899375","150.0"
"1349","1351","120","0.35","true","2.5","120","90","41","0.9159649873935588","2.289912468483897","150.0"
"1352","1377","120","0.35","false","2.5","120","90","41","1.1303086987519482","2.8257717468798704","150.0"
"1378","1400","100","0.35","false","2.5","100","90","41","1.1230398508774488","2.807599627193622","150.0"
"1401","1430","96","0.35","false","2.5","96","90","41","1.1228137890643177","2.8070344726607943","150.0"
"1431","1450","92","0.35","false","2.5","92","90","41","1.1211856277387284","2.802964069346821","150.0"
"1451","1490","104","0.35","false","2.5","104","90","41","1.1356406520071598","2.8391016300178995","150.0"
"1491","1522","112","0.35","false","2.5","112","90","41","1.1378794011549502","2.8446985028873755","150.0"
"1523","1541","136","0.35","false","2.5","136","90","41","1.137687523595674","2.844218808989185","150.0"
"1542","1560","152","0.35","false","2.5","152","90","41","1.125601903490604","2.81400475872651","150.0"
"1561","1600","200","0.31","false","2.5","200","90","41","1.1428904269685491","2.8572260674213728","150.0"
"1601","1650","252","0.29","false","2.5","252","90","41","1.1451594404049428","2.8628986010123567","150.0"
"1651","1700","248","0.26","false","2.5","248","90","41","1.1402473838255553","2.850618459563888","150.0"
"1701","1801","452","0.25","false","2.5","452","90","41","1.1465289571853743","2.866322392963436","150.0"
"1802","1811","500","0.28","false","2.5","500","90","41","1.1473944243064662","2.8684860607661653","150.0"
"1812","1821","536","0.28","false","2.5","536","90","41","1.1459654459819233","2.8649136149548085","150.0"
"1822","1831","632","0.26","false","2.5","632","90","41","1.1589342278243038","2.8973355695607594","150.0"
"1832","1841","808","0.25","false","2.5","808","90","41","1.1724914205780652","2.9312285514451633","150.0"
"1842","1851","1096","0.22","false","2.5","1096","90","41","1.188390722629917","2.9709768065747926","150.0"
"1852","1861","1160","0.25","false","2.5","1160","90","41","1.1479262992573056","2.869815748143264","150.0"
"1862","1871","1260","0.22","false","2.5","1260","90","41","1.15697941332465","2.892448533311625","150.0"
"1872","1881","1400","0.21","false","2.5","1400","90","41","1.163559152633425","2.9088978815835627","150.0"
"1882","1891","1512","0.19","false","2.5","1512","90","41","1.1601214399543418","2.9003035998858544","150.0"
"1892","1901","1528","0.18","false","2.5","1528","90","41","1.1562566637608032","2.890641659402008","150.0"
"1902","1911","1684","0.13","false","2.5","1684","90","41","1.1744830772237838","2.936207693059459","150.0"
"1912","1921","1760","0.14","false","2.5","1760","90","41","1.1638351856680846","2.9095879641702114","150.0"
"1922","1931","1800","0.12","false","2.5","1800","90","41","1.1707296211992266","2.9268240529980667","150.0"
"1932","1941","2008","0.07","false","2.5","2008","90","41","1.192907734131157","2.982269335327892","150.0"
"1942","1951","2112","0.08","false","2.5","2112","90","41","1.1823893069546982","2.955973267386746","150.0"
"1952","1961","2236","0.09","false","2.5","2236","90","41","1.1828539440690615","2.957134860172654","150.0"
"1962","1971","2252","0.1","false","2.5","2252","90","41","1.1806622447133717","2.951655611783429","150.0"
"1972","1981","2296","0.07","false","2.5","2296","90","41","1.189302982078522","2.973257455196305","150.0"
"1982","1991","2372","0.1","false","2.5","2372","90","41","1.1851262904012376","2.962815726003094","150.0"
"1992","2001","2528","0.09","false","2.5","2528","90","41","1.1967415644673731","2.991853911168433","150.0"
"2002","2011","2624","0.09","false","2.5","2624","90","41","1.2085922659787074","3.0214806649467683","150.0"
"2012","2015","2650","0.09","false","2.5","2650","90","41","1.217513703011764","3.04378425752941","150.0"
