Epoch Start Year,Epoch End Year,Epoch Environment Capacity,Epoch Enable Fitness,Epoch Breeding Probability,Year,Epoch Fitness Factor,Epoch Expected Max Population,Population,Number Born,Number Killed,Born Elapsed,Kill Elapsed,Avg Fitness,Fitness Deviation,Average Age,Capacity Factor,Avg Factored Fitness,Avg Mutations,Avg Life Expectancy
-50,0,60,TRUE,0.35,-50,0.078125,116520,102133,0,14387,0,1584.19,11.73599412,0,0,1,0.916874541,0,0
-50,0,2389,TRUE,0.35,-49,0.078125,116520,96866,0,5267,0,0,12.05038038,0,0.514752338,1.1417409,1.074898491,0,1
-50,0,4718,TRUE,0.35,-48,0.078125,116520,94172,0,2694,0,0,12.21556809,0,1.512424075,1.203396444,1.148399697,0,2
-50,0,7047,TRUE,0.35,-47,0.078125,116520,92436,0,1736,0,0,12.31308568,0,2.525725908,1.237661975,1.190468189,0,3
-50,0,9376,TRUE,0.35,-46,0.078125,116520,91202,0,1234,0,0,12.38048946,0,3.495910177,1.260777725,1.21928496,0,4
-50,0,11706,TRUE,0.35,-45,0.078125,116520,90282,0,920,0,0,12.42986654,0,4.488558074,1.27777842,1.240621333,0,5
-50,0,14035,TRUE,0.35,-44,0.078125,116520,89628,0,654,0,0,12.46774466,0,5.493908154,1.290737371,1.256995716,0,6
-50,0,16364,TRUE,0.35,-43,0.078125,116520,89067,0,561,0,0,12.49493381,0,6.508066961,1.300146399,1.268907046,0,7
-50,0,18693,TRUE,0.35,-42,0.078125,116520,88664,0,403,0,0,12.5188786,0,7.508481458,1.308310405,1.279306008,0,8
-50,0,21022,TRUE,0.35,-41,0.078125,116520,88308,0,356,0,0,12.53572598,0,8.504642841,1.314250942,1.286824619,0,9
-50,0,23352,TRUE,0.35,-40,0.078125,116520,88023,0,285,0,0,12.55070811,0,9.498097088,1.319532133,1.293535322,0,10
-50,0,25681,TRUE,0.35,-39,0.078125,116520,87790,0,233,0,0,12.56270705,0,10.49472605,1.323785548,1.298940579,0,11
-50,0,28010,TRUE,0.35,-38,0.078125,116520,87591,0,199,0,0,12.57245559,0,11.49516503,1.327303867,1.303395288,0,12
-50,0,30339,TRUE,0.35,-37,0.078125,116520,87420,0,171,0,0,12.5809643,0,12.48830931,1.330296657,1.307214825,0,13
-50,0,32668,TRUE,0.35,-36,0.078125,116520,87281,0,139,0,0,12.58844203,0,13.48562688,1.33290356,1.310553351,0,14
-50,0,34998,TRUE,0.35,-35,0.078125,116520,87142,0,139,0,0,12.5942762,0,14.48507034,1.335023778,1.313236001,0,15
-50,0,37327,TRUE,0.35,-34,0.078125,116520,102133,15122,131,8.75,0,12.60021682,0,13.00584532,1.337079172,1.315875023,149.7428912,16
-50,0,39656,TRUE,0.35,-33,0.078125,116520,114337,14646,2442,7.58,210.94,12.60861583,0,12.27582497,1.1420097,1.124642286,149.6775229,14.35257985
-50,0,41985,TRUE,0.35,-32,0.078125,116520,121235,13977,7079,8.52,201.78,12.66953142,0,11.69583866,1.021013382,1.010260749,149.61916,13.48552055
-50,0,44314,TRUE,0.35,-31,0.078125,116520,123511,12543,10267,10.54,192.26,12.79461244,0,11.35010647,0.962900447,0.962125983,149.6038428,13.14269017
-50,0,46644,TRUE,0.35,-30,0.078125,116520,123942,11467,11036,8.07,173.33,12.95332962,0,11.20432138,0.94526481,0.956266421,149.6271039,12.63166002
-50,0,48973,TRUE,0.35,-29,0.078125,116520,124469,10604,10077,5.06,158.35,13.11707885,0,11.13600977,0.941760506,0.964709289,149.6187288,12.54748437
-50,0,51302,TRUE,0.35,-28,0.078125,116520,125050,9793,9212,7.63,148.11,13.2746557,0,11.14753299,0.937562789,0.971873393,149.6279996,12.55264872
-50,0,53631,TRUE,0.35,-27,0.078125,116520,125267,9057,8840,4.38,136.9,13.41793244,0,11.23659863,0.93318302,0.977736136,149.6816827,12.65158371
-50,0,55960,TRUE,0.35,-26,0.078125,116520,125734,8375,7908,5.65,124.95,13.55276625,0,11.39502442,0.931336982,0.98551523,149.736,12.71813354
-50,0,58290,TRUE,0.35,-25,0.078125,116520,126359,8094,7469,3.38,114.39,13.67821618,0,11.58122492,0.92781555,0.990853903,149.590808,12.8940956
-50,0,60619,TRUE,0.35,-24,0.078125,116520,126658,7600,7301,2.51,109.83,13.79439984,0,11.80730787,0.92318366,0.994294214,149.7201316,12.93329681
-50,0,62948,TRUE,0.35,-23,0.078125,116520,127004,7038,6692,7.75,103.18,13.90576855,0,12.0709584,0.920941147,0.999872759,149.6204888,13.33069337
-50,0,65277,TRUE,0.35,-22,0.078125,116520,127280,6799,6523,10.95,95.36,14.01003195,0,12.35691389,0.918388415,1.004587814,149.7921753,13.53840258
-50,0,67606,TRUE,0.35,-21,0.078125,116520,127786,6323,5817,2.62,92.37,14.10677055,0,12.65960277,0.916302399,1.009158999,149.6337182,13.88963383
-50,0,69936,TRUE,0.35,-20,0.078125,116520,128220,6079,5645,2.99,85.78,14.19436511,0,12.99790204,0.91255604,1.011308921,149.6201678,14.08733392
-50,0,72265,TRUE,0.35,-19,0.078125,116520,128745,5941,5416,2.04,82.45,14.28106408,0,13.33270418,0.909405183,1.013974969,149.6677327,14.32920975
-50,0,74594,TRUE,0.35,-18,0.078125,116520,130260,6706,5191,2.45,80.54,14.36073187,0,13.56849378,0.90567347,1.015378675,149.7889949,14.98362551
-50,0,76923,TRUE,0.35,-17,0.078125,116520,131968,7369,5661,3.52,90.68,14.43622359,0,13.75961597,0.895301651,1.008963933,149.9355408,14.65977742
-50,0,79252,TRUE,0.35,-16,0.078125,116520,133663,7908,6213,10.41,99.63,14.5116733,0,13.8501904,0.883673046,1.001028371,149.7328022,15.16771286
-50,0,81582,TRUE,0.35,-15,0.078125,116520,135601,8367,6429,3.47,107.05,14.59472197,0,13.93302409,0.872514086,0.994038283,149.7186566,15.06455125
-50,0,83911,TRUE,0.35,-14,0.078125,116520,137042,8840,7399,3.5,113.35,14.67212875,0,13.94682652,0.860176478,0.98515256,149.5330317,15.20016218
-50,0,86240,TRUE,0.35,-13,0.078125,116520,138323,9101,7820,5.03,119.92,14.75742667,0,13.94053773,0.851161963,0.980432533,149.6708054,15.41265985
-50,0,88569,TRUE,0.35,-12,0.078125,116520,139577,9227,7973,5.28,123.26,14.84420841,0,13.92644204,0.84321707,0.976961628,149.6592609,15.29361595
