"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.35","false","0.75","15","90","41","3.455628521804996","2.591721391353747","150.0"
"1","43","20","0.35","false","0.875","20","90","41","2.4817205290529505","2.1715054629213317","150.0"
"44","200","45","0.35","false","0.875","45","90","41","1.1015762823236446","0.963879247033189","150.0"
"201","410","30","0.35","false","0.875","30","90","41","1.0937870578444102","0.957063675613859","150.0"
"411","430","12","0.35","false","0.875","12","90","41","1.0550555365375662","0.9231735944703705","150.0"
"431","500","13","0.35","false","0.875","13","90","41","1.1561509918652784","1.0116321178821186","150.0"
"501","750","13","0.35","false","0.875","13","90","41","1.1512753246753276","1.0073659090909115","150.0"
"751","950","14","0.35","false","0.9375","14","90","41","2.2102602813852816","2.0721190137987016","150.0"
"951","1066","15","0.35","false","0.9375","15","90","41","1.0612608416487737","0.9949320390457252","150.0"
"1067","1086","20","0.35","false","0.9375","20","90","41","1.066769957983193","1.0000968356092435","150.0"
"1087","1190","37","0.35","false","0.9375","37","90","41","1.0442672564850395","0.9790005529547245","150.0"
"1191","1220","48","0.35","false","0.9375","48","90","41","1.030632578346513","0.9662180421998559","150.0"
"1221","1250","50","0.35","false","0.9375","50","90","41","1.0296034230124358","0.9652532090741586","150.0"
"1251","1279","53","0.35","false","0.9375","53","90","41","1.0190533440788347","0.9553625100739076","150.0"
"1280","1290","57","0.35","false","0.9375","57","90","41","1.040437125851312","0.9754098054856051","150.0"
"1291","1315","56","0.35","false","0.9375","56","90","41","1.005130466759815","0.9423098125873266","150.0"
"1316","1325","50","0.35","false","0.9375","50","90","41","1.0118988837609753","0.9486552035259143","150.0"
"1326","1348","57","0.35","false","0.9375","57","90","41","1.0086029646938164","0.9455652794004529","150.0"
"1349","1351","30","0.35","true","0.9375","30","90","41","0.8360617165284953","0.7838078592454643","150.0"
"1352","1377","30","0.35","false","0.9375","30","90","41","1.0401950099423791","0.9751828218209804","150.0"
"1378","1400","25","0.35","false","0.9375","25","90","41","1.0223782775043522","0.9584796351603302","150.0"
"1401","1430","24","0.35","false","0.9375","24","90","41","1.0445077399787546","0.9792260062300824","150.0"
"1431","1450","23","0.35","false","0.9375","23","90","41","1.0288404831883093","0.96453795298904","150.0"
"1451","1490","26","0.35","false","0.9375","26","90","41","1.0196189400374183","0.9558927562850796","150.0"
"1491","1522","28","0.35","false","0.9375","28","90","41","1.0330371590601048","0.9684723366188484","150.0"
"1523","1541","34","0.35","false","0.9375","34","90","41","1.0501938440425604","0.9845567287899004","150.0"
"1542","1560","38","0.35","false","0.9375","38","90","41","1.0155092940818868","0.9520399632017689","150.0"
"1561","1600","50","0.31","false","0.9375","50","90","41","1.019946289965204","0.9561996468423788","150.0"
"1601","1650","63","0.29","false","0.9375","63","90","41","1.030234524580045","0.9658448667937922","150.0"
"1651","1700","62","0.26","false","0.9375","62","90","41","1.0228773222245946","0.9589474895855574","150.0"
"1701","1801","113","0.25","false","0.9375","113","90","41","1.0317022133196452","0.9672208249871673","150.0"
"1802","1811","125","0.28","false","0.9375","125","90","41","1.0165882954252876","0.9530515269612071","150.0"
"1812","1821","134","0.28","false","0.9375","134","90","41","1.026469012319041","0.9623146990491009","150.0"
"1822","1831","158","0.26","false","0.9375","158","90","41","1.0451044132691358","0.9797853874398148","150.0"
"1832","1841","202","0.25","false","0.9375","202","90","41","1.0410401497783828","0.9759751404172339","150.0"
"1842","1851","274","0.22","false","0.9375","274","90","41","1.0940287548644236","1.025651957685397","150.0"
"1852","1861","290","0.25","false","0.9375","290","90","41","1.0331374104339766","0.968566322281853","150.0"
"1862","1871","315","0.22","false","0.9375","315","90","41","1.0338605558451324","0.9692442711048116","150.0"
"1872","1881","350","0.21","false","0.9375","350","90","41","1.0426526299046204","0.9774868405355817","150.0"
"1882","1891","378","0.19","false","0.9375","378","90","41","1.0370942175996154","0.9722758289996394","150.0"
"1892","1901","382","0.18","false","0.9375","382","90","41","1.0363920887910758","0.9716175832416336","150.0"
"1902","1911","421","0.13","false","0.9375","421","90","41","1.0527351851778692","0.9869392361042524","150.0"
"1912","1921","440","0.14","false","0.9375","440","90","41","1.0434768093669362","0.9782595087815027","150.0"
"1922","1931","450","0.12","false","0.9375","450","90","41","1.0462885013551415","0.9808954700204452","150.0"
"1932","1941","502","0.07","false","0.9375","502","90","41","1.066843986416129","1.000166237265121","150.0"
"1942","1951","528","0.08","false","0.9375","528","90","41","1.0648099402291904","0.998259318964866","150.0"
"1952","1961","559","0.09","false","0.9375","559","90","41","1.0587201974538156","0.9925501851129521","150.0"
"1962","1971","563","0.1","false","0.9375","563","90","41","1.0584004350482952","0.9922504078577767","150.0"
"1972","1981","574","0.07","false","0.9375","574","90","41","1.0662721885084987","0.9996301767267175","150.0"
"1982","1991","593","0.1","false","0.9375","593","90","41","1.0625378509682384","0.9961292352827235","150.0"
"1992","2001","632","0.09","false","0.9375","632","90","41","1.0679359892142803","1.0011899898883878","150.0"
"2002","2011","656","0.09","false","0.9375","656","90","41","1.0724816105269936","1.0054515098690566","150.0"
"2012","2015","662","0.09","false","0.9375","662","90","41","1.068576834008047","1.001790781882544","150.0"
