"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.35","false","0.078125","15","90","41","3.546750939239001","0.277089917128047","150.0"
"1","43","20","0.35","false","0.078125","20","90","41","0.7942480820393198","0.06205063140932186","150.0"
"44","200","45","0.35","false","0.039062","45","90","41","2.0485257635135623","0.08001951337436677","150.0"
"201","410","30","0.35","false","0.039062","30","90","41","1.264158392651377","0.04938055513374809","150.0"
"411","430","12","0.35","false","0.058516","12","90","41","6.083922442313204","0.35600680563439946","150.0"
"431","500","13","0.35","false","0.058516","13","90","41","0.8631616003044567","0.05050876420341559","150.0"
"501","750","13","0.35","false","0.058516","13","90","41","0.8914728311420257","0.052165424187106776","150.0"
"751","950","14","0.35","false","0.058516","14","90","41","0.8603666642095428","0.050345215722885604","150.0"
"951","1066","15","0.35","false","0.058516","15","90","41","0.8772609435835388","0.05133380137473435","150.0"
"1067","1086","20","0.35","false","0.058516","20","90","41","0.8729274302502363","0.05108022150852283","150.0"
"1087","1190","37","0.35","false","0.058516","37","90","41","0.8384631007661412","0.049063506804431514","150.0"
"1191","1220","48","0.35","false","0.058516","48","90","41","0.8440597675728346","0.04939100135929199","150.0"
"1221","1250","50","0.35","false","0.058516","50","90","41","0.836823417709529","0.0489675591106908","150.0"
"1251","1279","53","0.35","false","0.058516","53","90","41","0.8218988386249559","0.04809423244097792","150.0"
"1280","1290","57","0.35","false","0.058516","57","90","41","0.8286650209544877","0.0484901623661728","150.0"
"1291","1315","56","0.35","false","0.058516","56","90","41","0.8230176392524409","0.04815970017849583","150.0"
"1316","1325","50","0.35","false","0.058516","50","90","41","0.8277919012869758","0.048439070895708675","150.0"
"1326","1348","57","0.35","false","0.058516","57","90","41","0.8221849982125241","0.04811097735540406","150.0"
"1349","1351","30","0.35","true","0.058516","30","90","41","0.6675118323191346","0.039060122379986476","150.0"
"1352","1377","30","0.35","false","0.058516","30","90","41","0.8201064756792312","0.047989350530845895","150.0"
"1378","1400","25","0.35","false","0.043886999999999995","25","90","41","3.531375720203038","0.1549814862325507","150.0"
"1401","1430","24","0.35","false","0.043886999999999995","24","90","41","1.1004962562933578","0.04829747919994659","150.0"
"1431","1450","23","0.35","false","0.043886999999999995","23","90","41","1.0805426312817616","0.04742177445906267","150.0"
"1451","1490","26","0.35","false","0.043886999999999995","26","90","41","1.073455667880725","0.047110748896281376","150.0"
"1491","1522","28","0.35","false","0.043886999999999995","28","90","41","1.0562040187171373","0.046353625769439","150.0"
"1523","1541","34","0.35","false","0.043886999999999995","34","90","41","1.0610329492098713","0.04656555304197362","150.0"
"1542","1560","38","0.35","false","0.043886999999999995","38","90","41","1.053688449063836","0.04624322496406457","150.0"
"1561","1600","50","0.31","false","0.043886999999999995","50","90","41","1.0693201959638416","0.04692925544026511","150.0"
"1601","1650","63","0.29","false","0.043886999999999995","63","90","41","1.0542059122434377","0.046265934870627745","150.0"
"1651","1700","62","0.26","false","0.043886999999999995","62","90","41","1.0565651638171012","0.046369475344441115","150.0"
"1701","1801","113","0.25","false","0.043886999999999995","113","90","41","1.0597741301776114","0.046510307251104825","150.0"
"1802","1811","125","0.28","false","0.043886999999999995","125","90","41","1.048881335471974","0.04603225516985852","150.0"
"1812","1821","134","0.28","false","0.043886999999999995","134","90","41","1.0501385063430537","0.0460874286278776","150.0"
"1822","1831","158","0.26","false","0.043886999999999995","158","90","41","1.0507997747862832","0.0461164497160456","150.0"
"1832","1841","202","0.25","false","0.043886999999999995","202","90","41","1.0843421106821256","0.04758852221150644","150.0"
"1842","1851","274","0.22","false","0.043886999999999995","274","90","41","1.0731659648431537","0.047098034699071485","150.0"
"1852","1861","290","0.25","false","0.043886999999999995","290","90","41","1.0381617789316333","0.045561805991972584","150.0"
"1862","1871","315","0.22","false","0.043886999999999995","315","90","41","1.0515586509145574","0.04614975451268717","150.0"
"1872","1881","350","0.21","false","0.043886999999999995","350","90","41","1.0441266535677591","0.04582358644512824","150.0"
"1882","1891","378","0.19","false","0.043886999999999995","378","90","41","1.0402652709274842","0.0456541219451945","150.0"
"1892","1901","382","0.18","false","0.043886999999999995","382","90","41","1.027314390707772","0.04508574666499198","150.0"
"1902","1911","421","0.13","false","0.043886999999999995","421","90","41","1.0454247967443109","0.045880558054717566","150.0"
"1912","1921","440","0.14","false","0.043886999999999995","440","90","41","1.0454270147841431","0.045880655397831684","150.0"
"1922","1931","450","0.12","false","0.043886999999999995","450","90","41","1.034278649353027","0.04539138708415629","150.0"
"1932","1941","502","0.07","false","0.043886999999999995","502","90","41","1.0661206791899454","0.04678883824760913","150.0"
"1942","1951","528","0.08","false","0.043886999999999995","528","90","41","1.044931004226099","0.04585888698247081","150.0"
"1952","1961","559","0.09","false","0.043886999999999995","559","90","41","1.0570286788011283","0.046389817626545114","150.0"
"1962","1971","563","0.1","false","0.043886999999999995","563","90","41","1.044594168833831","0.045844104287610335","150.0"
"1972","1981","574","0.07","false","0.043886999999999995","574","90","41","1.065900883318113","0.046779192066182015","150.0"
"1982","1991","593","0.1","false","0.043886999999999995","593","90","41","1.0556327920583894","0.04632855634506653","150.0"
"1992","2001","632","0.09","false","0.043886999999999995","632","90","41","1.074330967866075","0.04714916318673843","150.0"
"2002","2011","656","0.09","false","0.043886999999999995","656","90","41","1.0765504022024885","0.04724656750146061","150.0"
"2012","2015","662","0.09","false","0.043886999999999995","662","90","41","1.0992545785405432","0.04824298568840881","150.0"
