Tuning File,Epochs File,Generations File,Max Expected Population,Historical Disease Population,Historical Disease Killed,Historical Disease Death Rate,Modern Disease Population,Modern Disease Killed,Modern Disease Death Rate,Total Born,Total Killed,Function,Historic Fit,Disease Fit,Modern Fit,Modern Breeding,Size of Genes,Number of Genes,Mutations,SeriesRuns,ParallelRuns
..\2018-11-07\tuning\Ackleys-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Ackleys-20000-1000-150.csv,allgenerations-2018-11-07T12-42-01.738Z.csv,662,57,37,64,612,316,51,5401,4494,Ackleys,1.571629335,1.24054319,1.625835752,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\Alpine-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Alpine-20000-1000-150.csv,allgenerations-2018-11-07T12-42-29.873Z.csv,662,67,42,62,715,359,50,6263,5871,Alpine,8.164121406,6.833642246,9.239414544,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\Brown-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Brown-20000-1000-150.csv,allgenerations-2018-11-07T12-43-06.899Z.csv,662,57,39,68,602,293,48,5486,4936,Brown,3.481652167,2.841990432,3.664153999,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\ChungReynolds-20000-1000.csv,..\2018-11-07\epochs\functionepochs-ChungReynolds-20000-1000-150.csv,allgenerations-2018-11-07T12-48-04.559Z.csv,662,51,36,70,534,266,49,4699,3762,ChungReynolds,9.097412942,7.112626022,9.239836452,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\DixonPrice-20000-1000.csv,..\2018-11-07\epochs\functionepochs-DixonPrice-20000-1000-150.csv,allgenerations-2018-11-07T12-48-12.703Z.csv,662,60,35,58,634,369,58,5270,5054,DixonPrice,5.675372912,4.546825397,6.008542653,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\Exponential-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Exponential-20000-1000-150.csv,allgenerations-2018-11-07T12-48-29.911Z.csv,662,59,35,59,678,359,52,5566,4969,Exponential,2.35123867,1.870086374,2.48336858,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\Griewank-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Griewank-20000-1000-150.csv,allgenerations-2018-11-07T12-48-39.498Z.csv,662,55,30,54,625,341,54,5116,4654,Griewank,2.885496473,2.347521484,3.139396837,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\Qing-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Qing-20000-1000-150.csv,allgenerations-2018-11-07T12-48-57.560Z.csv,662,52,31,59,507,264,52,4896,4565,Qing,0.860994676,0.701969382,0.909397435,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\Rastrigin-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Rastrigin-20000-1000-150.csv,allgenerations-2018-11-07T12-49-07.869Z.csv,662,56,29,51,649,311,47,5679,5042,Rastrigin,4.137754261,3.3816288,4.430450439,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\Rosenbrock-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Rosenbrock-20000-1000-150.csv,allgenerations-2018-11-07T12-49-42.943Z.csv,662,53,35,66,596,358,60,5005,4497,Rosenbrock,6.82455717,5.175901963,7.154935937,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\Salomon-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Salomon-20000-1000-150.csv,allgenerations-2018-11-07T12-49-53.836Z.csv,662,60,38,63,672,422,62,5665,4789,Salomon,2.11E-04,1.56E-04,2.14E-04,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\SchumerSteiglitz-20000-1000.csv,..\2018-11-07\epochs\functionepochs-SchumerSteiglitz-20000-1000-150.csv,allgenerations-2018-11-07T12-50-02.878Z.csv,662,59,35,59,662,366,55,5526,5086,SchumerSteiglitz,4.810276801,3.842407349,5.293284338,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\Schwefel220-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Schwefel220-20000-1000-150.csv,allgenerations-2018-11-07T12-50-21.835Z.csv,662,62,34,54,609,364,59,4933,4838,Schwefel220,1.873044615,1.515962262,2.013295805,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\Schwefel226-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Schwefel226-20000-1000-150.csv,allgenerations-2018-11-07T12-50-30.121Z.csv,662,50,27,54,584,317,54,4706,4558,Schwefel226,0.66928263,0.56097478,0.720221772,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\Sphere-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Sphere-20000-1000-150.csv,allgenerations-2018-11-07T12-51-05.057Z.csv,662,45,24,53,508,239,47,4763,3782,Sphere,3.015936213,2.513888889,3.220921944,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\StyblinksiTang-20000-1000.csv,..\2018-11-07\epochs\functionepochs-StyblinksiTang-20000-1000-150.csv,allgenerations-2018-11-07T12-51-13.533Z.csv,662,62,31,50,543,280,51,4853,4423,StyblinksiTang,3.859482674,3.14801593,4.106083299,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\SumOfPowers-20000-1000.csv,..\2018-11-07\epochs\functionepochs-SumOfPowers-20000-1000-150.csv,allgenerations-2018-11-07T12-51-26.033Z.csv,662,60,39,65,518,350,67,4139,4144,SumOfPowers,0.047110749,0.039060122,0.048242986,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\SumSquares-20000-1000.csv,..\2018-11-07\epochs\functionepochs-SumSquares-20000-1000-150.csv,allgenerations-2018-11-07T12-52-53.673Z.csv,662,50,33,66,585,349,59,4819,4326,SumSquares,2.930342014,2.256880746,3.186031355,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\Trid-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Trid-20000-1000-150.csv,allgenerations-2018-11-07T12-53-05.629Z.csv,662,55,36,65,629,300,47,5497,4281,Trid,10.11523785,8.309117669,10.15210567,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\Zakharoy-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Zakharoy-20000-1000-150.csv,allgenerations-2018-11-07T12-53-17.631Z.csv,662,55,36,65,558,315,56,4560,4488,Zakharoy,23.09574439,19.39952154,26.08321891,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\FixedOne-20000-1000.csv,..\2018-11-07\epochs\functionepochs-FixedOne-20000-1000-150.csv,allgenerations-2018-11-07T12-53-30.017Z.csv,662,56,31,55,599,335,55,4835,4620,FixedOne,0.955892756,0.783807859,1.00545151,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\FixedHalf-20000-1000.csv,..\2018-11-07\epochs\functionepochs-FixedHalf-20000-1000-150.csv,allgenerations-2018-11-07T12-53-35.738Z.csv,662,56,31,55,599,335,55,4835,4620,FixedHalf,1.911785513,1.567615718,2.01090302,0.09,1000,20000,150,1,1
..\2018-11-07\tuning\Random-20000-1000.csv,..\2018-11-07\epochs\functionepochs-Random-20000-1000-150.csv,allgenerations-2018-11-08T09-15-24.583Z.csv,662,63,32,50,550,321,58,4848,4579,Random,1.300113742,1.024841424,1.755026948,0.09,1000,20000,150,1,1
