Ackleys,Alpine,Brown,ChungReynolds,DixonPrice,Exponential,Griewank,Qing,Rastrigin,Rosenbrock,Salomon,SchumerSteiglitz,Schwefel220,Schwefel226,Sphere,StyblinksiTang,SumOfPowers,SumSquares,Trid,Zakharoy,FixedOne,FixedHalf,Random
3.78E-04,1.54E-04,4.45E-04,3.55E-04,3.95E-04,5.00E-04,5.33E-04,0.001844979,3.67E-04,3.31E-04,3.631636084,4.78E-04,4.85E-04,0.043511151,5.32E-04,6.20E-04,2.232303096,5.96E-04,1.48E-04,2.07E-04,0,0,0.064109811
3.78E-04,1.54E-04,4.45E-04,3.51E-04,3.95E-04,4.94E-04,5.33E-04,0.001844979,3.67E-04,3.31E-04,3.631636084,4.78E-04,4.85E-04,0.044338092,5.26E-04,6.20E-04,2.260062286,6.40E-04,1.26E-04,2.07E-04,0,0,0.064712474
3.78E-04,1.54E-04,4.45E-04,3.51E-04,3.95E-04,4.94E-04,5.33E-04,0.001844979,3.67E-04,3.31E-04,3.631636084,4.78E-04,4.85E-04,0.044338092,5.26E-04,6.20E-04,2.260062286,6.40E-04,1.26E-04,2.07E-04,0,0,0.064712474
3.78E-04,1.54E-04,4.45E-04,3.55E-04,3.95E-04,4.94E-04,5.33E-04,0.001844979,3.67E-04,3.31E-04,3.631636084,4.78E-04,4.85E-04,0.044338092,5.26E-04,6.20E-04,1.957264561,6.40E-04,1.26E-04,2.07E-04,0,0,0.064712474
3.78E-04,1.54E-04,4.45E-04,3.55E-04,3.95E-04,4.94E-04,5.33E-04,0.001844979,3.67E-04,3.31E-04,3.631636084,4.78E-04,4.85E-04,0.044338092,5.26E-04,6.20E-04,1.518633606,6.40E-04,1.26E-04,2.07E-04,0,0,0.064712474
3.78E-04,1.54E-04,4.45E-04,3.55E-04,3.95E-04,4.94E-04,5.33E-04,0.001844979,3.67E-04,3.31E-04,3.631636084,4.78E-04,4.85E-04,0.044338092,5.26E-04,6.20E-04,1.518633606,6.40E-04,1.26E-04,2.07E-04,0,0,0.061580659
3.78E-04,1.54E-04,4.45E-04,3.55E-04,3.95E-04,4.94E-04,5.33E-04,0.001844979,3.67E-04,3.31E-04,3.631636084,4.78E-04,4.85E-04,0.044338092,5.26E-04,6.20E-04,1.518633606,6.40E-04,1.26E-04,2.07E-04,0,0,0.061580659
3.78E-04,1.54E-04,4.45E-04,3.55E-04,3.95E-04,4.94E-04,5.33E-04,0.001844979,3.67E-04,3.31E-04,3.631636084,4.78E-04,4.85E-04,0.044338092,5.26E-04,6.20E-04,1.518633606,6.40E-04,1.26E-04,2.07E-04,0,0,0.061580659
3.78E-04,1.54E-04,4.45E-04,3.55E-04,3.95E-04,4.94E-04,5.33E-04,0.001844979,3.67E-04,3.31E-04,3.631636084,4.78E-04,4.85E-04,0.044338092,5.26E-04,6.20E-04,1.518633606,6.40E-04,1.26E-04,2.07E-04,0,0,0.062134391
3.78E-04,1.54E-04,4.45E-04,3.55E-04,3.95E-04,4.94E-04,5.33E-04,0.001844979,3.67E-04,3.31E-04,3.631636084,4.78E-04,4.85E-04,0.044338092,5.26E-04,6.20E-04,1.518633606,6.40E-04,1.26E-04,2.07E-04,0,0,0.062134391
