"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.35","false","6.0","15","90","41","3.7904603566368245","22.742762139820947","150.0"
"1","43","20","0.35","false","6.0","20","90","41","1.4732428424288888","8.839457054573334","150.0"
"44","200","45","0.35","false","6.0","45","90","41","1.4772885194932122","8.863731116959272","150.0"
"201","410","30","0.35","false","6.0","30","90","41","1.4369945157183348","8.621967094310008","150.0"
"411","430","12","0.35","false","7.0","12","90","41","2.6284998639411925","18.399499047588346","150.0"
"431","500","13","0.35","false","7.0","13","90","41","1.4406516102944666","10.084561272061267","150.0"
"501","750","13","0.35","false","7.0","13","90","41","1.309557575757581","9.166903030303068","150.0"
"751","950","14","0.35","false","7.0","14","90","41","1.2916049783549832","9.041234848484883","150.0"
"951","1066","15","0.35","false","7.75","15","90","41","3.959897095241924","30.68920248812491","150.0"
"1067","1086","20","0.35","false","7.75","20","90","41","1.167648662611898","9.04927713524221","150.0"
"1087","1190","37","0.35","false","7.75","37","90","41","1.1184858175453236","8.668265085976259","150.0"
"1191","1220","48","0.35","false","7.75","48","90","41","1.1086458399110364","8.592005259310532","150.0"
"1221","1250","50","0.35","false","7.75","50","90","41","1.0961012379535546","8.494784594140048","150.0"
"1251","1279","53","0.35","false","7.75","53","90","41","1.1042221056473958","8.557721318767317","150.0"
"1280","1290","57","0.35","false","7.75","57","90","41","1.1223228836568686","8.698002348340731","150.0"
"1291","1315","56","0.35","false","7.75","56","90","41","1.1000994957793118","8.525771092289666","150.0"
"1316","1325","50","0.35","false","7.75","50","90","41","1.1076346311574274","8.584168391470063","150.0"
"1326","1348","57","0.35","false","7.75","57","90","41","1.106195083446427","8.573011896709808","150.0"
"1349","1351","30","0.35","true","7.75","30","90","41","0.9177581963959675","7.112626022068747","150.0"
"1352","1377","30","0.35","false","7.75","30","90","41","1.098047656972103","8.509869341533797","150.0"
"1378","1400","25","0.35","false","7.75","25","90","41","1.1041129064100188","8.556875024677646","150.0"
"1401","1430","24","0.35","false","7.75","24","90","41","1.1637242699145378","9.018863091837668","150.0"
"1431","1450","23","0.35","false","7.75","23","90","41","1.088940962419223","8.439292458748978","150.0"
"1451","1490","26","0.35","false","7.75","26","90","41","1.1738597344152006","9.097412941717804","150.0"
"1491","1522","28","0.35","false","7.75","28","90","41","1.130086466472336","8.758170115160604","150.0"
"1523","1541","34","0.35","false","7.75","34","90","41","1.1526120175244294","8.932743135814327","150.0"
"1542","1560","38","0.35","false","7.75","38","90","41","1.1162132294457472","8.65065252820454","150.0"
"1561","1600","50","0.31","false","7.75","50","90","41","1.112351411296196","8.62072343754552","150.0"
"1601","1650","63","0.29","false","7.75","63","90","41","1.1113664742067337","8.613090175102187","150.0"
"1651","1700","62","0.26","false","7.75","62","90","41","1.1157008331541711","8.646681456944826","150.0"
"1701","1801","113","0.25","false","7.75","113","90","41","1.1189527279730438","8.671883641791089","150.0"
"1802","1811","125","0.28","false","7.75","125","90","41","1.1101638840366328","8.603770101283905","150.0"
"1812","1821","134","0.28","false","7.75","134","90","41","1.101609677946111","8.537475004082362","150.0"
"1822","1831","158","0.26","false","7.75","158","90","41","1.1125270849393105","8.622084908279657","150.0"
"1832","1841","202","0.25","false","7.75","202","90","41","1.129812089723823","8.75604369535963","150.0"
"1842","1851","274","0.22","false","7.75","274","90","41","1.1409946726390325","8.842708712952502","150.0"
"1852","1861","290","0.25","false","7.75","290","90","41","1.1002757013327709","8.527136685328975","150.0"
"1862","1871","315","0.22","false","7.75","315","90","41","1.1096072533268688","8.599456213283233","150.0"
"1872","1881","350","0.21","false","7.75","350","90","41","1.1210580037067754","8.688199528727509","150.0"
"1882","1891","378","0.19","false","7.75","378","90","41","1.115646303743611","8.646258854012986","150.0"
"1892","1901","382","0.18","false","7.75","382","90","41","1.1086022689095654","8.591667584049132","150.0"
"1902","1911","421","0.13","false","7.75","421","90","41","1.1390875848674171","8.827928782722482","150.0"
"1912","1921","440","0.14","false","7.75","440","90","41","1.1256879388003598","8.724081525702788","150.0"
"1922","1931","450","0.12","false","7.75","450","90","41","1.1282721369479114","8.744109061346313","150.0"
"1932","1941","502","0.07","false","7.75","502","90","41","1.1561265385699135","8.95998067391683","150.0"
"1942","1951","528","0.08","false","7.75","528","90","41","1.1478762497429378","8.896040935507768","150.0"
"1952","1961","559","0.09","false","7.75","559","90","41","1.1429438086821226","8.857814517286451","150.0"
"1962","1971","563","0.1","false","7.75","563","90","41","1.1396995119130866","8.832671217326421","150.0"
"1972","1981","574","0.07","false","7.75","574","90","41","1.152002072342384","8.928016060653476","150.0"
"1982","1991","593","0.1","false","7.75","593","90","41","1.1507745628856483","8.918502862363773","150.0"
"1992","2001","632","0.09","false","7.75","632","90","41","1.1519122844703866","8.927320204645497","150.0"
"2002","2011","656","0.09","false","7.75","656","90","41","1.1691398493940452","9.060833832803851","150.0"
"2012","2015","662","0.09","false","7.75","662","90","41","1.1922369615030586","9.239836451648705","150.0"
