"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.35","false","25.0","15","90","41","1.3607188616977361","34.017971542443405","150.0"
"1","43","20","0.35","false","18.75","20","90","41","3.814721162910018","71.52602180456283","150.0"
"44","200","45","0.35","false","18.75","45","90","41","1.163854737484289","21.822276327830416","150.0"
"201","410","30","0.35","false","18.75","30","90","41","1.156046643012724","21.675874556488576","150.0"
"411","430","12","0.35","false","18.75","12","90","41","1.1277715757293763","21.145717044925803","150.0"
"431","500","13","0.35","false","18.75","13","90","41","1.2036630036630043","22.56868131868133","150.0"
"501","750","13","0.35","false","18.75","13","90","41","1.3018505050505096","24.409696969697055","150.0"
"751","950","14","0.35","false","18.75","14","90","41","1.287117243867247","24.13344832251088","150.0"
"951","1066","15","0.35","false","28.90625","15","90","41","2.9807184796732233","86.16139355305411","150.0"
"1067","1086","20","0.35","false","28.90625","20","90","41","0.8071795076281212","23.332532642375376","150.0"
"1087","1190","37","0.35","false","28.90625","37","90","41","0.8069890351528735","23.32702679738775","150.0"
"1191","1220","48","0.35","false","21.679686999999998","48","90","41","3.4436022253736245","74.65621839860363","150.0"
"1221","1250","50","0.35","false","21.679686999999998","50","90","41","1.0624066320805474","23.032643250230425","150.0"
"1251","1279","53","0.35","false","21.679686999999998","53","90","41","1.06378930071486","23.06261907344704","150.0"
"1280","1290","57","0.35","false","21.679686999999998","57","90","41","1.0586391821685939","22.950966115351093","150.0"
"1291","1315","56","0.35","false","21.679686999999998","56","90","41","1.0540917864558266","22.852379999633158","150.0"
"1316","1325","50","0.35","false","21.679686999999998","50","90","41","1.0442534681201179","22.639088337508632","150.0"
"1326","1348","57","0.35","false","21.679686999999998","57","90","41","1.0743936025190863","23.292517017416202","150.0"
"1349","1351","30","0.35","true","21.679686999999998","30","90","41","0.8948247978436658","19.399521537088948","150.0"
"1352","1377","30","0.35","false","21.679686999999998","30","90","41","1.0595269124361277","22.970211829691653","150.0"
"1378","1400","25","0.35","false","21.679686999999998","25","90","41","1.0618460394742906","23.02048977799226","150.0"
"1401","1430","24","0.35","false","21.679686999999998","24","90","41","1.0589844468467657","22.958451345506017","150.0"
"1431","1450","23","0.35","false","21.679686999999998","23","90","41","1.0978658949745903","23.80138897102399","150.0"
"1451","1490","26","0.35","false","21.679686999999998","26","90","41","1.065317243355001","23.09574439163925","150.0"
"1491","1522","28","0.35","false","21.679686999999998","28","90","41","1.0526385543301309","22.82087438200973","150.0"
"1523","1541","34","0.35","false","21.679686999999998","34","90","41","1.0714114022530539","23.227863849077302","150.0"
"1542","1560","38","0.35","false","21.679686999999998","38","90","41","1.0990645980571578","23.82737647865999","150.0"
"1561","1600","50","0.31","false","21.679686999999998","50","90","41","1.086764263321607","23.56070907159802","150.0"
"1601","1650","63","0.29","false","21.679686999999998","63","90","41","1.1007839775000319","23.86465208681573","150.0"
"1651","1700","62","0.26","false","21.679686999999998","62","90","41","1.0880904723117641","23.58946086740121","150.0"
"1701","1801","113","0.25","false","21.679686999999998","113","90","41","1.101265964327927","23.87510141038262","150.0"
"1802","1811","125","0.28","false","21.679686999999998","125","90","41","1.1093422091777903","24.050191870863017","150.0"
"1812","1821","134","0.28","false","21.679686999999998","134","90","41","1.1061122681669142","23.98016776071876","150.0"
"1822","1831","158","0.26","false","21.679686999999998","158","90","41","1.1175683014549214","24.228530976664338","150.0"
"1832","1841","202","0.25","false","21.679686999999998","202","90","41","1.1237720393079402","24.36302607154784","150.0"
"1842","1851","274","0.22","false","21.679686999999998","274","90","41","1.1398506465019822","24.711605242910615","150.0"
"1852","1861","290","0.25","false","21.679686999999998","290","90","41","1.0985763776319337","23.816792012654123","150.0"
"1862","1871","315","0.22","false","21.679686999999998","315","90","41","1.110280591917892","24.070535714954627","150.0"
"1872","1881","350","0.21","false","21.679686999999998","350","90","41","1.1149281498689336","24.17129331664757","150.0"
"1882","1891","378","0.19","false","21.679686999999998","378","90","41","1.1076910457835998","24.01439516529111","150.0"
"1892","1901","382","0.18","false","21.679686999999998","382","90","41","1.1121151478839215","24.11030831408213","150.0"
"1902","1911","421","0.13","false","21.679686999999998","421","90","41","1.1218907057896108","24.322239349727848","150.0"
"1912","1921","440","0.14","false","21.679686999999998","440","90","41","1.1169710725262587","24.215583240423587","150.0"
"1922","1931","450","0.12","false","21.679686999999998","450","90","41","1.1279209769541312","24.452973741099775","150.0"
"1932","1941","502","0.07","false","21.679686999999998","502","90","41","1.1688649143305203","25.340625487967493","150.0"
"1942","1951","528","0.08","false","21.679686999999998","528","90","41","1.1422034614426626","24.76261353439349","150.0"
"1952","1961","559","0.09","false","21.679686999999998","559","90","41","1.1426101623026272","24.771430681740156","150.0"
"1962","1971","563","0.1","false","21.679686999999998","563","90","41","1.1353401086470014","24.613818194012982","150.0"
"1972","1981","574","0.07","false","21.679686999999998","574","90","41","1.1447326852017108","24.81744631384262","150.0"
"1982","1991","593","0.1","false","21.679686999999998","593","90","41","1.1422174212593754","24.762916178850404","150.0"
"1992","2001","632","0.09","false","21.679686999999998","632","90","41","1.1606895179209427","25.163385452706926","150.0"
"2002","2011","656","0.09","false","21.679686999999998","656","90","41","1.1884817746800993","25.765912880269074","150.0"
"2012","2015","662","0.09","false","21.679686999999998","662","90","41","1.2031178729263663","26.08321890914939","150.0"
