"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","10.0","1500","1.0309166251715742","10.309166251715743"
"1","43","1.066","2000","0.6","false","10.0","2000","0.8044066394454824","8.044066394454823"
"44","200","1.066","4500","0.6","false","7.5","4500","1.7844463448301526","13.383347586226146"
"201","410","1.066","3000","0.6","false","7.5","3000","0.9227235282940786","6.920426462205589"
"411","430","1.066","1250","0.6","false","7.5","1250","0.8796951195780359","6.597713396835269"
"431","500","1.066","1300","0.6","false","7.5","1300","0.8991060330508598","6.7432952478814485"
"501","750","1.066","1300","0.6","false","7.5","1300","0.8815715930185859","6.611786947639394"
"751","950","1.066","1400","0.6","false","7.5","1400","0.8658350757007508","6.493763067755631"
"951","1066","1.066","1500","0.6","false","7.5","1500","0.8508548921781564","6.381411691336172"
"1067","1086","1.066","2000","0.6","false","7.5","2000","0.8876151333494423","6.6571135001208175"
"1087","1190","1.066","3700","0.6","false","7.5","3700","0.880053325400291","6.600399940502182"
"1191","1220","1.066","4800","0.6","false","7.5","4800","0.8657659023206831","6.493244267405123"
"1221","1250","1.066","5000","0.6","false","7.5","5000","0.842801750799197","6.321013130993977"
"1251","1279","1.066","5300","0.6","false","7.5","5300","0.8423950035019694","6.31796252626477"
"1280","1290","1.066","5700","0.6","false","7.5","5700","0.8481792860688052","6.361344645516039"
"1291","1315","1.066","5600","0.6","false","7.5","5600","0.838943068714714","6.292073015360355"
"1316","1325","1.066","5000","0.6","false","7.5","5000","0.8289458769739217","6.217094077304413"
"1326","1348","1.066","5700","0.6","false","7.5","5700","0.845678227112205","6.342586703341537"
"1349","1351","1.066","3000","0.6","true","7.5","3000","0.7026126104864128","5.269594578648096"
"1352","1377","1.066","3000","0.6","false","7.5","3000","0.8343730940936545","6.257798205702408"
"1378","1400","1.066","2500","0.6","false","7.5","2500","0.8253262371571488","6.189946778678616"
"1401","1430","1.066","2400","0.6","false","7.5","2400","0.8276109736661225","6.207082302495919"
"1431","1450","1.066","2300","0.6","false","7.5","2300","0.8242681826334122","6.182011369750591"
"1451","1490","1.066","2600","0.6","false","7.5","2600","0.8254759744745253","6.1910698085589395"
"1491","1522","1.066","2800","0.6","false","7.5","2800","0.8191379415929766","6.143534561947324"
"1523","1541","1.066","3400","0.6","false","7.5","3400","0.8384400544353441","6.288300408265081"
"1542","1560","1.066","3800","0.6","false","7.5","3800","0.8254054784265948","6.190541088199462"
"1561","1600","1.066","5000","0.6","false","7.5","5000","0.8316802416413476","6.237601812310107"
"1601","1650","1.066","6300","0.6","false","7.5","6300","0.82163155543691","6.162236665776825"
"1651","1700","1.066","6200","0.6","false","7.5","6200","0.8057596638372828","6.043197478779621"
"1701","1801","1.066","11300","0.6","false","7.5","11300","0.8388154186188954","6.291115639641715"
"1802","1811","1.066","12500","0.6","false","7.5","12500","0.8171813362669862","6.128860022002397"
"1812","1821","1.066","13400","0.6","false","7.5","13400","0.811617193622111","6.087128952165833"
"1822","1831","1.066","15800","0.6","false","7.5","15800","0.8360416516254834","6.270312387191125"
"1832","1841","1.066","20200","0.6","false","7.5","20200","0.8667464474726512","6.5005983560448835"
"1842","1851","1.066","27400","0.6","false","7.5","27400","0.8980154464046951","6.735115848035213"
"1852","1861","1.066","29000","0.6","false","7.5","29000","0.82148468435233","6.1611351326424755"
"1862","1871","1.066","31500","0.6","false","7.5","31500","0.8219446168875317","6.164584626656488"
"1872","1881","1.066","35000","0.6","false","7.5","35000","0.825184342363182","6.188882567723866"
"1882","1891","1.066","37800","0.6","false","7.5","37800","0.8181378034428901","6.136033525821675"
"1892","1901","1.066","38200","0.6","false","7.5","38200","0.8054576365086487","6.040932273814865"
"1902","1911","1.003","42100","0.13","false","7.5","42100","0.8902356217325554","6.676767162994166"
"1912","1921","1.003","44000","0.13","false","7.5","44000","0.8798052062121233","6.598539046590925"
"1922","1931","1.003","45000","0.13","false","7.5","45000","0.8731672589494274","6.548754442120705"
"1932","1941","1.003","50200","0.13","false","7.5","50200","0.9727883510156955","7.295912632617716"
"1942","1951","1.003","52800","0.13","false","7.5","52800","1.0490271471915664","7.867703603936748"
"1952","1961","1.003","55900","0.13","false","7.5","55900","1.0854533941089068","8.140900455816801"
"1962","1971","1.003","56300","0.13","false","7.5","56300","0.9952300441461868","7.464225331096401"
"1972","1981","1.003","57400","0.13","false","7.5","57400","0.9999626697404871","7.499720023053653"
"1982","1991","1.003","59300","0.13","false","7.5","59300","1.0054876020949675","7.541157015712256"
"1992","2001","1.003","63200","0.13","false","7.5","63200","1.0264105321583314","7.698078991187486"
"2002","2011","1.003","65600","0.13","false","7.5","65600","1.0192454950904626","7.644341213178469"
"2012","2015","1.003","66270","0.13","false","7.5","66270","1.0077898881640102","7.558424161230076"
