"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.2509375","1500","1.4283435787668457","1.786768545563651"
"1","43","1.066","2000","0.6","false","1.09469531","2000","5.06753532033574","5.5474071484308825"
"44","200","1.066","4500","0.6","false","1.09469531","4500","1.037337069544866","1.1355680249199087"
"201","410","1.066","3000","0.6","false","1.09469531","3000","0.9636919860173445","1.0549490973777726"
"411","430","1.066","1250","0.6","false","1.09469531","1250","0.930114670186261","1.0181921672150969"
"431","500","1.066","1300","0.6","false","1.09469531","1300","0.9573384772504537","1.0479939411286134"
"501","750","1.066","1300","0.6","false","1.09469531","1300","0.9553441752138564","1.045810788042427"
"751","950","1.066","1400","0.6","false","1.09469531","1400","0.9524269842210988","1.042617352744281"
"951","1066","1.066","1500","0.6","false","1.09469531","1500","0.9520835761144103","1.042241425500473"
"1067","1086","1.066","2000","0.6","false","1.09469531","2000","0.9890291563303638","1.0826855788881062"
"1087","1190","1.066","3700","0.6","false","1.09469531","3700","0.9870192246331059","1.0804853160856975"
"1191","1220","1.066","4800","0.6","false","1.09469531","4800","0.9728593494297332","1.0649845671103801"
"1221","1250","1.066","5000","0.6","false","1.09469531","5000","0.9523850330860691","1.0425714290335149"
"1251","1279","1.066","5300","0.6","false","1.09469531","5300","0.9528142149886302","1.0430412524493853"
"1280","1290","1.066","5700","0.6","false","1.09469531","5700","0.9578117777885364","1.048512061007873"
"1291","1315","1.066","5600","0.6","false","1.09469531","5600","0.9494623585467972","1.0393719909227173"
"1316","1325","1.066","5000","0.6","false","1.09469531","5000","0.9393327577723509","1.0282831644627586"
"1326","1348","1.066","5700","0.6","false","1.09469531","5700","0.9595733869937199","1.0504404863428403"
"1349","1351","1.066","3000","0.6","true","1.09469531","3000","0.8135398047525791","0.8905782087609642"
"1352","1377","1.066","3000","0.6","false","1.09469531","3000","0.9507845383372637","1.0408193749383179"
"1378","1400","1.066","2500","0.6","false","1.09469531","2500","0.9402057764484557","1.029238853913033"
"1401","1430","1.066","2400","0.6","false","1.09469531","2400","0.9486930867167113","1.0385298726582073"
"1431","1450","1.066","2300","0.6","false","1.09469531","2300","0.9481706040813789","1.0379579133677523"
"1451","1490","1.066","2600","0.6","false","1.09469531","2600","0.9555531945719868","1.0460396005534716"
"1491","1522","1.066","2800","0.6","false","1.09469531","2800","0.9527881777905504","1.0430127496507617"
"1523","1541","1.066","3400","0.6","false","1.09469531","3400","0.9735700401432532","1.0657625569013311"
"1542","1560","1.066","3800","0.6","false","1.09469531","3800","0.9605561020283391","1.0515162598823045"
"1561","1600","1.066","5000","0.6","false","1.09469531","5000","0.9680776777730846","1.059750093573887"
"1601","1650","1.066","6300","0.6","false","1.09469531","6300","0.9607997799845169","1.0517830129980827"
"1651","1700","1.066","6200","0.6","false","1.09469531","6200","0.9506500861500702","1.040672190759578"
"1701","1801","1.066","11300","0.6","false","1.09469531","11300","0.9864391051565857","1.0798502620155113"
"1802","1811","1.066","12500","0.6","false","1.09469531","12500","0.9670719131290936","1.0586490877351462"
"1812","1821","1.066","13400","0.6","false","1.09469531","13400","0.9602837959792752","1.0512181677275094"
"1822","1831","1.066","15800","0.6","false","1.09469531","15800","0.9811307341187726","1.0740392131366774"
"1832","1841","1.066","20200","0.6","false","1.09469531","20200","1.0124256519726624","1.1082976129381659"
"1842","1851","1.066","27400","0.6","false","1.09469531","27400","1.0368545289801792","1.1350397900268614"
"1852","1861","1.066","29000","0.6","false","1.09469531","29000","0.9602206957920905","1.0511490922485383"
"1862","1871","1.066","31500","0.6","false","1.09469531","31500","0.964480481163303","1.0558122593160113"
"1872","1881","1.066","35000","0.6","false","1.09469531","35000","0.9684810989779725","1.0601917168748325"
"1882","1891","1.066","37800","0.6","false","1.09469531","37800","0.9627416639276578","1.0539087842432033"
"1892","1901","1.066","38200","0.6","false","1.09469531","38200","0.9540587749257652","1.044403666375581"
"1902","1911","1.003","42100","0.13","false","1.09469531","42100","0.9930255132420515","1.0870603720564167"
"1912","1921","1.003","44000","0.13","false","1.09469531","44000","0.9494611972195603","1.0393707196232378"
"1922","1931","1.003","45000","0.13","false","1.09469531","45000","0.9504850350659563","1.040491510111888"
"1932","1941","1.003","50200","0.13","false","1.09469531","50200","1.0250649542875891","1.1221337979039883"
"1942","1951","1.003","52800","0.13","false","1.09469531","52800","1.0509584682076094","1.1504793061516543"
"1952","1961","1.003","55900","0.13","false","1.09469531","55900","1.0527272943061807","1.1524156317859657"
"1962","1971","1.003","56300","0.13","false","1.09469531","56300","0.9962292369274006","1.0905674733493043"
"1972","1981","1.003","57400","0.13","false","1.09469531","57400","1.0095329115697405","1.1051309435860397"
"1982","1991","1.003","59300","0.13","false","1.09469531","59300","1.0119015109852163","1.10772383825743"
"1992","2001","1.003","63200","0.13","false","1.09469531","63200","1.034991627748426","1.133000480785468"
"2002","2011","1.003","65600","0.13","false","1.09469531","65600","1.0305689691779738","1.1281590171906626"
"2012","2015","1.003","66270","0.13","false","1.09469531","66270","1.0170196394499915","1.1133266294837967"
