"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","2.500875","1500","1.3727411849261424","3.4330541108521664"
"1","43","1.066","2000","0.6","false","1.2509375","2000","2.2805958092743626","2.852882820164148"
"44","200","1.066","4500","0.6","false","1.2509375","4500","1.2532420805486746","1.5677275151363577"
"201","410","1.066","3000","0.6","false","1.2509375","3000","0.9865481753649935","1.2341101081206467"
"411","430","1.066","1250","0.6","false","1.2509375","1250","0.9197234353186499","1.1505165348689237"
"431","500","1.066","1300","0.6","false","1.2509375","1300","0.9375087162217103","1.1727648096985956"
"501","750","1.066","1300","0.6","false","1.2509375","1300","0.9247166354765036","1.1567627161913887"
"751","950","1.066","1400","0.6","false","1.2509375","1400","0.9179664727568685","1.1483186845142952"
"951","1066","1.066","1500","0.6","false","1.2509375","1500","0.9178633469103183","1.1481896805256264"
"1067","1086","1.066","2000","0.6","false","1.2509375","2000","0.9577488408951375","1.198083940657261"
"1087","1190","1.066","3700","0.6","false","1.2509375","3700","0.9527354123933207","1.1918124549407696"
"1191","1220","1.066","4800","0.6","false","1.2509375","4800","0.9424877623264981","1.1789932851853038"
"1221","1250","1.066","5000","0.6","false","1.2509375","5000","0.9155273661992694","1.1452675146548987"
"1251","1279","1.066","5300","0.6","false","1.2509375","5300","0.9153853544890339","1.1450898668811258"
"1280","1290","1.066","5700","0.6","false","1.2509375","5700","0.921895189579164","1.1532332637141856"
"1291","1315","1.066","5600","0.6","false","1.2509375","5600","0.9123037130927575","1.1412349260969714"
"1316","1325","1.066","5000","0.6","false","1.2509375","5000","0.9028753618830105","1.1294406480055286"
"1326","1348","1.066","5700","0.6","false","1.2509375","5700","0.9221757563241654","1.1535842351767607"
"1349","1351","1.066","3000","0.6","true","1.2509375","3000","0.7699913705594558","0.9632110801092192"
"1352","1377","1.066","3000","0.6","false","1.2509375","3000","0.9106266856171102","1.1391370695391538"
"1378","1400","1.066","2500","0.6","false","1.2509375","2500","0.9019156644938893","1.1282401265528246"
"1401","1430","1.066","2400","0.6","false","1.2509375","2400","0.9100441102885848","1.1384083042141266"
"1431","1450","1.066","2300","0.6","false","1.2509375","2300","0.9093794111153393","1.1375768070920946"
"1451","1490","1.066","2600","0.6","false","1.2509375","2600","0.9170271692817582","1.1471436745733994"
"1491","1522","1.066","2800","0.6","false","1.2509375","2800","0.9155018796643429","1.145235632592614"
"1523","1541","1.066","3400","0.6","false","1.2509375","3400","0.9344732586173193","1.1689676419516029"
"1542","1560","1.066","3800","0.6","false","1.2509375","3800","0.9225210507377785","1.1540161769072899"
"1561","1600","1.066","5000","0.6","false","1.2509375","5000","0.9339397749864176","1.1683002872720718"
"1601","1650","1.066","6300","0.6","false","1.2509375","6300","0.9283884149572184","1.1613558828355455"
"1651","1700","1.066","6200","0.6","false","1.2509375","6200","0.9111584933857806","1.1398023278197749"
"1701","1801","1.066","11300","0.6","false","1.2509375","11300","0.9483387566351582","1.1863125133782932"
"1802","1811","1.066","12500","0.6","false","1.2509375","12500","0.9267791698009795","1.1593428177229128"
"1812","1821","1.066","13400","0.6","false","1.2509375","13400","0.9232297687002843","1.1549027387835118"
"1822","1831","1.066","15800","0.6","false","1.2509375","15800","0.9449410269386821","1.1820621658861077"
"1832","1841","1.066","20200","0.6","false","1.2509375","20200","0.9802111575671726","1.226182894919185"
"1842","1851","1.066","27400","0.6","false","1.2509375","27400","1.0128922513726633","1.267064900701491"
"1852","1861","1.066","29000","0.6","false","1.2509375","29000","0.9331679904400207","1.1673348330410636"
"1862","1871","1.066","31500","0.6","false","1.2509375","31500","0.935941220881125","1.1708039709959823"
"1872","1881","1.066","35000","0.6","false","1.2509375","35000","0.94120617799066","1.1773901032801912"
"1882","1891","1.066","37800","0.6","false","1.2509375","37800","0.9331522117271414","1.167315094857421"
"1892","1901","1.066","38200","0.6","false","1.2509375","38200","0.9213614527984954","1.152565592360118"
"1902","1911","1.003","42100","0.13","false","1.2509375","42100","0.9862572733773367","1.2337462079154622"
"1912","1921","1.003","44000","0.13","false","1.2509375","44000","0.9540477842394234","1.1934541500970037"
"1922","1931","1.003","45000","0.13","false","1.2509375","45000","0.9518037041204375","1.1906469461231597"
"1932","1941","1.003","50200","0.13","false","1.2509375","50200","1.0519358286211578","1.3159059756157796"
"1942","1951","1.003","52800","0.13","false","1.2509375","52800","1.1280407234897891","1.411108442540508"
"1952","1961","1.003","55900","0.13","false","1.2509375","55900","1.1739560179470843","1.4685456062006808"
"1962","1971","1.003","56300","0.13","false","1.2509375","56300","1.0943672100276731","1.3689849817939923"
"1972","1981","1.003","57400","0.13","false","1.2509375","57400","1.104568878737714","1.381746631745959"
"1982","1991","1.003","59300","0.13","false","1.2509375","59300","1.1234901830579083","1.4054160008690022"
"1992","2001","1.003","63200","0.13","false","1.2509375","63200","1.1669671725707986","1.4598029974377835"
"2002","2011","1.003","65600","0.13","false","1.2509375","65600","1.1787764515610424","1.4745756673746415"
"2012","2015","1.003","66270","0.13","false","1.2509375","66270","1.1643911963197118","1.4565806121461895"
