"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.25374","1500","1.358295510158971","1.7029494129067084"
"1","43","1.066","2000","0.6","false","1.0976400000000002","2000","5.151759441133393","5.6547772329656585"
"44","200","1.066","4500","0.6","false","1.0976400000000002","4500","1.04389748099111","1.145823631035082"
"201","410","1.066","3000","0.6","false","1.0976400000000002","3000","0.9622140975551674","1.0561646820404542"
"411","430","1.066","1250","0.6","false","1.0976400000000002","1250","0.9300950044345175","1.020909480667504"
"431","500","1.066","1300","0.6","false","1.0976400000000002","1300","0.9590206276293127","1.052659401711039"
"501","750","1.066","1300","0.6","false","1.0976400000000002","1300","0.9577218799356172","1.051233844292531"
"751","950","1.066","1400","0.6","false","1.0976400000000002","1400","0.9548348990199238","1.0480649785602294"
"951","1066","1.066","1500","0.6","false","1.0976400000000002","1500","0.9571128637078072","1.0505653637202377"
"1067","1086","1.066","2000","0.6","false","1.0976400000000002","2000","0.9921704333182264","1.0890459544274183"
"1087","1190","1.066","3700","0.6","false","1.0976400000000002","3700","0.9944974133093","1.0916001407448201"
"1191","1220","1.066","4800","0.6","false","1.0976400000000002","4800","0.9793102988063961","1.0749301563818527"
"1221","1250","1.066","5000","0.6","false","1.0976400000000002","5000","0.9588559353022837","1.0524786288251988"
"1251","1279","1.066","5300","0.6","false","1.0976400000000002","5300","0.9587028209285838","1.052310564364051"
"1280","1290","1.066","5700","0.6","false","1.0976400000000002","5700","0.967896612015227","1.062402037212394"
"1291","1315","1.066","5600","0.6","false","1.0976400000000002","5600","0.9569019554998728","1.0503338624348806"
"1316","1325","1.066","5000","0.6","false","1.0976400000000002","5000","0.9469228114612012","1.039380354772273"
"1326","1348","1.066","5700","0.6","false","1.0976400000000002","5700","0.9651591189037108","1.0593972552734692"
"1349","1351","1.066","3000","0.6","true","1.0976400000000002","3000","0.8143938470280788","0.8939112622519005"
"1352","1377","1.066","3000","0.6","false","1.0976400000000002","3000","0.9573517051555844","1.050827525646976"
"1378","1400","1.066","2500","0.6","false","1.0976400000000002","2500","0.949103731747584","1.0417742201154183"
"1401","1430","1.066","2400","0.6","false","1.0976400000000002","2400","0.9550851227874719","1.0483396341764408"
"1431","1450","1.066","2300","0.6","false","1.0976400000000002","2300","0.9527083897992767","1.0457308369792784"
"1451","1490","1.066","2600","0.6","false","1.0976400000000002","2600","0.9596859846548323","1.0533897241965304"
"1491","1522","1.066","2800","0.6","false","1.0976400000000002","2800","0.9575018732874698","1.0509923561952585"
"1523","1541","1.066","3400","0.6","false","1.0976400000000002","3400","0.9765903269036619","1.0719446064225355"
"1542","1560","1.066","3800","0.6","false","1.0976400000000002","3800","0.965558300408605","1.0598354128605014"
"1561","1600","1.066","5000","0.6","false","1.0976400000000002","5000","0.9744336335499459","1.069577333529763"
"1601","1650","1.066","6300","0.6","false","1.0976400000000002","6300","0.9669914457879805","1.061408490554719"
"1651","1700","1.066","6200","0.6","false","1.0976400000000002","6200","0.9553333873259754","1.0486121392644838"
"1701","1801","1.066","11300","0.6","false","1.0976400000000002","11300","0.9906957096963094","1.0874272387910573"
"1802","1811","1.066","12500","0.6","false","1.0976400000000002","12500","0.9690792174297915","1.0637001122196366"
"1812","1821","1.066","13400","0.6","false","1.0976400000000002","13400","0.9639120365261707","1.0580284077725863"
"1822","1831","1.066","15800","0.6","false","1.0976400000000002","15800","0.9891045852289977","1.0856807569307572"
"1832","1841","1.066","20200","0.6","false","1.0976400000000002","20200","1.0160550398486805","1.1152626539395059"
"1842","1851","1.066","27400","0.6","false","1.0976400000000002","27400","1.049692091027228","1.1521840267951269"
"1852","1861","1.066","29000","0.6","false","1.0976400000000002","29000","0.9661864423897312","1.0605248866246646"
"1862","1871","1.066","31500","0.6","false","1.0976400000000002","31500","0.97158249966915","1.066447814936846"
"1872","1881","1.066","35000","0.6","false","1.0976400000000002","35000","0.9742894368368032","1.0694190574495488"
"1882","1891","1.066","37800","0.6","false","1.0976400000000002","37800","0.9674150393517218","1.061873443794024"
"1892","1901","1.066","38200","0.6","false","1.0976400000000002","38200","0.9607772687271133","1.0545875612456288"
"1902","1911","1.003","42100","0.13","false","1.0976400000000002","42100","1.0035622067130574","1.1015500205765205"
"1912","1921","1.003","44000","0.13","false","1.0976400000000002","44000","0.959269354760625","1.0529324145594525"
"1922","1931","1.003","45000","0.13","false","1.0976400000000002","45000","0.959425295315501","1.0531035811501066"
"1932","1941","1.003","50200","0.13","false","1.0976400000000002","50200","1.0423833733063455","1.144161685875977"
"1942","1951","1.003","52800","0.13","false","1.0976400000000002","52800","1.0736989305027875","1.17853489407708"
"1952","1961","1.003","55900","0.13","false","1.0976400000000002","55900","1.079528187831408","1.1849333200912668"
"1962","1971","1.003","56300","0.13","false","1.0976400000000002","56300","1.0183415560153868","1.1177724255447292"
"1972","1981","1.003","57400","0.13","false","1.0976400000000002","57400","1.0319335552537856","1.1326915475887653"
"1982","1991","1.003","59300","0.13","false","1.0976400000000002","59300","1.0361111188177596","1.137277008459126"
"1992","2001","1.003","63200","0.13","false","1.0976400000000002","63200","1.0615724647498426","1.1652244002080174"
"2002","2011","1.003","65600","0.13","false","1.0976400000000002","65600","1.0588297224613288","1.1622138565624531"
"2012","2015","1.003","66270","0.13","false","1.0976400000000002","66270","1.0434594062312645","1.1453427826556855"
