"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","3.75406249","1500","3.1532557881737886","11.837519275758606"
"1","43","1.066","2000","0.6","false","2.81679686","2000","3.475527024920035","9.789853610639897"
"44","200","1.066","4500","0.6","false","2.81679686","4500","1.0267649067847775","2.892188165389554"
"201","410","1.066","3000","0.6","false","2.81679686","3000","0.9192123311301141","2.589234408000586"
"411","430","1.066","1250","0.6","false","2.81679686","1250","0.8814277025908778","2.4828027849749987"
"431","500","1.066","1300","0.6","false","2.81679686","1300","0.9045915088541783","2.5480505217231117"
"501","750","1.066","1300","0.6","false","2.81679686","1300","0.8975093047967834","2.5281013915723625"
"751","950","1.066","1400","0.6","false","2.81679686","1400","0.8956463098165119","2.522853713161738"
"951","1066","1.066","1500","0.6","false","2.81679686","1500","0.8944791529060607","2.519566069241252"
"1067","1086","1.066","2000","0.6","false","2.81679686","2000","0.9308131729257598","2.6219116227439176"
"1087","1190","1.066","3700","0.6","false","2.81679686","3700","0.926990275895335","2.6111432983925136"
"1191","1220","1.066","4800","0.6","false","2.81679686","4800","0.9170202811691294","2.5830598485535208"
"1221","1250","1.066","5000","0.6","false","2.81679686","5000","0.8969836695352396","2.5266207838181405"
"1251","1279","1.066","5300","0.6","false","2.81679686","5300","0.8953423817722219","2.5219976096009162"
"1280","1290","1.066","5700","0.6","false","2.81679686","5700","0.8996008350805776","2.533992807508349"
"1291","1315","1.066","5600","0.6","false","2.81679686","5600","0.8914069594940388","2.510912324484956"
"1316","1325","1.066","5000","0.6","false","2.81679686","5000","0.8823249631408696","2.4853301856748176"
"1326","1348","1.066","5700","0.6","false","2.81679686","5700","0.9036130575683855","2.545294423213628"
"1349","1351","1.066","3000","0.6","true","2.81679686","3000","0.7519285410188608","2.1180299532863085"
"1352","1377","1.066","3000","0.6","false","2.81679686","3000","0.8924522818955746","2.5138567853432896"
"1378","1400","1.066","2500","0.6","false","2.81679686","2500","0.8826437510389222","2.486228146425058"
"1401","1430","1.066","2400","0.6","false","2.81679686","2400","0.8887440488083681","2.503411446027098"
"1431","1450","1.066","2300","0.6","false","2.81679686","2300","0.887271730657238","2.499264224882074"
"1451","1490","1.066","2600","0.6","false","2.81679686","2600","0.8965216644373086","2.5253194093089846"
"1491","1522","1.066","2800","0.6","false","2.81679686","2800","0.8948552639632548","2.5206254976861673"
"1523","1541","1.066","3400","0.6","false","2.81679686","3400","0.9098727202207467","2.562926621317458"
"1542","1560","1.066","3800","0.6","false","2.81679686","3800","0.8999354728196322","2.5349354140409552"
"1561","1600","1.066","5000","0.6","false","2.81679686","5000","0.9096830130688879","2.5623922548077824"
"1601","1650","1.066","6300","0.6","false","2.81679686","6300","0.9046126398245845","2.5481100433742006"
"1651","1700","1.066","6200","0.6","false","2.81679686","6200","0.8926842613831473","2.5145102244354685"
"1701","1801","1.066","11300","0.6","false","2.81679686","11300","0.9256390687286191","2.607337222288099"
"1802","1811","1.066","12500","0.6","false","2.81679686","12500","0.905203272853844","2.5497737366364315"
"1812","1821","1.066","13400","0.6","false","2.81679686","13400","0.8991998808543311","2.5328634009028543"
"1822","1831","1.066","15800","0.6","false","2.81679686","15800","0.9211465871445874","2.5946828142685905"
"1832","1841","1.066","20200","0.6","false","2.81679686","20200","0.9496123282414081","2.674865024407688"
"1842","1851","1.066","27400","0.6","false","2.81679686","27400","0.9803262888934133","2.7613800123304197"
"1852","1861","1.066","29000","0.6","false","2.81679686","29000","0.9031060623337959","2.543866320628801"
"1862","1871","1.066","31500","0.6","false","2.81679686","31500","0.9060380100221526","2.552125021671048"
"1872","1881","1.066","35000","0.6","false","2.81679686","35000","0.910528626974731","2.564774177402534"
"1882","1891","1.066","37800","0.6","false","2.81679686","37800","0.9036489575021704","2.545395546034387"
"1892","1901","1.066","38200","0.6","false","2.81679686","38200","0.8964562828305027","2.525135242604232"
"1902","1911","1.003","42100","0.13","false","2.81679686","42100","0.9347878269144235","2.6331074156187717"
"1912","1921","1.003","44000","0.13","false","2.81679686","44000","0.8959109188767982","2.52359906313188"
"1922","1931","1.003","45000","0.13","false","2.81679686","45000","0.8960352842740902","2.5239493751924647"
"1932","1941","1.003","50200","0.13","false","2.81679686","50200","0.9721146765420073","2.7382495684434423"
"1942","1951","1.003","52800","0.13","false","2.81679686","52800","1.000256114416107","2.8175182822830913"
"1952","1961","1.003","55900","0.13","false","2.81679686","55900","1.0030361332865403","2.825349030708068"
"1962","1971","1.003","56300","0.13","false","2.81679686","56300","0.9498710059464461","2.675593666954991"
"1972","1981","1.003","57400","0.13","false","2.81679686","57400","0.9646135984269397","2.717120555162305"
"1982","1991","1.003","59300","0.13","false","2.81679686","59300","0.9690244079648458","2.729544909618737"
"1992","2001","1.003","63200","0.13","false","2.81679686","63200","0.9942130161602514","2.8004961020913255"
"2002","2011","1.003","65600","0.13","false","2.81679686","65600","0.9914290677669506","2.7926542849986737"
"2012","2015","1.003","66270","0.13","false","2.81679686","66270","0.9769481485845405","2.7518644773157472"
