"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.50024999","1500","2.640769734636041","3.961814767980023"
"1","43","1.066","2000","0.6","false","1.12543748","2000","3.594445571742483","4.04532376625902"
"44","200","1.066","4500","0.6","false","1.12543748","4500","1.0645262660824488","1.1980577582936407"
"201","410","1.066","3000","0.6","false","1.12543748","3000","0.9769342000352247","1.0994783642134591"
"411","430","1.066","1250","0.6","false","1.12543748","1250","0.9458847550750404","1.0645341551220706"
"431","500","1.066","1300","0.6","false","1.12543748","1300","0.9740283342129524","1.096207993905223"
"501","750","1.066","1300","0.6","false","1.12543748","1300","0.9715004208542898","1.0933629854651914"
"751","950","1.066","1400","0.6","false","1.12543748","1400","0.9700258118041338","1.0917034051717986"
"951","1066","1.066","1500","0.6","false","1.12543748","1500","0.9676371174133904","1.0890150789761903"
"1067","1086","1.066","2000","0.6","false","1.12543748","2000","1.0107664508487004","1.1375544473117052"
"1087","1190","1.066","3700","0.6","false","1.12543748","3700","1.0106358093330436","1.1374074184535412"
"1191","1220","1.066","4800","0.6","false","1.12543748","4800","0.9944354146832667","1.1191748871238907"
"1221","1250","1.066","5000","0.6","false","1.12543748","5000","0.974040981343036","1.0962222274594333"
"1251","1279","1.066","5300","0.6","false","1.12543748","5300","0.9721813385276886","1.0941293157356289"
"1280","1290","1.066","5700","0.6","false","1.12543748","5700","0.9756655020869619","1.0980505239916851"
"1291","1315","1.066","5600","0.6","false","1.12543748","5600","0.9671214740362569","1.0884347545932505"
"1316","1325","1.066","5000","0.6","false","1.12543748","5000","0.959075302267825","1.0793792913145392"
"1326","1348","1.066","5700","0.6","false","1.12543748","5700","0.9798345029352057","1.1027424738004505"
"1349","1351","1.066","3000","0.6","true","1.12543748","3000","0.8122730192927511","0.9141624999048251"
"1352","1377","1.066","3000","0.6","false","1.12543748","3000","0.9693073135538761","1.0908947803116442"
"1378","1400","1.066","2500","0.6","false","1.12543748","2500","0.9624792083260757","1.0832101747708935"
"1401","1430","1.066","2400","0.6","false","1.12543748","2400","0.9694761986146626","1.0910848498888654"
"1431","1450","1.066","2300","0.6","false","1.12543748","2300","0.9638882400317703","1.0847959518629906"
"1451","1490","1.066","2600","0.6","false","1.12543748","2600","0.9711655622890764","1.0929861230854012"
"1491","1522","1.066","2800","0.6","false","1.12543748","2800","0.9709137836933814","1.0927027620171443"
"1523","1541","1.066","3400","0.6","false","1.12543748","3400","0.9943183590799984","1.1190431483607286"
"1542","1560","1.066","3800","0.6","false","1.12543748","3800","0.979804638465193","1.1027088632065778"
"1561","1600","1.066","5000","0.6","false","1.12543748","5000","0.9933663284389903","1.1179716973952296"
"1601","1650","1.066","6300","0.6","false","1.12543748","6300","0.9830411004909615","1.1063512988729745"
"1651","1700","1.066","6200","0.6","false","1.12543748","6200","0.9692233613727962","1.090800297380529"
"1701","1801","1.066","11300","0.6","false","1.12543748","11300","1.0074348919548646","1.133804986065755"
"1802","1811","1.066","12500","0.6","false","1.12543748","12500","0.9853864980452294","1.1089908971860478"
"1812","1821","1.066","13400","0.6","false","1.12543748","13400","0.9799173900442953","1.1028357580596289"
"1822","1831","1.066","15800","0.6","false","1.12543748","15800","1.0033956920336413","1.1292591190851973"
"1832","1841","1.066","20200","0.6","false","1.12543748","20200","1.035979617466686","1.165930290013071"
"1842","1851","1.066","27400","0.6","false","1.12543748","27400","1.0675658999224804","1.2014786761426886"
"1852","1861","1.066","29000","0.6","false","1.12543748","29000","0.9851703019578786","1.108747582006314"
"1862","1871","1.066","31500","0.6","false","1.12543748","31500","0.9889583165672752","1.1130107556225164"
"1872","1881","1.066","35000","0.6","false","1.12543748","35000","0.9930669445276032","1.1176347595204457"
"1882","1891","1.066","37800","0.6","false","1.12543748","37800","0.9867267047279945","1.1104992160177782"
"1892","1901","1.066","38200","0.6","false","1.12543748","38200","0.9756105593893949","1.097988689420591"
"1902","1911","1.003","42100","0.13","false","1.12543748","42100","1.030109557636755","1.1593239046706243"
"1912","1921","1.003","44000","0.13","false","1.12543748","44000","0.9895870145302703","1.1137183158736708"
"1922","1931","1.003","45000","0.13","false","1.12543748","45000","0.9892207746374716","1.1133061357716438"
"1932","1941","1.003","50200","0.13","false","1.12543748","50200","1.080555754518416","1.2160979453647045"
"1942","1951","1.003","52800","0.13","false","1.12543748","52800","1.1336792050112836","1.2758850676163025"
"1952","1961","1.003","55900","0.13","false","1.12543748","55900","1.1547063884009048","1.2995498479018155"
"1962","1971","1.003","56300","0.13","false","1.12543748","56300","1.08465313346827","1.2207092892046336"
"1972","1981","1.003","57400","0.13","false","1.12543748","57400","1.0991013718718734","1.2369698782240242"
"1982","1991","1.003","59300","0.13","false","1.12543748","59300","1.1101632416043916","1.2494193210198776"
"1992","2001","1.003","63200","0.13","false","1.12543748","63200","1.1449303831708826","1.2885475652112726"
"2002","2011","1.003","65600","0.13","false","1.12543748","65600","1.145724082902604","1.2894408246372178"
"2012","2015","1.003","66270","0.13","false","1.12543748","66270","1.1310702155727321","1.2729488131172324"
