"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.50024999","1500","2.684482023493733","4.027394128901653"
"1","43","1.066","2000","0.6","false","1.12543748","2000","3.5088225766880194","3.948960438474871"
"44","200","1.066","4500","0.6","false","1.12543748","4500","1.0251842560219293","1.153780785632995"
"201","410","1.066","3000","0.6","false","1.12543748","3000","0.9376628758731327","1.0552809441122113"
"411","430","1.066","1250","0.6","false","1.12543748","1250","0.9085774917784729","1.0225471627318852"
"431","500","1.066","1300","0.6","false","1.12543748","1300","0.9365494355615566","1.0540278366538205"
"501","750","1.066","1300","0.6","false","1.12543748","1300","0.9301688638644757","1.0468469021220985"
"751","950","1.066","1400","0.6","false","1.12543748","1400","0.9303661468489249","1.047068931786964"
"951","1066","1.066","1500","0.6","false","1.12543748","1500","0.930296501148879","1.0469905499058114"
"1067","1086","1.066","2000","0.6","false","1.12543748","2000","0.9706061892910579","1.0923565837481313"
"1087","1190","1.066","3700","0.6","false","1.12543748","3700","0.9647643544287191","1.0857819638420845"
"1191","1220","1.066","4800","0.6","false","1.12543748","4800","0.9543615839682886","1.074074296070079"
"1221","1250","1.066","5000","0.6","false","1.12543748","5000","0.9343106314877236","1.0515082026387523"
"1251","1279","1.066","5300","0.6","false","1.12543748","5300","0.9340044821047137","1.051163650648634"
"1280","1290","1.066","5700","0.6","false","1.12543748","5700","0.9391522361916471","1.056957126035892"
"1291","1315","1.066","5600","0.6","false","1.12543748","5600","0.9278771932449681","1.04426777011509"
"1316","1325","1.066","5000","0.6","false","1.12543748","5000","0.9204495485909525","1.035908420433339"
"1326","1348","1.066","5700","0.6","false","1.12543748","5700","0.939762470995993","1.0576439071563035"
"1349","1351","1.066","3000","0.6","true","1.12543748","3000","0.7842591349268275","0.8826346244790287"
"1352","1377","1.066","3000","0.6","false","1.12543748","3000","0.9307999402447662","1.0475571391332203"
"1378","1400","1.066","2500","0.6","false","1.12543748","2500","0.9252648558911775","1.04132774774673"
"1401","1430","1.066","2400","0.6","false","1.12543748","2400","0.9288443937481445","1.0453562938120395"
"1431","1450","1.066","2300","0.6","false","1.12543748","2300","0.9280691018003392","1.0444837511960372"
"1451","1490","1.066","2600","0.6","false","1.12543748","2600","0.9372238979624139","1.0547869019185963"
"1491","1522","1.066","2800","0.6","false","1.12543748","2800","0.9327772715749522","1.0497825019225897"
"1523","1541","1.066","3400","0.6","false","1.12543748","3400","0.9522178781778907","1.0716616892274724"
"1542","1560","1.066","3800","0.6","false","1.12543748","3800","0.9405844098168255","1.0585689479115352"
"1561","1600","1.066","5000","0.6","false","1.12543748","5000","0.949859914222043","1.0690079482150723"
"1601","1650","1.066","6300","0.6","false","1.12543748","6300","0.944177860366681","1.0626131518428694"
"1651","1700","1.066","6200","0.6","false","1.12543748","6200","0.930946403191841","1.0477219740232895"
"1701","1801","1.066","11300","0.6","false","1.12543748","11300","0.9653331893226997","1.086422151951702"
"1802","1811","1.066","12500","0.6","false","1.12543748","12500","0.9445401213454853","1.0630208539259571"
"1812","1821","1.066","13400","0.6","false","1.12543748","13400","0.9389047629178883","1.0566786103383057"
"1822","1831","1.066","15800","0.6","false","1.12543748","15800","0.9592917492363595","1.0796228888453603"
"1832","1841","1.066","20200","0.6","false","1.12543748","20200","0.9918960283315901","1.1163169665475132"
"1842","1851","1.066","27400","0.6","false","1.12543748","27400","1.0197914198749392","1.1477114857096735"
"1852","1861","1.066","29000","0.6","false","1.12543748","29000","0.9409032870468277","1.0589278242976983"
"1862","1871","1.066","31500","0.6","false","1.12543748","31500","0.9444961201170102","1.0629713332942652"
"1872","1881","1.066","35000","0.6","false","1.12543748","35000","0.9480838620912314","1.067009112580623"
"1882","1891","1.066","37800","0.6","false","1.12543748","37800","0.9426469727596359","1.0608902335522332"
"1892","1901","1.066","38200","0.6","false","1.12543748","38200","0.9337066553973733","1.0508284653096482"
"1902","1911","1.003","42100","0.13","false","1.12543748","42100","0.9814783614161742","1.1045925337467484"
"1912","1921","1.003","44000","0.13","false","1.12543748","44000","0.9351930604158454","1.0525013212278969"
"1922","1931","1.003","45000","0.13","false","1.12543748","45000","0.934187625734198","1.051369767353479"
"1932","1941","1.003","50200","0.13","false","1.12543748","50200","1.0217738964549496","1.1499426391560394"
"1942","1951","1.003","52800","0.13","false","1.12543748","52800","1.0677272596990353","1.2016602764829878"
"1952","1961","1.003","55900","0.13","false","1.12543748","55900","1.090148428379643","1.226893900061546"
"1962","1971","1.003","56300","0.13","false","1.12543748","56300","1.0216364330065644","1.1497879326390965"
"1972","1981","1.003","57400","0.13","false","1.12543748","57400","1.0328776833813647","1.162439257132961"
"1982","1991","1.003","59300","0.13","false","1.12543748","59300","1.0399989250957138","1.1704537694624289"
"1992","2001","1.003","63200","0.13","false","1.12543748","63200","1.0707785673731771","1.2050943325024788"
"2002","2011","1.003","65600","0.13","false","1.12543748","65600","1.0730622339719715","1.207664456484586"
"2012","2015","1.003","66270","0.13","false","1.12543748","66270","1.0563481033689586","1.1888537474583403"
