"Epoch Start Year","Epoch End Year","Epoch Kill Constant","Epoch Environment Capacity","Epoch Enable Fitness","Epoch Breeding Probability","Year","Epoch Fitness Factor","Epoch Expected Max Population","Population","Number Born","Number Killed","Born Elapsed","Kill Elapsed","Avg Fitness","Fitness Deviation","Average Age"
"-50","0","1.066","1500.0","true","0.6","-50","1.2509375","1500","1144","0","2856","0.0","0.02","0.30752675927637185","0.053849249399591556","0"
"-50","0","1.066","1500.0","true","0.6","-49","1.2509375","1500","1091","0","53","0.0","0.0","1.113693812351158","0.17112114664986042","0"
"-50","0","1.066","1500.0","true","0.6","-48","1.2509375","1500","1069","0","22","0.0","0.0","1.1825496168096419","0.16716438620143897","1"
"-50","0","1.066","1500.0","true","0.6","-47","1.2509375","1500","1049","0","20","0.0","0.0","1.2132579594422712","0.1653650113245256","2"
"-50","0","1.066","1500.0","true","0.6","-46","1.2509375","1500","1030","0","19","0.0","0.0","1.2430043295348752","0.16232940970598214","4"
"-50","0","1.066","1500.0","true","0.6","-45","1.2509375","1500","1021","0","9","0.0","0.0","1.2721708729434764","0.15967854087707745","4"
"-50","0","1.066","1500.0","true","0.6","-44","1.2509375","1500","1015","0","6","0.0","0.0","1.287033422078177","0.15623228250493404","5"
"-50","0","1.066","1500.0","true","0.6","-43","1.2509375","1500","1007","0","8","0.0","0.0","1.296670093933187","0.15534354581383206","6"
"-50","0","1.066","1500.0","true","0.6","-42","1.2509375","1500","1005","0","2","0.0","0.0","1.3095887051021335","0.1542918392579781","7"
"-50","0","1.066","1500.0","true","0.6","-41","1.2509375","1500","1000","0","5","0.0","0.0","1.3130076538636886","0.15366470859416687","9"
"-50","0","1.066","1500.0","true","0.6","-40","1.2509375","1500","997","0","3","0.0","0.0","1.3212648473315998","0.15291965913833316","9"
"-50","0","1.066","1500.0","true","0.6","-39","1.2509375","1500","994","0","3","0.0","0.0","1.3262169400247503","0.15254544953031285","11"
"-50","0","1.066","1500.0","true","0.6","-38","1.2509375","1500","994","0","0","0.0","0.0","1.3313403026653223","0.15186382346096092","12"
"-50","0","1.066","1500.0","true","0.6","-37","1.2509375","1500","990","0","4","0.0","0.0","1.3313403026653223","0.15186382346096092","13"
"-50","0","1.066","1500.0","true","0.6","-36","1.2509375","1500","987","0","3","0.0","0.0","1.3382903736788576","0.1506831770701589","13"
"-50","0","1.066","1500.0","true","0.6","-35","1.2509375","1500","985","0","2","0.0","0.0","1.3433066786843175","0.15037985681364754","14"
"-50","0","1.066","1500.0","true","0.6","-34","1.2509375","1500","1258","273","0","0.04","0.0","1.346620520938464","0.15027469202778854","12"
"-50","0","1.066","1500.0","true","0.6","-33","1.2509375","1500","1465","272","65","0.0","0.0","1.0546331793106698","0.11995811847192263","11"
"-50","0","1.066","1500.0","true","0.6","-32","1.2509375","1500","1502","244","207","0.0","0.0","0.9097655583773315","0.10237250364553858","10"
"-50","0","1.066","1500.0","true","0.6","-31","1.2509375","1500","1458","187","231","0.0","0.0","0.8964580788220187","0.10068403016090594","9"
"-50","0","1.066","1500.0","true","0.6","-30","1.2509375","1500","1431","172","199","0.01","0.0","0.9327975568845598","0.10296092338593954","9"
"-50","0","1.066","1500.0","true","0.6","-29","1.2509375","1500","1462","161","130","0.01","0.0","0.9610430334375784","0.10115066764330381","8"
"-50","0","1.066","1500.0","true","0.6","-28","1.2509375","1500","1436","136","162","0.0","0.0","0.9488482548330524","0.0977291192554015","9"
"-50","0","1.066","1500.0","true","0.6","-27","1.2509375","1500","1436","124","124","0.01","0.0","0.9753517011700068","0.09684464464847511","9"
"-50","0","1.066","1500.0","true","0.6","-26","1.2509375","1500","1430","120","126","0.0","0.0","0.9826885225567934","0.09545757507066598","9"
"-50","0","1.066","1500.0","true","0.6","-25","1.2509375","1500","1416","106","120","0.0","0.0","0.9946439936967938","0.09380814094513346","9"
"-50","0","1.066","1500.0","true","0.6","-24","1.2509375","1500","1434","102","84","0.0","0.0","1.0128995603731128","0.09256879089059256","9"
"-50","0","1.066","1500.0","true","0.6","-23","1.2509375","1500","1445","98","87","0.0","0.0","1.0065160327132188","0.08850770916674328","10"
"-50","0","1.066","1500.0","true","0.6","-22","1.2509375","1500","1441","94","98","0.0","0.0","1.004187816577094","0.08496229613879444","10"
"-50","0","1.066","1500.0","true","0.6","-21","1.2509375","1500","1424","73","90","0.0","0.0","1.0128675117261912","0.0838699817811789","10"
"-50","0","1.066","1500.0","true","0.6","-20","1.2509375","1500","1445","84","63","0.0","0.0","1.0296020437225446","0.08337891591490106","11"
"-50","0","1.066","1500.0","true","0.6","-19","1.2509375","1500","1436","63","72","0.0","0.0","1.0179633334913876","0.08113437257114178","11"
"-50","0","1.066","1500.0","true","0.6","-18","1.2509375","1500","1468","94","62","0.0","0.0","1.0293198977133902","0.07889146141684397","11"
"-50","0","1.066","1500.0","true","0.6","-17","1.2509375","1500","1478","105","95","0.0","0.0","1.0112031929447651","0.07629215108332911","11"
"-50","0","1.066","1500.0","true","0.6","-16","1.2509375","1500","1533","128","73","0.0","0.0","1.0091911026076184","0.07349555582852356","11"
"-50","0","1.066","1500.0","true","0.6","-15","1.2509375","1500","1538","132","127","0.0","0.0","0.9769658432438122","0.06811318268349498","11"
"-50","0","1.066","1500.0","true","0.6","-14","1.2509375","1500","1502","78","114","0.0","0.0","0.9768984151785683","0.06606072359861805","12"
"-50","0","1.066","1500.0","true","0.6","-13","1.2509375","1500","1490","80","92","0.0","0.0","1.0037143298134361","0.06611697789178088","12"
"-50","0","1.066","1500.0","true","0.6","-12","1.2509375","1500","1498","95","87","0.0","0.0","1.0140062686514335","0.06691770274627433","12"
"-50","0","1.066","1500.0","true","0.6","-11","1.2509375","1500","1511","114","101","0.0","0.0","1.0112548496305815","0.06634013635994285","12"
"-50","0","1.066","1500.0","true","0.6","-10","1.2509375","1500","1522","106","95","0.0","0.0","1.005472034842153","0.06442080994468186","12"
"-50","0","1.066","1500.0","true","0.6","-9","1.2509375","1500","1558","126","90","0.0","0.0","1.0030955418122016","0.06201056859567276","12"
"-50","0","1.066","1500.0","true","0.6","-8","1.2509375","1500","1543","116","131","0.0","0.0","0.9822038867297394","0.06039304396400335","12"
"-50","0","1.066","1500.0","true","0.6","-7","1.2509375","1500","1554","126","115","0.0","0.0","0.9940862056497167","0.06062345802628956","12"
"-50","0","1.066","1500.0","true","0.6","-6","1.2509375","1500","1556","111","109","0.0","0.0","0.9901394761181144","0.059345912915701904","12"
