"Epoch Start Year","Epoch End Year","Epoch Kill Constant","Epoch Environment Capacity","Epoch Enable Fitness","Epoch Breeding Probability","Year","Epoch Fitness Factor","Epoch Expected Max Population","Population","Number Born","Number Killed","Born Elapsed","Kill Elapsed","Avg Fitness","Fitness Deviation","Average Age"
"-50","0","1.066","1500.0","true","0.6","-50","1.25037499","1500","1006","0","2994","0.0","0.14","0.2711421482648582","0.057246158787527986","0"
"-50","0","1.066","1500.0","true","0.6","-49","1.25037499","1500","942","0","64","0.0","0.0","1.1220268532696798","0.21880833092764163","1"
"-50","0","1.066","1500.0","true","0.6","-48","1.25037499","1500","911","0","31","0.0","0.0","1.2219347813659902","0.2189556786346978","1"
"-50","0","1.066","1500.0","true","0.6","-47","1.25037499","1500","895","0","16","0.0","0.01","1.2760368274093203","0.21872826406940016","2"
"-50","0","1.066","1500.0","true","0.6","-46","1.25037499","1500","888","0","7","0.0","0.0","1.3065579440397774","0.21654676606790324","4"
"-50","0","1.066","1500.0","true","0.6","-45","1.25037499","1500","879","0","9","0.0","0.0","1.3207528326528593","0.2143111267717317","4"
"-50","0","1.066","1500.0","true","0.6","-44","1.25037499","1500","872","0","7","0.0","0.0","1.3387611100744037","0.2127923418044225","6"
"-50","0","1.066","1500.0","true","0.6","-43","1.25037499","1500","866","0","6","0.0","0.0","1.3538571041922","0.20937136843575185","7"
"-50","0","1.066","1500.0","true","0.6","-42","1.25037499","1500","862","0","4","0.0","0.0","1.367019493199911","0.20642525633182254","8"
"-50","0","1.066","1500.0","true","0.6","-41","1.25037499","1500","858","0","4","0.0","0.0","1.3753905346462043","0.20566263675030572","9"
"-50","0","1.066","1500.0","true","0.6","-40","1.25037499","1500","854","0","4","0.0","0.0","1.383924991859315","0.20460928057055736","10"
"-50","0","1.066","1500.0","true","0.6","-39","1.25037499","1500","853","0","1","0.0","0.0","1.3923694085964662","0.20398973094709774","10"
"-50","0","1.066","1500.0","true","0.6","-38","1.25037499","1500","849","0","4","0.0","0.0","1.3945056349666478","0.20381727610078998","11"
"-50","0","1.066","1500.0","true","0.6","-37","1.25037499","1500","848","0","1","0.0","0.0","1.403140503388704","0.2030275900574746","13"
