"Epoch Start Year","Epoch End Year","Epoch Environment Capacity","Epoch Enable Fitness","Epoch Breeding Probability","Year","Epoch Fitness Factor","Epoch Expected Max Population","Population","Number Born","Number Killed","Born Elapsed","Kill Elapsed","Avg Fitness","Fitness Deviation","Average Age","Capacity Factor","Avg Factored Fitness","Avg Mutations","Avg Life Expectancy"
"-50","0","15.0","true","0.35","-50","6.25","150000","150000","0","0","0.0","125.17","0.16918838609199743","0.0","0","1.0","1.0574274130749899","0.0","0"
"-50","0","3014.0","true","0.35","-49","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","0","1.0","1.0574274130749899","0.0","0"
"-50","0","6014.0","true","0.35","-48","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","1","1.0","1.0574274130749899","0.0","0"
"-50","0","9014.0","true","0.35","-47","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","2","1.0","1.0574274130749899","0.0","0"
"-50","0","12013.0","true","0.35","-46","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","3","1.0","1.0574274130749899","0.0","0"
"-50","0","15013.0","true","0.35","-45","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","4","1.0","1.0574274130749899","0.0","0"
"-50","0","18013.0","true","0.35","-44","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","5","1.0","1.0574274130749899","0.0","0"
"-50","0","21012.0","true","0.35","-43","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","6","1.0","1.0574274130749899","0.0","0"
"-50","0","24012.0","true","0.35","-42","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","7","1.0","1.0574274130749899","0.0","0"
"-50","0","27012.0","true","0.35","-41","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","8","1.0","1.0574274130749899","0.0","0"
"-50","0","30012.0","true","0.35","-40","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","9","1.0","1.0574274130749899","0.0","0"
"-50","0","33011.0","true","0.35","-39","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","10","1.0","1.0574274130749899","0.0","0"
"-50","0","36011.0","true","0.35","-38","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","11","1.0","1.0574274130749899","0.0","0"
"-50","0","39011.0","true","0.35","-37","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","12","1.0","1.0574274130749899","0.0","0"
"-50","0","42010.0","true","0.35","-36","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","13","1.0","1.0574274130749899","0.0","0"
"-50","0","45010.0","true","0.35","-35","6.25","150000","150000","0","0","0.0","0.0","0.16918838609199743","0.0","14","1.0","1.0574274130749899","0.0","0"
"-50","0","48010.0","true","0.35","-34","6.25","150000","174624","24624","0","22.25","0.0","0.16918834040069333","0.0","10","1.0","1.0574271275043277","149.69854613385365","0"
"-50","0","51009.0","true","0.35","-33","6.25","150000","181176","22750","16198","20.0","19.59","0.16918457267959527","0.0","8","0.8635945193584946","0.9131689695786411","149.70057142857232","1"
"-50","0","54009.0","true","0.35","-32","6.25","150000","177512","19952","23616","16.54","15.64","0.16918293172550714","0.0","7","0.8356432047674192","0.8836047799255179","149.7085505212504","1"
"-50","0","57009.0","true","0.35","-31","6.25","150000","174449","17611","20674","13.8","13.16","0.1691817780707888","0.0","6","0.8536490272818354","0.9026382150533803","149.72363863494385","1"
"-50","0","60009.0","true","0.35","-30","6.25","150000","172198","15726","17977","11.03","11.19","0.16918109016668822","0.0","6","0.8677956435940193","0.9175912181044231","149.71493068803224","1"
"-50","0","63008.0","true","0.35","-29","6.25","150000","170495","14257","15960","10.89","9.57","0.169179546806692","0.0","6","0.8784447516242895","0.9288425948939761","149.64242126674617","1"
"-50","0","66008.0","true","0.35","-28","6.25","150000","168373","12711","14833","10.76","8.39","0.16917983711225154","0.0","6","0.8865647329513804","0.9374301650471054","149.76752419164478","1"
"-50","0","69008.0","true","0.35","-27","6.25","150000","167774","11994","12593","9.79","7.23","0.16917958139395145","0.0","6","0.8967936325323446","0.9482434867768164","149.65057528764436","1"
"-50","0","72007.0","true","0.35","-26","6.25","150000","166750","11009","12033","8.79","6.45","0.16917961885429061","0.0","6","0.8996897102889774","0.9513069308892801","149.73358161504157","1"
"-50","0","75007.0","true","0.35","-25","6.25","150000","165862","10169","11057","8.96","5.76","0.16917997727662645","0.0","6","0.9046209772645328","0.9565233386780493","149.63162552856735","1"
"-50","0","78007.0","true","0.35","-24","6.25","150000","164931","9512","10443","6.82","5.07","0.16918033941111993","0.0","7","0.9093175494897274","0.9614908187641962","149.71351976450856","1"
"-50","0","81006.0","true","0.35","-23","6.25","150000","164336","9013","9608","5.5","4.59","0.16918035301978585","0.0","7","0.9139242675721315","0.9663612094664391","149.72395428825","1"
"-50","0","84006.0","true","0.35","-22","6.25","150000","163533","8231","9034","4.4","4.31","0.1691805758891077","0.0","7","0.9169811325858382","0.9695943230538463","149.7720811566029","1"
"-50","0","87006.0","true","0.35","-21","6.25","150000","163147","8017","8403","6.35","3.88","0.16918089193991107","0.0","7","0.9211520409417133","0.9740072628185399","149.64650118498156","1"
"-50","0","90006.0","true","0.35","-20","6.25","150000","162548","7555","8154","5.11","3.7","0.16918132790337284","0.0","7","0.9231619423495777","0.9761353877401808","149.5569821310388","1"
