"Epoch Start Year","Epoch End Year","Epoch Kill Constant","Epoch Environment Capacity","Epoch Enable Fitness","Epoch Breeding Probability","Year","Epoch Fitness Factor","Epoch Expected Max Population","Population","Number Born","Number Killed","Born Elapsed","Kill Elapsed","Avg Fitness","Fitness Deviation","Average Age"
"-50","0","1.066","1500.0","true","0.6","-50","1.2509375","1500","1201","0","2799","0.0","0.01","0.3092959322527064","0.05380147506415516","0"
"-50","0","1.066","1500.0","true","0.6","-49","1.2509375","1500","1132","0","69","0.0","0.0","1.0589177359934028","0.1669873141002386","1"
"-50","0","1.066","1500.0","true","0.6","-48","1.2509375","1500","1097","0","35","0.0","0.0","1.138422862193306","0.16709016510282432","1"
"-50","0","1.066","1500.0","true","0.6","-47","1.2509375","1500","1078","0","19","0.0","0.0","1.1836124661980305","0.1663212048694469","3"
"-50","0","1.066","1500.0","true","0.6","-46","1.2509375","1500","1057","0","21","0.0","0.0","1.2104608378287238","0.16357501173655487","3"
"-50","0","1.066","1500.0","true","0.6","-45","1.2509375","1500","1045","0","12","0.0","0.0","1.240850096791293","0.1614282098794671","4"
"-50","0","1.066","1500.0","true","0.6","-44","1.2509375","1500","1031","0","14","0.0","0.0","1.259123434437131","0.15970458436474136","5"
"-50","0","1.066","1500.0","true","0.6","-43","1.2509375","1500","1027","0","4","0.0","0.0","1.2812777654873158","0.15675088561608497","6"
"-50","0","1.066","1500.0","true","0.6","-42","1.2509375","1500","1022","0","5","0.0","0.0","1.287942313510653","0.155241604559269","8"
"-50","0","1.066","1500.0","true","0.6","-41","1.2509375","1500","1016","0","6","0.0","0.0","1.2960708970477617","0.15405422048813458","9"
"-50","0","1.066","1500.0","true","0.6","-40","1.2509375","1500","1015","0","1","0.0","0.0","1.3062108812711917","0.1519403791269524","9"
"-50","0","1.066","1500.0","true","0.6","-39","1.2509375","1500","1014","0","1","0.0","0.0","1.3079144039949768","0.15158441427850114","11"
"-50","0","1.066","1500.0","true","0.6","-38","1.2509375","1500","1009","0","5","0.0","0.0","1.3095666097351217","0.1513691414626876","11"
"-50","0","1.066","1500.0","true","0.6","-37","1.2509375","1500","1008","0","1","0.0","0.0","1.3178107502274345","0.1502974743622189","13"
"-50","0","1.066","1500.0","true","0.6","-36","1.2509375","1500","1004","0","4","0.0","0.0","1.3195463325063008","0.14990529013618417","14"
"-50","0","1.066","1500.0","true","0.6","-35","1.2509375","1500","1000","0","4","0.0","0.0","1.326207906275201","0.14910185778554816","15"
"-50","0","1.066","1500.0","true","0.6","-34","1.2509375","1500","1301","303","2","0.01","0.0","1.332972354965109","0.1481508380036862","12"
"-50","0","1.066","1500.0","true","0.6","-33","1.2509375","1500","1500","281","82","0.01","0.0","1.0246859703088864","0.1150973371759711","10"
"-50","0","1.066","1500.0","true","0.6","-32","1.2509375","1500","1475","226","251","0.0","0.0","0.8946430974550892","0.1003654982692048","9"
"-50","0","1.066","1500.0","true","0.6","-31","1.2509375","1500","1463","204","216","0.0","0.0","0.9212767576503239","0.10130178182530752","9"
"-50","0","1.066","1500.0","true","0.6","-30","1.2509375","1500","1451","174","186","0.0","0.0","0.938839242199889","0.10124036303507065","9"
"-50","0","1.066","1500.0","true","0.6","-29","1.2509375","1500","1454","148","145","0.0","0.0","0.9556177452745481","0.10014638643989818","9"
"-50","0","1.066","1500.0","true","0.6","-28","1.2509375","1500","1441","132","145","0.0","0.0","0.9607195333006643","0.0968630659670067","9"
"-50","0","1.066","1500.0","true","0.6","-27","1.2509375","1500","1435","136","142","0.0","0.0","0.9774429171138602","0.09443407471067077","9"
"-50","0","1.066","1500.0","true","0.6","-26","1.2509375","1500","1440","137","132","0.0","0.0","0.9891749785096748","0.09319464668596864","9"
"-50","0","1.066","1500.0","true","0.6","-25","1.2509375","1500","1441","113","112","0.0","0.0","0.9942350030823968","0.08938148751021552","9"
"-50","0","1.066","1500.0","true","0.6","-24","1.2509375","1500","1444","111","108","0.0","0.0","1.0027058640301716","0.0844266457782775","9"
"-50","0","1.066","1500.0","true","0.6","-23","1.2509375","1500","1444","93","93","0.0","0.0","1.0064942036083535","0.08188865022911494","10"
"-50","0","1.066","1500.0","true","0.6","-22","1.2509375","1500","1450","84","78","0.0","0.0","1.0108732935219096","0.08059295896227389","10"
"-50","0","1.066","1500.0","true","0.6","-21","1.2509375","1500","1444","91","97","0.0","0.0","1.010734343781759","0.07754656743121804","10"
"-50","0","1.066","1500.0","true","0.6","-20","1.2509375","1500","1427","72","89","0.0","0.0","1.0191035884124173","0.07701741302254393","11"
"-50","0","1.066","1500.0","true","0.6","-19","1.2509375","1500","1454","84","57","0.0","0.0","1.036744662682651","0.07558149422881695","11"
"-50","0","1.066","1500.0","true","0.6","-18","1.2509375","1500","1483","93","64","0.0","0.0","1.020030293315123","0.07355010636725237","11"
"-50","0","1.066","1500.0","true","0.6","-17","1.2509375","1500","1501","114","96","0.0","0.0","1.002240838303935","0.07123035453251206","11"
"-50","0","1.066","1500.0","true","0.6","-16","1.2509375","1500","1508","121","114","0.0","0.0","0.9934897544563578","0.06967265359522194","12"
"-50","0","1.066","1500.0","true","0.6","-15","1.2509375","1500","1520","134","122","0.0","0.0","0.9923302219528758","0.0702371691453903","11"
"-50","0","1.066","1500.0","true","0.6","-14","1.2509375","1500","1473","79","126","0.0","0.0","0.988552500416957","0.06868499807267303","12"
"-50","0","1.066","1500.0","true","0.6","-13","1.2509375","1500","1489","92","76","0.0","0.0","1.0251577972599628","0.06842836082914255","12"
"-50","0","1.066","1500.0","true","0.6","-12","1.2509375","1500","1526","102","65","0.0","0.0","1.0180619634284693","0.06594267641982703","12"
"-50","0","1.066","1500.0","true","0.6","-11","1.2509375","1500","1536","103","93","0.0","0.0","0.996196657353293","0.06387971891868767","12"
"-50","0","1.066","1500.0","true","0.6","-10","1.2509375","1500","1518","114","132","0.0","0.0","0.9915980674320927","0.06356023127314792","12"
"-50","0","1.066","1500.0","true","0.6","-9","1.2509375","1500","1526","119","111","0.0","0.0","1.0055572240244783","0.06421979370525333","12"
"-50","0","1.066","1500.0","true","0.6","-8","1.2509375","1500","1558","130","98","0.0","0.0","1.0035993443219793","0.06315214046427946","12"
"-50","0","1.066","1500.0","true","0.6","-7","1.2509375","1500","1569","124","113","0.0","0.0","0.985513700011879","0.061458853522285674","12"
"-50","0","1.066","1500.0","true","0.6","-6","1.2509375","1500","1549","112","132","0.0","0.0","0.9811976810433886","0.059562946830851934","12"
"-50","0","1.066","1500.0","true","0.6","-5","1.2509375","1500","1573","125","101","0.0","0.0","0.9966141658691645","0.059629191648394315","12"
"-50","0","1.066","1500.0","true","0.6","-4","1.2509375","1500","1569","120","124","0.0","0.0","0.9841512888263363","0.059291238300130854","12"
"-50","0","1.066","1500.0","true","0.6","-3","1.2509375","1500","1596","140","113","0.0","0.0","0.9888093819690046","0.0599214802509619","12"
"-50","0","1.066","1500.0","true","0.6","-2","1.2509375","1500","1574","112","134","0.0","0.0","0.9750796453753905","0.05809469301299715","12"
"-50","0","1.066","1500.0","true","0.6","-1","1.2509375","1500","1581","120","113","0.0","0.0","0.9910001870564055","0.05923970338543445","12"
"-50","0","1.066","1500.0","true","0.6","0","1.2509375","1500","1506","123","198","0.0","0.0","0.9886388178737587","0.05906586129225614","10"
