Start Year,End Year,Environment Capacity,Breeding Probability,Disease,Min Fitness,Expected Max Population,Max Age,Max Breeding Age,Mutations,Modern
-50,0,150,0.07,FALSE,1,150,85,85,5.00E-08,FALSE
1,43,200,0.07,FALSE,1,200,85,85,5.00E-08,FALSE
44,200,450,0.07,FALSE,1,450,85,85,5.00E-08,FALSE
201,410,450,0.07,FALSE,1,450,85,85,5.00E-08,FALSE
411,430,124,0.07,FALSE,1,124,85,85,5.00E-08,FALSE
431,500,130,0.07,FALSE,1,130,85,85,5.00E-08,FALSE
501,750,130,0.07,FALSE,1,130,85,85,5.00E-08,FALSE
751,950,140,0.07,FALSE,1,140,85,85,5.00E-08,FALSE
951,1066,150,0.07,FALSE,1,150,85,85,5.00E-08,FALSE
1067,1086,200,0.07,FALSE,1,200,85,85,5.00E-08,FALSE
1087,1190,370,0.07,FALSE,1,370,85,85,5.00E-08,FALSE
1191,1220,480,0.07,FALSE,1,480,85,85,5.00E-08,FALSE
1221,1250,500,0.07,FALSE,1,500,85,85,5.00E-08,FALSE
1251,1279,530,0.07,FALSE,1,530,85,85,5.00E-08,FALSE
1280,1290,570,0.07,FALSE,1,570,85,85,5.00E-08,FALSE
1291,1315,560,0.07,FALSE,1,560,85,85,5.00E-08,FALSE
1316,1325,500,0.07,FALSE,1,500,85,85,5.00E-08,FALSE
1326,1348,570,0.07,FALSE,1,570,85,85,5.00E-08,FALSE
1349,1349,300,0.07,TRUE,0.6361083,300,85,85,5.00E-08,FALSE
1350,1377,300,0.07,FALSE,0.6361083,300,85,85,5.00E-08,FALSE
1378,1400,250,0.07,FALSE,0.6361083,250,85,85,5.00E-08,FALSE
1401,1430,240,0.07,FALSE,0.6361083,240,85,85,5.00E-08,FALSE
1431,1450,230,0.07,FALSE,0.6361083,230,85,85,5.00E-08,FALSE
1451,1490,260,0.07,FALSE,0.6361083,260,85,85,5.00E-08,FALSE
1491,1522,280,0.07,FALSE,0.6361083,280,85,85,5.00E-08,FALSE
1523,1541,340,0.35,FALSE,0.6361083,340,85,85,5.00E-08,FALSE
1542,1560,380,0.35,FALSE,0.6361083,380,85,85,5.00E-08,FALSE
1561,1600,500,0.31,FALSE,0.6361083,500,85,85,5.00E-08,FALSE
1601,1650,630,0.29,FALSE,0.6361083,630,85,85,5.00E-08,FALSE
1651,1699,620,0.26,FALSE,0.6361083,620,85,85,5.00E-08,FALSE
1700,1801,1130,0.25,FALSE,0.6361083,1130,85,85,5.00E-08,TRUE
1802,1811,1250,0.28,FALSE,0.6361083,1250,85,85,5.00E-08,TRUE
1812,1821,1340,0.28,FALSE,0.6361083,1340,85,85,5.00E-08,TRUE
1822,1831,1580,0.26,FALSE,0.6361083,1580,85,85,5.00E-08,TRUE
1832,1841,2020,0.25,FALSE,0.6361083,2020,85,85,5.00E-08,TRUE
1842,1851,2740,0.22,FALSE,0.6361083,2740,85,85,5.00E-08,TRUE
1852,1861,2900,0.25,FALSE,0.6361083,2900,85,85,5.00E-08,TRUE
1862,1871,3150,0.22,FALSE,0.6361083,3150,85,85,5.00E-08,TRUE
1872,1881,3500,0.21,FALSE,0.6361083,3500,85,85,5.00E-08,TRUE
1882,1891,3780,0.19,FALSE,0.6361083,3780,85,85,5.00E-08,TRUE
1892,1901,3820,0.18,FALSE,0.6361083,3820,85,85,5.00E-08,TRUE
1902,1911,4210,0.13,FALSE,0.6361083,4210,85,85,5.00E-08,TRUE
1912,1921,4400,0.14,FALSE,0.6361083,4400,85,85,5.00E-08,TRUE
1922,1931,4500,0.12,FALSE,0.6361083,4500,85,85,5.00E-08,TRUE
1932,1951,5020,0.07,FALSE,0.6361083,5020,85,85,5.00E-08,TRUE
1952,1961,5590,0.09,FALSE,0.6361083,5590,85,85,5.00E-08,TRUE
1962,1971,5630,0.1,FALSE,0.6361083,5630,85,85,5.00E-08,TRUE
1972,1981,5740,0.07,FALSE,0.6361083,5740,85,85,5.00E-08,TRUE
1982,1991,5930,0.1,FALSE,0.6361083,5930,85,85,5.00E-08,TRUE
1992,2001,6320,0.09,FALSE,0.6361083,6320,85,85,5.00E-08,TRUE
2002,2011,6560,0.09,FALSE,0.6361083,6560,85,85,5.00E-08,TRUE
2012,2014,6626,0.09,FALSE,0.6361083,6626,85,85,5.00E-08,TRUE
2015,2018,6644,0.09,FALSE,0.6361083,6644,85,85,5.00E-08,TRUE
2019,2019,0,0.09,TRUE,0.6361083,3322,85,85,5.00E-08,TRUE
2020,2050,0,0.07,FALSE,0.799859565,3322,85,85,5.00E-08,TRUE
