Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1500000,0.6,FALSE,4.84375,1500000,6.554057446,31.74621575
1,43,1.066,2000000,0.6,FALSE,3.632812,2000000,3.736096903,13.57253766
44,200,1.066,4500000,0.6,FALSE,3.632812,4500000,1.134843956,4.12267474
201,410,1.066,3000000,0.6,FALSE,3.632812,3000000,1.088569134,3.954567013
411,430,1.066,1250000,0.6,FALSE,3.632812,1250000,1.059691707,3.849660751
431,500,1.066,1300000,0.6,FALSE,3.632812,1300000,1.09092263,3.963116823
501,750,1.066,1300000,0.6,FALSE,3.632812,1300000,1.089608722,3.95834364
751,950,1.066,1400000,0.6,FALSE,3.632812,1400000,1.08830657,3.953613166
951,1066,1.066,1500000,0.6,FALSE,3.632812,1500000,1.091138504,3.96390105
1067,1086,1.066,2000000,0.6,FALSE,3.632812,2000000,1.146898899,4.166468081
1087,1190,1.066,3700000,0.6,FALSE,3.632812,3700000,1.122408426,4.077498798
1191,1220,1.066,4800000,0.6,FALSE,3.632812,4800000,1.114992262,4.050557271
1221,1250,1.066,5000000,0.6,FALSE,3.632812,5000000,1.092492674,3.968820496
1251,1279,1.066,5300000,0.6,FALSE,3.632812,5300000,1.089744703,3.958837634
1280,1290,1.066,5700000,0.6,FALSE,3.632812,5700000,1.104340672,4.011862046
1291,1315,1.066,5600000,0.6,FALSE,3.632812,5600000,1.088537425,3.954451821
1316,1325,1.066,5000000,0.6,FALSE,3.632812,5000000,1.071737726,3.89342167
1326,1348,1.066,5700000,0.6,FALSE,3.632812,5700000,1.102398762,4.00480745
1349,1351,1.066,3000000,0.6,TRUE,3.632812,3000000,0.916811947,3.330605444
1352,1377,1.066,3000000,0.6,FALSE,3.632812,3000000,1.086127368,3.945696537
1378,1400,1.066,2500000,0.6,FALSE,3.632812,2500000,1.087733409,3.951530979
1401,1430,1.066,2400000,0.6,FALSE,3.632812,2400000,1.085953398,3.945064534
1431,1450,1.066,2300000,0.6,FALSE,3.632812,2300000,1.090244082,3.960651783
1451,1490,1.066,2600000,0.6,FALSE,3.632812,2600000,1.093517487,3.97254345
1491,1522,1.066,2800000,0.6,FALSE,3.632812,2800000,1.092550022,3.969028831
1523,1541,1.066,3400000,0.6,FALSE,3.632812,3400000,1.110791305,4.035295982
1542,1560,1.066,3800000,0.6,FALSE,3.632812,3800000,1.098721004,3.991446848
1561,1600,1.066,5000000,0.6,FALSE,3.632812,5000000,1.109567704,4.03085087
1601,1650,1.066,6300000,0.6,FALSE,3.632812,6300000,1.100896948,3.999351642
1651,1700,1.066,6200000,0.6,FALSE,3.632812,6200000,1.089387761,3.95754093
1701,1801,1.066,11300000,0.6,FALSE,3.632812,11300000,1.128920772,4.101156926
1802,1811,1.066,12500000,0.6,FALSE,3.632812,12500000,1.120305556,4.069859467
1812,1821,1.066,13400000,0.6,FALSE,3.632812,13400000,1.102124968,4.003812808
1822,1831,1.066,15800000,0.6,FALSE,3.632812,15800000,1.121190825,4.073075482
1832,1841,1.066,20200000,0.6,FALSE,3.632812,20200000,1.151109721,4.181765208
1842,1851,1.066,27400000,0.6,FALSE,3.632812,27400000,1.193616244,4.336183415
1852,1861,1.066,29000000,0.6,FALSE,3.632812,29000000,1.097862935,3.988329643
1862,1871,1.066,31500000,0.6,FALSE,3.632812,31500000,1.09294575,3.970466435
1872,1881,1.066,35000000,0.6,FALSE,3.632812,35000000,1.10094753,3.999535398
1882,1891,1.066,37800000,0.6,FALSE,3.632812,37800000,1.105122974,4.014704003
1892,1901,1.066,38200000,0.6,FALSE,3.632812,38200000,1.096682118,3.984039958
1902,1911,1.003,42100000,0.13,FALSE,3.632812,42100000,1.162542916,4.223299854
1912,1921,1.003,44000000,0.13,FALSE,3.632812,44000000,1.127563747,4.09622711
1922,1931,1.003,45000000,0.13,FALSE,3.632812,45000000,1.122194557,4.076721852
1932,1941,1.003,50200000,0.13,FALSE,3.632812,50200000,1.203021222,4.370349933
1942,1951,1.003,52800000,0.13,FALSE,3.632812,52800000,1.188361346,4.31709336
1952,1961,1.003,55900000,0.13,FALSE,3.632812,55900000,1.1703011,4.251483881
1962,1971,1.003,56300000,0.13,FALSE,3.632812,56300000,1.151211111,4.18213354
1972,1981,1.003,57400000,0.13,FALSE,3.632812,57400000,1.153011953,4.188675659
1982,1991,1.003,59300000,0.13,FALSE,3.632812,59300000,1.150057509,4.17794272
1992,2001,1.003,63200000,0.13,FALSE,3.632812,63200000,1.173714669,4.263884736
2002,2011,1.003,65600000,0.13,FALSE,3.632812,65600000,1.160795264,4.216950966
2012,2015,1.003,66270000,0.13,FALSE,3.632812,66270000,1.152358436,4.186301555
