"Epoch Start Year","Epoch End Year","Epoch Kill Constant","Epoch Environment Capacity","Epoch Enable Fitness","Epoch Breeding Probability","Year","Epoch Fitness Factor","Epoch Expected Max Population","Population","Number Born","Number Killed","Born Elapsed","Kill Elapsed","Avg Fitness","Fitness Deviation","Average Age"
"-50","399","1.066","4000.0","true","0.6","-50","7.5","4000","3403","0","597","0.0","0.02","0.9101750029423464","0.026996781362187156","0"
"-50","399","1.066","4000.0","true","0.6","-49","7.5","4000","3368","0","35","0.0","0.0","1.071134941877967","0.031775357241533936","1"
"-50","399","1.066","4000.0","true","0.6","-48","7.5","4000","3345","0","23","0.0","0.0","1.0827095046792994","0.03192469670269498","1"
"-50","399","1.066","4000.0","true","0.6","-47","7.5","4000","3324","0","21","0.0","0.0","1.0904596565518456","0.03201034464144786","3"
"-50","399","1.066","4000.0","true","0.6","-46","7.5","4000","3314","0","10","0.0","0.0","1.0976896505166849","0.03200781598192079","4"
"-50","399","1.066","4000.0","true","0.6","-45","7.5","4000","3308","0","6","0.0","0.0","1.1012019048094097","0.03193228462521815","5"
"-50","399","1.066","4000.0","true","0.6","-44","7.5","4000","3298","0","10","0.0","0.0","1.1032926422071232","0.03194245552780064","6"
"-50","399","1.066","4000.0","true","0.6","-43","7.5","4000","3294","0","4","0.0","0.0","1.1068211189329233","0.031896152436536505","7"
"-50","399","1.066","4000.0","true","0.6","-42","7.5","4000","3289","0","5","0.0","0.0","1.1082509578035966","0.0318577939908421","7"
"-50","399","1.066","4000.0","true","0.6","-41","7.5","4000","3287","0","2","0.0","0.0","1.1100414307294642","0.03181456970867681","8"
"-50","399","1.066","4000.0","true","0.6","-40","7.5","4000","3280","0","7","0.0","0.0","1.110779124259119","0.03174321561476266","10"
"-50","399","1.066","4000.0","true","0.6","-39","7.5","4000","3275","0","5","0.0","0.0","1.1132844974877485","0.03170652041939496","10"
"-50","399","1.066","4000.0","true","0.6","-38","7.5","4000","3268","0","7","0.0","0.0","1.1150881300737827","0.031661564867956495","12"
"-50","399","1.066","4000.0","true","0.6","-37","7.5","4000","3267","0","1","0.0","0.0","1.1176321321817524","0.031576911636492025","12"
"-50","399","1.066","4000.0","true","0.6","-36","7.5","4000","3266","0","1","0.0","0.0","1.1179996293160086","0.03155802430721583","14"
"-50","399","1.066","4000.0","true","0.6","-35","7.5","4000","3265","0","1","0.0","0.0","1.118361668236595","0.031552384354479206","14"
"-50","399","1.066","4000.0","true","0.6","-34","7.5","4000","4237","973","1","0.03","0.0","1.118732016390554","0.03152682450549218","12"
"-50","399","1.066","4000.0","true","0.6","-33","7.5","4000","4166","784","855","0.01","0.0","0.86216201139896","0.024237689190319114","10"
"-50","399","1.066","4000.0","true","0.6","-32","7.5","4000","4084","646","728","0.01","0.0","0.8775944133048098","0.0247860955684322","9"
"-50","399","1.066","4000.0","true","0.6","-31","7.5","4000","4039","565","610","0.0","0.0","0.8956669729427505","0.02505173141517707","9"
"-50","399","1.066","4000.0","true","0.6","-30","7.5","4000","3850","451","640","0.0","0.0","0.9061097718184145","0.025506339227182075","9"
"-50","399","1.066","4000.0","true","0.6","-29","7.5","4000","3886","428","392","0.0","0.0","0.951553292983164","0.026907699154559223","9"
"-50","399","1.066","4000.0","true","0.6","-28","7.5","4000","3846","381","421","0.0","0.0","0.9434606454497154","0.026856776662346225","9"
"-50","399","1.066","4000.0","true","0.6","-27","7.5","4000","3766","333","413","0.0","0.0","0.9538355397078674","0.02708848475522433","9"
"-50","399","1.066","4000.0","true","0.6","-26","7.5","4000","3770","310","306","0.0","0.0","0.974739320727507","0.027648726367767367","9"
"-50","399","1.066","4000.0","true","0.6","-25","7.5","4000","3703","272","339","0.0","0.0","0.9746758454462624","0.027670623693363604","9"
"-50","399","1.066","4000.0","true","0.6","-24","7.5","4000","3745","270","228","0.0","0.0","0.9930555926332414","0.02819223851483933","9"
"-50","399","1.066","4000.0","true","0.6","-23","7.5","4000","3679","244","310","0.0","0.0","0.9825100085940571","0.02801915210742984","10"
"-50","399","1.066","4000.0","true","0.6","-22","7.5","4000","3668","220","231","0.0","0.0","1.0009751812579606","0.02865525418760439","10"
"-50","399","1.066","4000.0","true","0.6","-21","7.5","4000","3685","228","211","0.0","0.0","1.0049089367269257","0.028790709261420085","10"
"-50","399","1.066","4000.0","true","0.6","-20","7.5","4000","3663","206","228","0.0","0.0","1.0007281651228597","0.028731835892631185","11"
"-50","399","1.066","4000.0","true","0.6","-19","7.5","4000","3638","184","209","0.0","0.0","1.0075850894245444","0.02879695932646703","11"
"-50","399","1.066","4000.0","true","0.6","-18","7.5","4000","3698","244","184","0.0","0.0","1.0154391043515143","0.029052219985516076","11"
"-50","399","1.066","4000.0","true","0.6","-17","7.5","4000","3793","286","191","0.0","0.0","0.9999764989635018","0.02829301213750533","11"
"-50","399","1.066","4000.0","true","0.6","-16","7.5","4000","3792","299","300","0.0","0.0","0.9754610355360072","0.027628260413735405","11"
"-50","399","1.066","4000.0","true","0.6","-15","7.5","4000","3764","318","346","0.0","0.0","0.9766009802294049","0.027738163012127396","11"
"-50","399","1.066","4000.0","true","0.6","-14","7.5","4000","3674","187","277","0.0","0.0","0.984590017243174","0.027851165707626364","12"
"-50","399","1.066","4000.0","true","0.6","-13","7.5","4000","3712","217","179","0.0","0.0","1.0092428090799528","0.028547999877365924","12"
"-50","399","1.066","4000.0","true","0.6","-12","7.5","4000","3714","220","218","0.0","0.0","0.9995567397747949","0.02843842859316382","12"
"-50","399","1.066","4000.0","true","0.6","-11","7.5","4000","3730","272","256","0.0","0.0","1.0000911028657333","0.02840073248168217","12"
"-50","399","1.066","4000.0","true","0.6","-10","7.5","4000","3812","308","226","0.0","0.0","0.996700454042516","0.02832347857154395","12"
"-50","399","1.066","4000.0","true","0.6","-9","7.5","4000","3787","286","311","0.0","0.0","0.9757484572971192","0.02776581645883833","12"
"-50","399","1.066","4000.0","true","0.6","-8","7.5","4000","3802","287","272","0.0","0.0","0.9824982690285478","0.02820177395836978","12"
"-50","399","1.066","4000.0","true","0.6","-7","7.5","4000","3783","288","307","0.0","0.0","0.978963027520916","0.028324437272398147","12"
"-50","399","1.066","4000.0","true","0.6","-6","7.5","4000","3763","286","306","0.0","0.0","0.9844610081169718","0.02872391554816398","12"
"-50","399","1.066","4000.0","true","0.6","-5","7.5","4000","3752","279","290","0.0","0.0","0.990261644227109","0.029077069905701317","12"
"-50","399","1.066","4000.0","true","0.6","-4","7.5","4000","3793","300","259","0.0","0.0","0.9936366602299755","0.029267042054580132","12"
"-50","399","1.066","4000.0","true","0.6","-3","7.5","4000","3841","311","263","0.0","0.0","0.9836644727336826","0.028798762938596567","12"
"-50","399","1.066","4000.0","true","0.6","-2","7.5","4000","3795","290","336","0.0","0.0","0.9716853394442678","0.028597425850322686","12"
"-50","399","1.066","4000.0","true","0.6","-1","7.5","4000","3767","274","302","0.0","0.0","0.984234758406021","0.028921745844593526","12"
"-50","399","1.066","4000.0","true","0.6","0","7.5","4000","3648","312","431","0.0","0.0","0.99214743119442","0.02923908562278893","10"
"-50","399","1.066","4000.0","true","0.6","1","7.5","4000","3790","305","163","0.0","0.0","1.0256193229676465","0.030150542524917952","10"
"-50","399","1.066","4000.0","true","0.6","2","7.5","4000","3840","317","267","0.0","0.0","0.9880340322135817","0.028842359446752026","10"
"-50","399","1.066","4000.0","true","0.6","3","7.5","4000","3770","280","350","0.0","0.0","0.9757721901106453","0.028524839194301998","11"
"-50","399","1.066","4000.0","true","0.6","4","7.5","4000","3797","269","242","0.0","0.0","0.9946541609449625","0.02941867373840503","11"
"-50","399","1.066","4000.0","true","0.6","5","7.5","4000","3792","270","275","0.0","0.0","0.988377152396661","0.029235597747124347","11"
"-50","399","1.066","4000.0","true","0.6","6","7.5","4000","3751","246","287","0.0","0.0","0.9904770998149047","0.029364919433179523","11"
"-50","399","1.066","4000.0","true","0.6","7","7.5","4000","3819","274","206","0.0","0.0","1.0021347985836604","0.030171633217363998","11"
"-50","399","1.066","4000.0","true","0.6","8","7.5","4000","3790","273","302","0.0","0.0","0.9848933051856856","0.029578640365949777","11"
"-50","399","1.066","4000.0","true","0.6","9","7.5","4000","3795","260","255","0.0","0.0","0.9932054226497602","0.029993987413733644","11"
"-50","399","1.066","4000.0","true","0.6","10","7.5","4000","3790","248","253","0.0","0.0","0.9929404269772899","0.030112645686557696","11"
