"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.50024999","1500","2.275292723525844","3.41350788571672"
"1","43","1.066","2000","0.6","false","1.12543748","2000","3.5144971600871084","3.955346827315592"
"44","200","1.066","4500","0.6","false","1.12543748","4500","1.0562191688225853","1.188708639687385"
"201","410","1.066","3000","0.6","false","1.12543748","3000","0.9690449478638602","1.0905995041306342"
"411","430","1.066","1250","0.6","false","1.12543748","1250","0.9322000673969557","1.04913289470706"
"431","500","1.066","1300","0.6","false","1.12543748","1300","0.9621549423585275","1.0828452336975265"
"501","750","1.066","1300","0.6","false","1.12543748","1300","0.9618008484532903","1.082446723145133"
"751","950","1.066","1400","0.6","false","1.12543748","1400","0.9574158972719649","1.077511734737699"
"951","1066","1.066","1500","0.6","false","1.12543748","1500","0.9546875455669903","1.0744411454702987"
"1067","1086","1.066","2000","0.6","false","1.12543748","2000","0.9900991990895115","1.114294747573318"
"1087","1190","1.066","3700","0.6","false","1.12543748","3700","0.9920289736941814","1.1164665882413658"
"1191","1220","1.066","4800","0.6","false","1.12543748","4800","0.9788934694867397","1.1016833994876132"
"1221","1250","1.066","5000","0.6","false","1.12543748","5000","0.9594381977673917","1.079787707511075"
"1251","1279","1.066","5300","0.6","false","1.12543748","5300","0.9597963632476597","1.0801908003666107"
"1280","1290","1.066","5700","0.6","false","1.12543748","5700","0.9642651164135302","1.0852201026683501"
"1291","1315","1.066","5600","0.6","false","1.12543748","5600","0.9570620493687931","1.0771135010452502"
"1316","1325","1.066","5000","0.6","false","1.12543748","5000","0.9458137693037821","1.0644542650745499"
"1326","1348","1.066","5700","0.6","false","1.12543748","5700","0.9695372783196506","1.0911535912781263"
"1349","1351","1.066","3000","0.6","true","1.12543748","3000","0.7979382236080085","0.8980295835730736"
"1352","1377","1.066","3000","0.6","false","1.12543748","3000","0.9565974079471938","1.0765905761746217"
"1378","1400","1.066","2500","0.6","false","1.12543748","2500","0.9484297426909485","1.0673983795711495"
"1401","1430","1.066","2400","0.6","false","1.12543748","2400","0.9566643504409206","1.0766659157660665"
"1431","1450","1.066","2300","0.6","false","1.12543748","2300","0.9566115965722691","1.0766065445850712"
"1451","1490","1.066","2600","0.6","false","1.12543748","2600","0.962252895917811","1.0829554743044436"
"1491","1522","1.066","2800","0.6","false","1.12543748","2800","0.9616080777171885","1.0822297717336768"
"1523","1541","1.066","3400","0.6","false","1.12543748","3400","0.9784085049839873","1.101137602259746"
"1542","1560","1.066","3800","0.6","false","1.12543748","3800","0.9668042891329804","1.088077782815013"
"1561","1600","1.066","5000","0.6","false","1.12543748","5000","0.9766997076439321","1.0992144576875236"
"1601","1650","1.066","6300","0.6","false","1.12543748","6300","0.9695944591295803","1.0912179447047579"
"1651","1700","1.066","6200","0.6","false","1.12543748","6200","0.9568026145625887","1.0768215233907312"
"1701","1801","1.066","11300","0.6","false","1.12543748","11300","0.9931543041595449","1.1177330773244716"
"1802","1811","1.066","12500","0.6","false","1.12543748","12500","0.9711806569602143","1.093003111194048"
"1812","1821","1.066","13400","0.6","false","1.12543748","13400","0.9644890752643143","1.0854721543530002"
"1822","1831","1.066","15800","0.6","false","1.12543748","15800","0.9880929471405452","1.1120368364356283"
"1832","1841","1.066","20200","0.6","false","1.12543748","20200","1.0187080643995747","1.146492236853535"
"1842","1851","1.066","27400","0.6","false","1.12543748","27400","1.0473589528125513","1.1787370205087966"
"1852","1861","1.066","29000","0.6","false","1.12543748","29000","0.9679250675952649","1.0893391489032445"
"1862","1871","1.066","31500","0.6","false","1.12543748","31500","0.971118561231437","1.092933226333534"
"1872","1881","1.066","35000","0.6","false","1.12543748","35000","0.9762700253520993","1.0987308771318027"
"1882","1891","1.066","37800","0.6","false","1.12543748","37800","0.9702466578220589","1.0919519535576803"
"1892","1901","1.066","38200","0.6","false","1.12543748","38200","0.9622925861389231","1.0830001431668725"
"1902","1911","1.003","42100","0.13","false","1.12543748","42100","0.9986891538189223","1.1239622045773003"
"1912","1921","1.003","44000","0.13","false","1.12543748","44000","0.9575058237598318","1.0776129413775892"
"1922","1931","1.003","45000","0.13","false","1.12543748","45000","0.959138050454424","1.0794499104755397"
"1932","1941","1.003","50200","0.13","false","1.12543748","50200","1.0322092367736384","1.161686962267247"
"1942","1951","1.003","52800","0.13","false","1.12543748","52800","1.0458661092674728","1.1770569184313893"
"1952","1961","1.003","55900","0.13","false","1.12543748","55900","1.041725890649055","1.172397361222828"
"1962","1971","1.003","56300","0.13","false","1.12543748","56300","0.9973278782792313","1.1224301740643248"
"1972","1981","1.003","57400","0.13","false","1.12543748","57400","1.0107063546398636","1.1374868127858744"
"1982","1991","1.003","59300","0.13","false","1.12543748","59300","1.0129936625329046","1.1400610348170026"
"1992","2001","1.003","63200","0.13","false","1.12543748","63200","1.0374233684925893","1.1675551415294112"
"2002","2011","1.003","65600","0.13","false","1.12543748","65600","1.0281050516118522","1.1570679584613128"
"2012","2015","1.003","66270","0.13","false","1.12543748","66270","1.0172989815278533","1.1449064021772737"
