"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","15","0.6","false","1.25","15","1.5231034488387434","1.9038793110484291"
"1","43","1.066","20","0.6","false","1.25","20","1.1154409319214442","1.3943011649018053"
"44","200","1.066","45","0.6","false","1.25","45","1.1223103753389856","1.402887969173732"
"201","410","1.066","30","0.6","false","1.25","30","1.092913642566658","1.3661420532083224"
"411","430","1.066","12","0.6","false","1.25","12","1.1258181818181814","1.4072727272727268"
"431","500","1.066","13","0.6","false","1.25","13","1.1524252731395581","1.4405315914244476"
"501","750","1.066","13","0.6","false","1.484375","13","3.5907825445423946","5.330067839555117"
"751","950","1.066","14","0.6","false","1.484375","14","0.9481307517302098","1.4073815845995301"
"951","1066","1.066","15","0.6","false","1.484375","15","0.95378851436187","1.4157798260059007"
"1067","1086","1.066","20","0.6","false","1.484375","20","0.9652128558239742","1.4327378328637117"
"1087","1190","1.066","37","0.6","false","1.484375","37","0.9562104037289334","1.4193748180351355"
"1191","1220","1.066","48","0.6","false","1.484375","48","0.9323004022259708","1.3838834095541754"
"1221","1250","1.066","50","0.6","false","1.484375","50","0.9169599657094437","1.3611124490999555"
"1251","1279","1.066","53","0.6","false","1.484375","53","0.9100452854552635","1.350848470597657"
"1280","1290","1.066","57","0.6","false","1.484375","57","0.9068372817044202","1.3460865900299988"
"1291","1315","1.066","56","0.6","false","1.484375","56","0.918028987712953","1.3626992786364147"
"1316","1325","1.066","50","0.6","false","1.484375","50","0.9247508456403336","1.3726770364973702"
"1326","1348","1.066","57","0.6","false","1.484375","57","0.9354905366843458","1.3886187653908257"
"1349","1351","1.066","30","0.6","true","1.484375","30","0.7173382173382173","1.0647989163614164"
"1352","1377","1.066","30","0.6","false","1.484375","30","0.9206453137311772","1.3665828875697161"
"1378","1400","1.066","25","0.6","false","1.484375","25","0.9163972930839499","1.3602772319214882"
"1401","1430","1.066","24","0.6","false","1.484375","24","0.9321781480222262","1.383701938470492"
"1431","1450","1.066","23","0.6","false","1.484375","23","0.9019561827061826","1.3388412087044899"
"1451","1490","1.066","26","0.6","false","1.484375","26","0.9198942525316885","1.365468031101725"
"1491","1522","1.066","28","0.6","false","1.484375","28","0.9376318493529813","1.3917972763833315"
"1523","1541","1.066","34","0.6","false","1.484375","34","0.940523519469989","1.396089599213265"
"1542","1560","1.066","38","0.6","false","1.484375","38","0.9199139279086739","1.3654972367394378"
"1561","1600","1.066","50","0.6","false","1.484375","50","0.9211128105722171","1.3672768281931347"
"1601","1650","1.066","63","0.6","false","1.484375","63","0.9145571912829754","1.3575458308106667"
"1651","1700","1.066","62","0.6","false","1.484375","62","0.9089620100971529","1.3492404837379615"
"1701","1801","1.066","113","0.6","false","1.484375","113","0.9561786724004876","1.4193277168444738"
"1802","1811","1.066","125","0.6","false","1.484375","125","0.9174486327382599","1.3618378142208547"
"1812","1821","1.066","134","0.6","false","1.484375","134","0.9193150605687441","1.3646082930317296"
"1822","1831","1.066","158","0.6","false","1.484375","158","0.9508454190245705","1.411411168864597"
"1832","1841","1.066","202","0.6","false","1.484375","202","0.9645041199722126","1.4316858030837532"
"1842","1851","1.066","274","0.6","false","1.484375","274","0.9785019812284034","1.4524638783859112"
"1852","1861","1.066","290","0.6","false","1.484375","290","0.9046165733715453","1.3427902260983875"
"1862","1871","1.066","315","0.6","false","1.484375","315","0.9115607207832964","1.3530979449127056"
"1872","1881","1.066","350","0.6","false","1.484375","350","0.919573201926139","1.3649914716091125"
"1882","1891","1.066","378","0.6","false","1.484375","378","0.9203712841796692","1.3661761249541964"
"1892","1901","1.066","382","0.6","false","1.484375","382","0.9139773291856665","1.3566850980099738"
"1902","1911","1.003","421","0.13","false","1.484375","421","0.9211031387165018","1.3672624715323074"
"1912","1921","1.003","440","0.13","false","1.484375","440","0.9010606223116353","1.3375118612438337"
"1922","1931","1.003","450","0.13","false","1.484375","450","0.8961749883913793","1.3302597483934537"
"1932","1941","1.003","502","0.13","false","1.484375","502","0.963275698089884","1.4298623643521715"
"1942","1951","1.003","528","0.13","false","1.484375","528","0.9499565936666728","1.4100918187239675"
"1952","1961","1.003","559","0.13","false","1.484375","559","0.9218681669549305","1.368398060323725"
"1962","1971","1.003","563","0.13","false","1.484375","563","0.9053174936072514","1.343830654573264"
"1972","1981","1.003","574","0.13","false","1.484375","574","0.9104690740344955","1.3514775317699543"
"1982","1991","1.003","593","0.13","false","1.484375","593","0.9070523739798804","1.3464058676263848"
"1992","2001","1.003","632","0.13","false","1.484375","632","0.9130343174653415","1.3552853149876163"
"2002","2011","1.003","656","0.13","false","1.484375","656","0.9194027740137211","1.3647384926766173"
"2012","2015","1.003","662","0.13","false","1.484375","662","0.9093775824512563","1.3498573489510837"
