"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","15","0.6","false","15.0","15","2.4971171354799098","37.456757032198645"
"1","43","1.066","20","0.6","false","15.0","20","1.0011485097191017","15.017227645786527"
"44","200","1.066","45","0.6","false","15.0","45","1.0178686924980438","15.268030387470656"
"201","410","1.066","30","0.6","false","15.0","30","0.9649275200593308","14.473912800889963"
"411","430","1.066","12","0.6","false","15.0","12","1.0398222610722612","15.597333916083917"
"431","500","1.066","13","0.6","false","15.0","13","0.9950266924951803","14.925400387427704"
"501","750","1.066","13","0.6","false","15.0","13","1.02101243103302","15.3151864654953"
"751","950","1.066","14","0.6","false","15.0","14","1.0080852872617572","15.121279308926358"
"951","1066","1.066","15","0.6","false","15.0","15","1.0106284035703803","15.159426053555705"
"1067","1086","1.066","20","0.6","false","15.0","20","1.0384678758820636","15.577018138230954"
"1087","1190","1.066","37","0.6","false","15.0","37","1.017181280101971","15.257719201529566"
"1191","1220","1.066","48","0.6","false","15.0","48","0.9757921153151312","14.636881729726968"
"1221","1250","1.066","50","0.6","false","15.0","50","0.9435366240792878","14.153049361189318"
"1251","1279","1.066","53","0.6","false","15.0","53","0.9477769196600331","14.216653794900497"
"1280","1290","1.066","57","0.6","false","15.0","57","0.988667419864417","14.830011297966255"
"1291","1315","1.066","56","0.6","false","15.0","56","0.9587463323567681","14.381194985351522"
"1316","1325","1.066","50","0.6","false","15.0","50","0.9359464285340294","14.039196428010442"
"1326","1348","1.066","57","0.6","false","15.0","57","0.9830132972891303","14.745199459336956"
"1349","1351","1.066","30","0.6","true","15.0","30","0.8368910782703886","12.553366174055828"
"1352","1377","1.066","30","0.6","false","15.0","30","0.9628513825701879","14.442770738552818"
"1378","1400","1.066","25","0.6","false","15.0","25","0.9642176965546531","14.463265448319795"
"1401","1430","1.066","24","0.6","false","15.0","24","0.9807619816407004","14.711429724610506"
"1431","1450","1.066","23","0.6","false","15.0","23","0.9621362803862803","14.432044205794204"
"1451","1490","1.066","26","0.6","false","15.0","26","0.9656611055711263","14.484916583566894"
"1491","1522","1.066","28","0.6","false","15.0","28","0.9698465694907922","14.547698542361882"
"1523","1541","1.066","34","0.6","false","15.0","34","1.0044122707692738","15.066184061539106"
"1542","1560","1.066","38","0.6","false","15.0","38","1.0021214047529838","15.031821071294758"
"1561","1600","1.066","50","0.6","false","15.0","50","0.9884949581480477","14.827424372220715"
"1601","1650","1.066","63","0.6","false","15.0","63","0.9636220996993895","14.454331495490843"
"1651","1700","1.066","62","0.6","false","15.0","62","0.9580844382712627","14.37126657406894"
"1701","1801","1.066","113","0.6","false","15.0","113","0.9876026502129422","14.814039753194134"
"1802","1811","1.066","125","0.6","false","15.0","125","0.9595489477607779","14.393234216411669"
"1812","1821","1.066","134","0.6","false","15.0","134","0.9677064909774348","14.515597364661522"
"1822","1831","1.066","158","0.6","false","15.0","158","0.9812272144665963","14.718408216998945"
"1832","1841","1.066","202","0.6","false","15.0","202","1.0073857470582284","15.110786205873426"
"1842","1851","1.066","274","0.6","false","15.0","274","1.041102139613988","15.616532094209818"
"1852","1861","1.066","290","0.6","false","15.0","290","0.9644776431074169","14.467164646611254"
"1862","1871","1.066","315","0.6","false","15.0","315","0.9624529569039568","14.436794353559353"
"1872","1881","1.066","350","0.6","false","15.0","350","0.9623229693383966","14.434844540075948"
"1882","1891","1.066","378","0.6","false","15.0","378","0.9524233435132183","14.286350152698276"
"1892","1901","1.066","382","0.6","false","15.0","382","0.9543239731299581","14.314859596949372"
"1902","1911","1.003","421","0.13","false","15.0","421","0.9887408347533292","14.831112521299938"
"1912","1921","1.003","440","0.13","false","15.0","440","0.9416041125494038","14.124061688241056"
"1922","1931","1.003","450","0.13","false","15.0","450","0.9399656813705175","14.099485220557762"
"1932","1941","1.003","502","0.13","false","15.0","502","0.9977217668473607","14.96582650271041"
"1942","1951","1.003","528","0.13","false","15.0","528","0.9979527514654765","14.969291271982147"
"1952","1961","1.003","559","0.13","false","15.0","559","0.9694737495303676","14.542106242955514"
"1962","1971","1.003","563","0.13","false","15.0","563","0.9528559460423306","14.29283919063496"
"1972","1981","1.003","574","0.13","false","15.0","574","0.9554430967226617","14.331646450839926"
"1982","1991","1.003","593","0.13","false","15.0","593","0.962525776569878","14.43788664854817"
"1992","2001","1.003","632","0.13","false","15.0","632","0.9613730688540301","14.420596032810451"
"2002","2011","1.003","656","0.13","false","15.0","656","0.9609639086675983","14.414458630013975"
"2012","2015","1.003","662","0.13","false","15.0","662","0.962229630817105","14.433444462256574"
