"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","2.5","1500","1.33429575072805","3.3357393768201247"
"1","43","1.066","2000","0.6","false","1.875","2000","3.777154780619806","7.082165213662137"
"44","200","1.066","4500","0.6","false","1.171875","4500","4.7940657304868735","5.618045777914305"
"201","410","1.066","3000","0.6","false","1.171875","3000","0.9817634821776604","1.1505040806769458"
"411","430","1.066","1250","0.6","false","1.171875","1250","0.9218917593475362","1.080341905485394"
"431","500","1.066","1300","0.6","false","1.171875","1300","0.9419550010911502","1.1038535169036916"
"501","750","1.066","1300","0.6","false","1.171875","1300","0.9220319405922519","1.0805061803815452"
"751","950","1.066","1400","0.6","false","1.171875","1400","0.9070064776464261","1.0628982159919056"
"951","1066","1.066","1500","0.6","false","1.171875","1500","0.901610834647736","1.0565751968528156"
"1067","1086","1.066","2000","0.6","false","1.171875","2000","0.9332126139818859","1.0936085320100226"
"1087","1190","1.066","3700","0.6","false","1.171875","3700","0.9286719147525543","1.0882874001006495"
"1191","1220","1.066","4800","0.6","false","1.171875","4800","0.9180845917099972","1.075880380910153"
"1221","1250","1.066","5000","0.6","false","1.171875","5000","0.8980539735514811","1.0524070002556418"
"1251","1279","1.066","5300","0.6","false","1.171875","5300","0.8999839590251926","1.0546687019826475"
"1280","1290","1.066","5700","0.6","false","1.171875","5700","0.9058745736019478","1.0615717659397825"
"1291","1315","1.066","5600","0.6","false","1.171875","5600","0.894621876757079","1.048385011824702"
"1316","1325","1.066","5000","0.6","false","1.171875","5000","0.8878155558514121","1.0404088545133736"
"1326","1348","1.066","5700","0.6","false","1.171875","5700","0.903926068664138","1.0592883617157869"
"1349","1351","1.066","3000","0.6","true","1.171875","3000","0.7455357177120278","0.8736746691937826"
"1352","1377","1.066","3000","0.6","false","1.171875","3000","0.8961410127896338","1.0501652493628522"
"1378","1400","1.066","2500","0.6","false","1.171875","2500","0.8893903821893318","1.042254354128123"
"1401","1430","1.066","2400","0.6","false","1.171875","2400","0.8941402984740072","1.0478206622742272"
"1431","1450","1.066","2300","0.6","false","1.171875","2300","0.8926214972061877","1.0460408170385012"
"1451","1490","1.066","2600","0.6","false","1.171875","2600","0.901438949770568","1.0563737692623845"
"1491","1522","1.066","2800","0.6","false","1.171875","2800","0.8987843938945541","1.0532629615951805"
"1523","1541","1.066","3400","0.6","false","1.171875","3400","0.9144725293584964","1.071647495341988"
"1542","1560","1.066","3800","0.6","false","1.171875","3800","0.9036290184170798","1.0589402559575154"
"1561","1600","1.066","5000","0.6","false","1.171875","5000","0.911260702611048","1.0678836358723218"
"1601","1650","1.066","6300","0.6","false","1.171875","6300","0.9042006201534497","1.0596101017423238"
"1651","1700","1.066","6200","0.6","false","1.171875","6200","0.8941490102014333","1.0478308713298048"
"1701","1801","1.066","11300","0.6","false","1.171875","11300","0.9240553889323887","1.082877408905143"
"1802","1811","1.066","12500","0.6","false","1.171875","12500","0.9057764136624156","1.0614567347606432"
"1812","1821","1.066","13400","0.6","false","1.171875","13400","0.8999390406096758","1.0546160632144639"
"1822","1831","1.066","15800","0.6","false","1.171875","15800","0.9197762048008704","1.0778627400010201"
"1832","1841","1.066","20200","0.6","false","1.171875","20200","0.9470603603242618","1.1098363597549943"
"1842","1851","1.066","27400","0.6","false","1.171875","27400","0.9728563931497437","1.140066085722356"
"1852","1861","1.066","29000","0.6","false","1.171875","29000","0.8982923874560658","1.052686391550077"
"1862","1871","1.066","31500","0.6","false","1.171875","31500","0.9028905145040371","1.0580748216844185"
"1872","1881","1.066","35000","0.6","false","1.171875","35000","0.9074612298131907","1.0634311286873328"
"1882","1891","1.066","37800","0.6","false","1.171875","37800","0.9013655193517345","1.0562877179903138"
"1892","1901","1.066","38200","0.6","false","1.171875","38200","0.895513485548976","1.0494298658777064"
"1902","1911","1.003","42100","0.13","false","1.171875","42100","0.9260217957312108","1.0851817918725126"
"1912","1921","1.003","44000","0.13","false","1.171875","44000","0.8858037462455484","1.038051265131502"
"1922","1931","1.003","45000","0.13","false","1.171875","45000","0.8869199404848167","1.0393593052556447"
"1932","1941","1.003","50200","0.13","false","1.171875","50200","0.9438075971901234","1.1060245279571759"
"1942","1951","1.003","52800","0.13","false","1.171875","52800","0.9401543943801682","1.1017434309142597"
"1952","1961","1.003","55900","0.13","false","1.171875","55900","0.9311478251200006","1.0911888575625006"
"1962","1971","1.003","56300","0.13","false","1.171875","56300","0.9013033946324246","1.0562149155848726"
"1972","1981","1.003","57400","0.13","false","1.171875","57400","0.9060020623824375","1.0617211668544189"
"1982","1991","1.003","59300","0.13","false","1.171875","59300","0.9055348474672569","1.0611736493756916"
"1992","2001","1.003","63200","0.13","false","1.171875","63200","0.9274515406604262","1.086857274211437"
"2002","2011","1.003","65600","0.13","false","1.171875","65600","0.914121055666581","1.0712356121092745"
"2012","2015","1.003","66270","0.13","false","1.171875","66270","0.9019076026165422","1.0569229718162605"
