"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","2.5005","1500","1.3288893882471189","3.322887915311921"
"1","43","1.066","2000","0.6","false","1.875625","2000","3.8491233484514984","7.219511980439342"
"44","200","1.066","4500","0.6","false","1.40696875","4500","3.8765253776946302","5.454150064998292"
"201","410","1.066","3000","0.6","false","1.40696875","3000","0.9221308784089352","1.2974093293314215"
"411","430","1.066","1250","0.6","false","1.40696875","1250","0.8523491027815387","1.1992285517041632"
"431","500","1.066","1300","0.6","false","1.05547656","1300","3.7592799796790475","3.967831901028511"
"501","750","1.066","1300","0.6","false","1.05547656","1300","1.1439964961922142","1.2074614864530113"
"751","950","1.066","1400","0.6","false","1.05547656","1400","1.1419359770366393","1.205286656782871"
"951","1066","1.066","1500","0.6","false","1.05547656","1500","1.1357782134511532","1.198787281656369"
"1067","1086","1.066","2000","0.6","false","1.05547656","2000","1.193596413060052","1.2598130360849629"
"1087","1190","1.066","3700","0.6","false","1.05547656","3700","1.186143589296693","1.2519467552969263"
"1191","1220","1.066","4800","0.6","false","1.05547656","4800","1.1652702307114393","1.2299154145817164"
"1221","1250","1.066","5000","0.6","false","1.05547656","5000","1.137439358006416","1.2005405807972203"
"1251","1279","1.066","5300","0.6","false","1.05547656","5300","1.136974969129762","1.2000504292231873"
"1280","1290","1.066","5700","0.6","false","1.05547656","5700","1.142622546196124","1.206011314437526"
"1291","1315","1.066","5600","0.6","false","1.05547656","5600","1.1295901856215569","1.1922559633296024"
"1316","1325","1.066","5000","0.6","false","1.05547656","5000","1.1219732711108215","1.1842164886039972"
"1326","1348","1.066","5700","0.6","false","1.05547656","5700","1.1477766710435957","1.211451372401346"
"1349","1351","1.066","3000","0.6","true","1.05547656","3000","0.9646290453576384","1.0181433464701641"
"1352","1377","1.066","3000","0.6","false","1.05547656","3000","1.1352887456387355","1.1982706598534876"
"1378","1400","1.066","2500","0.6","false","1.05547656","2500","1.1212293778321827","1.1834313266852525"
"1401","1430","1.066","2400","0.6","false","1.05547656","2400","1.1297728465219465","1.1924487576283922"
"1431","1450","1.066","2300","0.6","false","1.05547656","2300","1.125002587104888","1.1874138606285676"
"1451","1490","1.066","2600","0.6","false","1.05547656","2600","1.1378811924132262","1.20100692665701"
"1491","1522","1.066","2800","0.6","false","1.05547656","2800","1.130569132625036","1.1932892189452569"
"1523","1541","1.066","3400","0.6","false","1.05547656","3400","1.15914013401879","1.2234452412120913"
"1542","1560","1.066","3800","0.6","false","1.05547656","3800","1.1449238055236146","1.2084402397161738"
"1561","1600","1.066","5000","0.6","false","1.05547656","5000","1.1602147811271697","1.224579506045258"
"1601","1650","1.066","6300","0.6","false","1.05547656","6300","1.1524423394538255","1.216375876045076"
"1651","1700","1.066","6200","0.6","false","1.05547656","6200","1.1332835995011072","1.1961542751058465"
"1701","1801","1.066","11300","0.6","false","1.05547656","11300","1.1798768980730139","1.2453324096015754"
"1802","1811","1.066","12500","0.6","false","1.05547656","12500","1.1539225109030777","1.2179381623145429"
"1812","1821","1.066","13400","0.6","false","1.05547656","13400","1.14555980730467","1.209111524688196"
"1822","1831","1.066","15800","0.6","false","1.05547656","15800","1.178384284363783","1.2437569908183475"
"1832","1841","1.066","20200","0.6","false","1.05547656","20200","1.2208380111501809","1.2885659043260345"
"1842","1851","1.066","27400","0.6","false","1.05547656","27400","1.2650677444171918","1.3352493510444168"
"1852","1861","1.066","29000","0.6","false","1.05547656","29000","1.164788773984511","1.2294072482917893"
"1862","1871","1.066","31500","0.6","false","1.05547656","31500","1.1668185904446684","1.2315496719865875"
"1872","1881","1.066","35000","0.6","false","1.05547656","35000","1.1718464163023752","1.236856424327159"
"1882","1891","1.066","37800","0.6","false","1.05547656","37800","1.1626934507584394","1.2271956837410471"
"1892","1901","1.066","38200","0.6","false","1.05547656","38200","1.1485402765039754","1.2122573400658647"
"1902","1911","1.003","42100","0.13","false","3.02773828","42100","2.421215008568974","7.33080536555481"
"1912","1921","1.003","44000","0.13","false","3.02773828","44000","1.0241036604528904","3.100717855441338"
"1922","1931","1.003","45000","0.13","false","1.5143691400000001","45000","1.7036195289376308","2.5799088409244852"
"1932","1941","1.003","50200","0.13","false","1.5143691400000001","50200","0.9409186209309738","1.4248981227892248"
"1942","1951","1.003","52800","0.13","false","1.5143691400000001","52800","0.9872902222618952","1.4951218448171553"
"1952","1961","1.003","55900","0.13","false","1.5143691400000001","55900","1.0313562756631818","1.5618541162096555"
"1962","1971","1.003","56300","0.13","false","1.5143691400000001","56300","0.9808097865065839","1.4853080728955592"
"1972","1981","1.003","57400","0.13","false","1.5143691400000001","57400","1.0011740481492648","1.516147082286121"
"1982","1991","1.003","59300","0.13","false","1.5143691400000001","59300","1.0228016584680226","1.5488992679247933"
"1992","2001","1.003","63200","0.13","false","1.5143691400000001","63200","1.061469340133931","1.6074564117549888"
"2002","2011","1.003","65600","0.13","false","1.5143691400000001","65600","1.0776730059587365","1.6319947432349469"
"2012","2015","1.003","66270","0.13","false","1.5143691400000001","66270","1.0699351548405587","1.6202767802916638"
