"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","5.00037499","1500","4.979465810276175","24.89919630126507"
"1","43","1.066","2000","0.6","false","3.12560936","2000","4.499304492586547","14.063068235518562"
"44","200","1.066","4500","0.6","false","1.5633046800000001","4500","2.179921209840474","3.4078810293748756"
"201","410","1.066","3000","0.6","false","1.5633046800000001","3000","0.9753386869463829","1.5247515338883355"
"411","430","1.066","1250","0.6","false","1.5633046800000001","1250","0.8819960942278675","1.3788286218481465"
"431","500","1.066","1300","0.6","false","1.5633046800000001","1300","0.8922491326333277","1.394857244771622"
"501","750","1.066","1300","0.6","false","1.17272851","1300","3.7685460431329796","4.419481386029735"
"751","950","1.066","1400","0.6","false","1.17272851","1400","1.1440099086814053","1.3416130356331806"
"951","1066","1.066","1500","0.6","false","1.17272851","1500","1.1368988382229888","1.3332736805699767"
"1067","1086","1.066","2000","0.6","false","1.17272851","2000","1.2018212374000175","1.4094100290224787"
"1087","1190","1.066","3700","0.6","false","1.17272851","3700","1.1963563693700516","1.4030012224803503"
"1191","1220","1.066","4800","0.6","false","1.17272851","4800","1.182693226511709","1.386978065314169"
"1221","1250","1.066","5000","0.6","false","1.17272851","5000","1.1469478292249846","1.3450584188147507"
"1251","1279","1.066","5300","0.6","false","1.17272851","5300","1.148757363215989","1.3471805109158157"
"1280","1290","1.066","5700","0.6","false","1.17272851","5700","1.1521848645184631","1.351200039411289"
"1291","1315","1.066","5600","0.6","false","1.17272851","5600","1.1385401157732664","1.3351984535460102"
"1316","1325","1.066","5000","0.6","false","1.17272851","5000","1.1221120135633806","1.3159327497192832"
"1326","1348","1.066","5700","0.6","false","1.17272851","5700","1.1547426327000634","1.3541996070798226"
"1349","1351","1.066","3000","0.6","true","1.17272851","3000","0.9572748281206757","1.1226234828424662"
"1352","1377","1.066","3000","0.6","false","1.17272851","3000","1.1386736669372044","1.335355072803504"
"1378","1400","1.066","2500","0.6","false","1.17272851","2500","1.1287496249441589","1.3237168658238223"
"1401","1430","1.066","2400","0.6","false","1.17272851","2400","1.1342199115636211","1.3301320269003372"
"1431","1450","1.066","2300","0.6","false","1.17272851","2300","1.1300193703959738","1.3252059325156085"
"1451","1490","1.066","2600","0.6","false","1.17272851","2600","1.1447607347382953","1.3424935507561464"
"1491","1522","1.066","2800","0.6","false","1.17272851","2800","1.1415189160613592","1.338691777569453"
"1523","1541","1.066","3400","0.6","false","1.17272851","3400","1.1845576218907599","1.3891644949290942"
"1542","1560","1.066","3800","0.6","false","1.17272851","3800","1.1604781075266548","1.3609257619273536"
"1561","1600","1.066","5000","0.6","false","1.17272851","5000","1.1717559058526894","1.3741515575543248"
"1601","1650","1.066","6300","0.6","false","1.17272851","6300","1.1668389490075457","1.368385302079585"
"1651","1700","1.066","6200","0.6","false","1.17272851","6200","1.1441534399974607","1.3417813588995964"
"1701","1801","1.066","11300","0.6","false","1.17272851","11300","1.1954593753524156","1.4019492920225691"
"1802","1811","1.066","12500","0.6","false","1.17272851","12500","1.170662761847925","1.372869596414402"
"1812","1821","1.066","13400","0.6","false","1.17272851","13400","1.161010417056658","1.361550016489333"
"1822","1831","1.066","15800","0.6","false","1.17272851","15800","1.1976597676731147","1.404529754830238"
"1832","1841","1.066","20200","0.6","false","1.17272851","20200","1.2434948987542322","1.4582819198086516"
"1842","1851","1.066","27400","0.6","false","1.17272851","27400","1.2900993960031084","1.5129363424266253"
"1852","1861","1.066","29000","0.6","false","1.17272851","29000","1.1799262686892134","1.3837331749897608"
"1862","1871","1.066","31500","0.6","false","1.17272851","31500","1.182812430898689","1.3871178596972975"
"1872","1881","1.066","35000","0.6","false","1.17272851","35000","1.1897654283044805","1.3952718379850253"
"1882","1891","1.066","37800","0.6","false","1.17272851","37800","1.1804337645554575","1.3843283298608124"
"1892","1901","1.066","38200","0.6","false","1.17272851","38200","1.162758595587132","1.3636001552925898"
"1902","1911","1.003","42100","0.13","false","4.58636425","42100","2.486467485120946","11.403845582546113"
"1912","1921","1.003","44000","0.13","false","4.58636425","44000","1.0652342107024089","4.885552101842495"
"1922","1931","1.003","45000","0.13","false","1.72051159","45000","3.948905836584487","6.794138259662256"
"1932","1941","1.003","50200","0.13","false","1.72051159","50200","1.010896272570247","1.7392587532449093"
"1942","1951","1.003","52800","0.13","false","1.72051159","52800","1.0743732827437604","1.8484716849469869"
"1952","1961","1.003","55900","0.13","false","1.72051159","55900","1.1499543877080771","1.9785098520231004"
"1962","1971","1.003","56300","0.13","false","1.72051159","56300","1.106718694292564","1.9041223404000234"
"1972","1981","1.003","57400","0.13","false","1.72051159","57400","1.139677660858603","1.960828624371316"
"1982","1991","1.003","59300","0.13","false","1.72051159","59300","1.1694523209721877","2.012056272185049"
"1992","2001","1.003","63200","0.13","false","7.99846692","63200","15.756605453738576","126.02868749321959"
"2002","2011","1.003","65600","0.13","false","7.99846692","65600","1.1859406271258903","9.48570687515049"
"2012","2015","1.003","66270","0.13","false","7.99846692","66270","1.1327934166195055","9.060610670024893"
