"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","6.0","1500","3.582936459856637","21.497618759139822"
"1","43","1.066","2000","0.6","false","6.0","2000","1.0807511041895765","6.48450662513746"
"44","200","1.066","4500","0.6","false","3.75","4500","4.5764741163121165","17.161777936170438"
"201","410","1.066","3000","0.6","false","2.8125","3000","3.5356186239918994","9.943927379977216"
"411","430","1.066","1250","0.6","false","2.8125","1250","0.8977739772282354","2.524989310954412"
"431","500","1.066","1300","0.6","false","2.109375","1300","3.8014979621890057","8.018784763992434"
"501","750","1.066","1300","0.6","false","2.109375","1300","1.026365061102539","2.1649888007631684"
"751","950","1.066","1400","0.6","false","1.582031","1400","3.8261785145880935","6.053133021612316"
"951","1066","1.066","1500","0.6","false","1.582031","1500","1.1084094519819017","1.7535381137283799"
"1067","1086","1.066","2000","0.6","false","1.582031","2000","1.1308239978756656","1.788998620183237"
"1087","1190","1.066","3700","0.6","false","1.582031","3700","1.1072629132301925","1.7517242538804747"
"1191","1220","1.066","4800","0.6","false","1.582031","4800","1.07099762113722","1.6943514375653375"
"1221","1250","1.066","5000","0.6","false","1.582031","5000","1.0407717198486977","1.646533124723955"
"1251","1279","1.066","5300","0.6","false","1.582031","5300","1.034152898945908","1.6360619448722935"
"1280","1290","1.066","5700","0.6","false","1.582031","5700","1.032274321618164","1.6330899773039056"
"1291","1315","1.066","5600","0.6","false","1.582031","5600","1.025108507834465","1.6217534377578666"
"1316","1325","1.066","5000","0.6","false","1.582031","5000","1.00901911275466","1.5962995159703675"
"1326","1348","1.066","5700","0.6","false","1.582031","5700","1.0273114257135827","1.625238522133085"
"1349","1351","1.066","3000","0.6","true","1.582031","3000","0.8516923333144367","1.3474036737657715"
"1352","1377","1.066","3000","0.6","false","1.582031","3000","1.0159902992525796","1.6073281491168576"
"1378","1400","1.066","2500","0.6","false","1.582031","2500","1.0017133873238213","1.5847416318612924"
"1401","1430","1.066","2400","0.6","false","1.582031","2400","1.0035888422614185","1.5877086597116743"
"1431","1450","1.066","2300","0.6","false","1.582031","2300","1.0041018273031124","1.58852021795017"
"1451","1490","1.066","2600","0.6","false","1.582031","2600","1.0035610144354123","1.5876646352282697"
"1491","1522","1.066","2800","0.6","false","1.582031","2800","0.9983446947959824","1.5794122558527828"
"1523","1541","1.066","3400","0.6","false","1.582031","3400","1.0127034516733266","1.6021282543542046"
"1542","1560","1.066","3800","0.6","false","1.582031","3800","0.9982627086693547","1.579282551258888"
"1561","1600","1.066","5000","0.6","false","1.582031","5000","1.0045747920395738","1.589268462825159"
"1601","1650","1.066","6300","0.6","false","1.582031","6300","0.9921031447085324","1.5695379301263843"
"1651","1700","1.066","6200","0.6","false","1.582031","6200","0.9739011353103767","1.5407417869962106"
"1701","1801","1.066","11300","0.6","false","1.582031","11300","1.0000098071812558","1.5820465152647691"
"1802","1811","1.066","12500","0.6","false","1.582031","12500","0.9725167884073853","1.538551707280924"
"1812","1821","1.066","13400","0.6","false","1.582031","13400","0.9659323569512885","1.528134932600004"
"1822","1831","1.066","15800","0.6","false","1.582031","15800","0.9855450848455021","1.5591628761232144"
"1832","1841","1.066","20200","0.6","false","1.582031","20200","1.0127111981811687","1.6021405095697525"
"1842","1851","1.066","27400","0.6","false","1.582031","27400","1.0410834723830755","1.6470263268976693"
"1852","1861","1.066","29000","0.6","false","1.582031","29000","0.9602919685419165","1.5192116632843367"
"1862","1871","1.066","31500","0.6","false","1.582031","31500","0.9635976667899706","1.524441380389404"
"1872","1881","1.066","35000","0.6","false","1.582031","35000","0.9659063040870436","1.5280937161611297"
"1882","1891","1.066","37800","0.6","false","1.582031","37800","0.9606343305792681","1.51975329064065"
"1892","1901","1.066","38200","0.6","false","1.582031","38200","0.9527027978479335","1.5072053599821642"
"1902","1911","1.003","42100","0.13","false","1.582031","42100","0.9833214238932373","1.555644975563242"
"1912","1921","1.003","44000","0.13","false","1.582031","44000","0.9411652224697968","1.4889525580691152"
"1922","1931","1.003","45000","0.13","false","1.582031","45000","0.9429747077587864","1.4918152198903407"
"1932","1941","1.003","50200","0.13","false","1.582031","50200","0.9970895261523873","1.5774265401483873"
"1942","1951","1.003","52800","0.13","false","1.582031","52800","0.9804931971579043","1.5511706331929165"
"1952","1961","1.003","55900","0.13","false","1.582031","55900","0.9714524207029605","1.536867844577125"
"1962","1971","1.003","56300","0.13","false","1.582031","56300","0.953744949270563","1.508854075839458"
"1972","1981","1.003","57400","0.13","false","1.582031","57400","0.9561441843011369","1.512649740034112"
"1982","1991","1.003","59300","0.13","false","1.582031","59300","0.9566092346116429","1.513385464041892"
"1992","2001","1.003","63200","0.13","false","1.582031","63200","0.9744477173533788","1.5416064967322831"
"2002","2011","1.003","65600","0.13","false","1.582031","65600","0.9596411415181135","1.5181820347570427"
"2012","2015","1.003","66270","0.13","false","1.582031","66270","0.9528940586324541","1.50750794047236"
