Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1400000,0.6,false,12.5,1400000,1.2263780337309753,15.32972542163719
1,43,1.066,2000000,0.6,false,9.375,2000000,3.9545215766146016,37.07363978076189
44,200,1.066,4400000,0.6,false,9.375,4400000,1.0464563045083903,9.810527854766159
201,410,1.066,3000000,0.6,false,9.375,3000000,1.0002949051047243,9.37776473535679
411,430,1.066,1200000,0.6,false,9.375,1200000,1.0132142857142858,9.49888392857143
431,500,1.066,1200000,0.6,false,9.375,1200000,1.248503401360544,11.7047193877551
501,750,1.066,1200000,0.6,false,9.375,1200000,1.2021428571428545,11.270089285714262
751,950,1.066,1400000,0.6,false,9.375,1400000,1.264430555555554,11.854036458333319
951,1066,1.066,1400000,0.6,false,9.375,1400000,1.1879789272030659,11.137302442528743
1067,1086,1.066,2000000,0.6,false,9.375,2000000,1.0532467532467533,9.874188311688313
1087,1190,1.066,3600000,0.6,false,9.375,3600000,1.0126719640000497,9.493799662500466
1191,1220,1.066,4800000,0.6,false,9.375,4800000,1.0084806440876644,9.454506038321853
1221,1250,1.066,5000000,0.6,false,9.375,5000000,0.9638377482642847,9.035978889977669
1251,1279,1.066,5200000,0.6,false,9.375,5200000,0.9733068468502474,9.12475168922107
1280,1290,1.066,5600000,0.6,false,9.375,5600000,0.9957071643389774,9.334754665677913
1291,1315,1.066,5600000,0.6,false,9.375,5600000,0.9414242162073083,8.825852026943515
1316,1325,1.066,5000000,0.6,false,9.375,5000000,0.9584160682174175,8.98515063953829
1326,1348,1.066,5600000,0.6,false,9.375,5600000,0.9759371210452121,9.149410509798864
1349,1351,1.066,3000000,0.6,true,9.375,3000000,0.7738095238095237,7.254464285714285
1352,1377,1.066,3000000,0.6,false,9.375,3000000,0.9772932101834819,9.162123845470143
1378,1400,1.066,2400000,0.6,false,9.375,2400000,1.0457803066498719,9.804190374842548
1401,1430,1.066,2400000,0.6,false,9.375,2400000,1.0418981018981017,9.767794705294703
1431,1450,1.066,2200000,0.6,false,9.375,2200000,1.2112622100122101,11.35558321886447
1451,1490,1.066,2600000,0.6,false,9.375,2600000,1.0523363095238094,9.865652901785714
1491,1522,1.066,2800000,0.6,false,9.375,2800000,1.0085309757644318,9.454977897791549
1523,1541,1.066,3400000,0.6,false,9.375,3400000,1.0064660639452885,9.43561934948708
1542,1560,1.066,3800000,0.6,false,9.375,3800000,0.9925745736891249,9.305386628335546
1561,1600,1.066,5000000,0.6,false,9.375,5000000,1.0152998214282536,9.518435825889878
1601,1650,1.066,6200000,0.6,false,9.375,6200000,0.9684052293679574,9.078799025324601
1651,1700,1.066,6200000,0.6,false,9.375,6200000,0.96641838517016,9.06017236097025
1701,1801,1.066,11200000,0.6,false,9.375,11200000,0.9883917450666696,9.266172610000028
1802,1811,1.066,12400000,0.6,false,9.375,12400000,0.9964745365275027,9.341948779945339
1812,1821,1.066,13400000,0.6,false,9.375,13400000,0.9649292795070415,9.046211995378515
1822,1831,1.066,15800000,0.6,false,9.375,15800000,0.9802465752199572,9.189811642687099
1832,1841,1.066,20200000,0.6,false,9.375,20200000,1.0149996212614671,9.515621449326254
1842,1851,1.066,27400000,0.6,false,9.375,27400000,1.0362145900349657,9.714511781577803
1852,1861,1.066,29000000,0.6,false,9.375,29000000,0.9544110025781201,8.947603149169876
1862,1871,1.066,31400000,0.6,false,9.375,31400000,0.9558799768450937,8.961374782922753
1872,1881,1.066,35000000,0.6,false,9.375,35000000,0.9577029604874949,8.978465254570265
1882,1891,1.066,37800000,0.6,false,9.375,37800000,0.9802206445259959,9.18956854243121
1892,1901,1.066,38200000,0.6,false,9.375,38200000,0.9417607889934221,8.829007396813331
1902,1911,1.003,42000000,0.13,false,9.375,42000000,0.9590617954441585,8.991204332288985
1912,1921,1.003,44000000,0.13,false,9.375,44000000,0.951786239998824,8.922995999988974
1922,1931,1.003,45000000,0.13,false,9.375,45000000,0.9477274489581463,8.884944833982622
1932,1941,1.003,50200000,0.13,false,9.375,50200000,0.9970076881517371,9.346947076422536
1942,1951,1.003,52800000,0.13,false,9.375,52800000,0.9838284617428874,9.223391828839569
1952,1961,1.003,55800000,0.13,false,9.375,55800000,0.9798617353181646,9.186203768607793
1962,1971,1.003,56200000,0.13,false,9.375,56200000,0.9682085200972667,9.076954875911875
1972,1981,1.003,57400000,0.13,false,9.375,57400000,0.9675679868247593,9.070949876482118
1982,1991,1.003,59200000,0.13,false,9.375,59200000,0.9562235178924625,8.964595480241837
1992,2001,1.003,63200000,0.13,false,9.375,63200000,0.9706485018082281,9.099829704452139
2002,2011,1.003,65600000,0.13,false,9.375,65600000,0.9894905422661967,9.276473833745595
2012,2015,1.003,66200000,0.13,false,9.375,66200000,0.9687084951337956,9.081642141879334
