"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","3.0","1500","5.652503975804937","16.95751192741481"
"1","43","1.066","2000","0.6","false","2.25","2000","3.940560677017027","8.86626152328831"
"44","200","1.066","4500","0.6","false","1.6875","4500","3.5325555609212445","5.9611875090546"
"201","410","1.066","3000","0.6","false","1.265625","3000","3.357423226975915","4.249238771641393"
"411","430","1.066","1250","0.6","false","1.265625","1250","0.928498142973463","1.1751304622007892"
"431","500","1.066","1300","0.6","false","1.265625","1300","0.9489027406077049","1.2009550310816264"
"501","750","1.066","1300","0.6","false","1.265625","1300","0.9263119216458113","1.1723635258329799"
"751","950","1.066","1400","0.6","false","1.265625","1400","0.9218024342828066","1.1666562058891772"
"951","1066","1.066","1500","0.6","false","1.265625","1500","0.9189668193316425","1.16306738071661"
"1067","1086","1.066","2000","0.6","false","1.265625","2000","0.9559578603746578","1.2098841670366762"
"1087","1190","1.066","3700","0.6","false","1.265625","3700","0.9498815074944069","1.2021937829226088"
"1191","1220","1.066","4800","0.6","false","1.265625","4800","0.9371892829680945","1.1861301862564946"
"1221","1250","1.066","5000","0.6","false","1.265625","5000","0.9156154837726855","1.1588258466498051"
"1251","1279","1.066","5300","0.6","false","1.265625","5300","0.9164582054140844","1.1598924162272006"
"1280","1290","1.066","5700","0.6","false","1.265625","5700","0.9209898516366889","1.1656277809776845"
"1291","1315","1.066","5600","0.6","false","1.265625","5600","0.9133345404095579","1.1559390277058466"
"1316","1325","1.066","5000","0.6","false","1.265625","5000","0.9064476677241332","1.1472228294633562"
"1326","1348","1.066","5700","0.6","false","1.265625","5700","0.9227381006186927","1.167840408595533"
"1349","1351","1.066","3000","0.6","true","1.265625","3000","0.7660391952571407","0.9695183564973187"
"1352","1377","1.066","3000","0.6","false","1.265625","3000","0.9143858066765052","1.157269536574952"
"1378","1400","1.066","2500","0.6","false","1.265625","2500","0.9077442521304724","1.148863819102629"
"1401","1430","1.066","2400","0.6","false","1.265625","2400","0.9135112759501544","1.1561627086244142"
"1431","1450","1.066","2300","0.6","false","1.265625","2300","0.9133501324693482","1.1559587614065188"
"1451","1490","1.066","2600","0.6","false","1.265625","2600","0.9160047111141847","1.15931846250389"
"1491","1522","1.066","2800","0.6","false","1.265625","2800","0.9144583674340364","1.1573613712837023"
"1523","1541","1.066","3400","0.6","false","1.265625","3400","0.9297033098576509","1.1766557515385894"
"1542","1560","1.066","3800","0.6","false","1.265625","3800","0.9205177224175949","1.1650302424347685"
"1561","1600","1.066","5000","0.6","false","1.265625","5000","0.9287326935194239","1.1754273152355208"
"1601","1650","1.066","6300","0.6","false","1.265625","6300","0.9216772833887383","1.166497811788872"
"1651","1700","1.066","6200","0.6","false","1.265625","6200","0.9117788006734989","1.153970044602397"
"1701","1801","1.066","11300","0.6","false","1.265625","11300","0.9423965283429279","1.192720606184018"
"1802","1811","1.066","12500","0.6","false","1.265625","12500","0.9225961709561379","1.167660778866362"
"1812","1821","1.066","13400","0.6","false","1.265625","13400","0.9188031554807926","1.162860243655378"
"1822","1831","1.066","15800","0.6","false","1.265625","15800","0.9345353248204041","1.182771270475824"
"1832","1841","1.066","20200","0.6","false","1.265625","20200","0.9642109190644348","1.2203294444409254"
"1842","1851","1.066","27400","0.6","false","1.265625","27400","0.994015701178627","1.2580511218041999"
"1852","1861","1.066","29000","0.6","false","1.265625","29000","0.9164864037313812","1.1599281047225294"
"1862","1871","1.066","31500","0.6","false","1.265625","31500","0.9188923376832143","1.1629731148803182"
"1872","1881","1.066","35000","0.6","false","1.265625","35000","0.9244490704984136","1.1700058548495547"
"1882","1891","1.066","37800","0.6","false","1.265625","37800","0.917892233394132","1.1617073578894483"
"1892","1901","1.066","38200","0.6","false","1.265625","38200","0.9103419075580079","1.1521514767531038"
"1902","1911","1.003","42100","0.13","false","1.265625","42100","0.9414559118700849","1.1915301384605763"
"1912","1921","1.003","44000","0.13","false","1.265625","44000","0.9013967650308427","1.1408302807421602"
"1922","1931","1.003","45000","0.13","false","1.265625","45000","0.9019181388134448","1.1414901444357661"
"1932","1941","1.003","50200","0.13","false","1.265625","50200","0.9625950344395495","1.218284340462555"
"1942","1951","1.003","52800","0.13","false","1.265625","52800","0.95855620727516","1.2131726998326244"
"1952","1961","1.003","55900","0.13","false","1.265625","55900","0.9497872911998083","1.2020745404247575"
"1962","1971","1.003","56300","0.13","false","1.265625","56300","0.9152440312691021","1.1583557270749574"
"1972","1981","1.003","57400","0.13","false","1.265625","57400","0.9198304326422413","1.1641603913128367"
"1982","1991","1.003","59300","0.13","false","1.265625","59300","0.9199717064065256","1.164339190920759"
"1992","2001","1.003","63200","0.13","false","1.265625","63200","0.9426735198223095","1.1930711735251105"
"2002","2011","1.003","65600","0.13","false","1.265625","65600","0.9267343096686321","1.1728981106743626"
"2012","2015","1.003","66270","0.13","false","1.265625","66270","0.9159646122096947","1.159267712327895"
