"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","4.00049999","1500","1.3146289188526141","5.259172976723593"
"1","43","1.066","2000","0.6","false","2.00074999","2000","2.161074444400382","4.32376967302332"
"44","200","1.066","4500","0.6","false","1.50081249","4500","4.249753009767634","6.3780823964743565"
"201","410","1.066","3000","0.6","false","1.50081249","3000","0.9696527609598556","1.4552669746115356"
"411","430","1.066","1250","0.6","false","1.50081249","1250","0.8802321767453225","1.3210634449592675"
"431","500","1.066","1300","0.6","false","1.50081249","1300","0.8968735045518443","1.3460389575814797"
"501","750","1.066","1300","0.6","false","1.50081249","1300","0.869926477042511","1.3055965221270989"
"751","950","1.066","1400","0.6","false","1.50081249","1400","0.8562188039029262","1.2850238750703722"
"951","1066","1.066","1500","0.6","false","1.50081249","1500","0.854010350790836","1.281709401056168"
"1067","1086","1.066","2000","0.6","false","1.50081249","2000","0.8933913821509656","1.3408129447905321"
"1087","1190","1.066","3700","0.6","false","1.50081249","3700","0.8938057280501741","1.3414348002912446"
"1191","1220","1.066","4800","0.6","false","1.50081249","4800","0.8805216296519837","1.3214978594968514"
"1221","1250","1.066","5000","0.6","false","1.50081249","5000","0.8572722334862568","1.2866048753463704"
"1251","1279","1.066","5300","0.6","false","1.50081249","5300","0.8583557312320546","1.2882310022961505"
"1280","1290","1.066","5700","0.6","false","1.50081249","5700","0.8639235104721671","1.2965871949212742"
"1291","1315","1.066","5600","0.6","false","1.50081249","5600","0.854493504374944","1.2824345239897854"
"1316","1325","1.066","5000","0.6","false","1.50081249","5000","0.846379192465543","1.2702564633284008"
"1326","1348","1.066","5700","0.6","false","1.50081249","5700","0.8648624463607962","1.297996361630238"
"1349","1351","1.066","3000","0.6","true","1.50081249","3000","0.709969195780428","1.0655306365425217"
"1352","1377","1.066","3000","0.6","false","1.50081249","3000","0.8525114738955396","1.2794598678907347"
"1378","1400","1.066","2500","0.6","false","1.50081249","2500","0.8451552784281663","1.2684195978544195"
"1401","1430","1.066","2400","0.6","false","1.50081249","2400","0.8496513184904054","1.2751673109353683"
"1431","1450","1.066","2300","0.6","false","1.50081249","2300","0.8475753802132602","1.2720517168405596"
"1451","1490","1.066","2600","0.6","false","1.50081249","2600","0.8561873909464284","1.2849767301129125"
"1491","1522","1.066","2800","0.6","false","1.50081249","2800","0.8547487529233216","1.2828176041992452"
"1523","1541","1.066","3400","0.6","false","1.50081249","3400","0.8797809665033901","1.3203862629925593"
"1542","1560","1.066","3800","0.6","false","1.50081249","3800","0.8632700502522157","1.295606473661453"
"1561","1600","1.066","5000","0.6","false","1.50081249","5000","0.8755576327044372","1.3140478308776518"
"1601","1650","1.066","6300","0.6","false","1.50081249","6300","0.8667818197410903","1.3008769811723568"
"1651","1700","1.066","6200","0.6","false","1.50081249","6200","0.8524372711985686","1.279348503556329"
"1701","1801","1.066","11300","0.6","false","1.50081249","11300","0.8912290707292494","1.3375677208015508"
"1802","1811","1.066","12500","0.6","false","1.50081249","12500","0.8717086481753735","1.3082712268226162"
"1812","1821","1.066","13400","0.6","false","1.50081249","13400","0.8656243395022875","1.2991398203730333"
"1822","1831","1.066","15800","0.6","false","1.50081249","15800","0.8888142739351206","1.3339435636121104"
"1832","1841","1.066","20200","0.6","false","1.50081249","20200","0.9190119517900804","1.3792646157058306"
"1842","1851","1.066","27400","0.6","false","1.50081249","27400","0.9524391309565831","1.4294325437043855"
"1852","1861","1.066","29000","0.6","false","1.50081249","29000","0.8752387150202438","1.3135691952339323"
"1862","1871","1.066","31500","0.6","false","1.50081249","31500","0.8778133803897685","1.3174332851780857"
"1872","1881","1.066","35000","0.6","false","1.50081249","35000","0.8813735760358574","1.3227764712705794"
"1882","1891","1.066","37800","0.6","false","1.50081249","37800","0.8757146507994236","1.3142834855957632"
"1892","1901","1.066","38200","0.6","false","1.50081249","38200","0.8645141074766836","1.297473570282209"
"1902","1911","1.003","42100","0.13","false","1.50081249","42100","0.9307307254096857","1.3968522975216167"
"1912","1921","1.003","44000","0.13","false","1.50081249","44000","0.9035886519819625","1.3561171347167924"
"1922","1931","1.003","45000","0.13","false","1.50081249","45000","0.8993283077227373","1.3497231568408476"
"1932","1941","1.003","50200","0.13","false","1.50081249","50200","1.0008812966385956","1.5021351510025993"
"1942","1951","1.003","52800","0.13","false","1.50081249","52800","1.0898963119307905","1.6357299977506663"
"1952","1961","1.003","55900","0.13","false","1.50081249","55900","1.1492265650801337","1.7247735827120623"
"1962","1971","1.003","56300","0.13","false","1.50081249","56300","1.0747499673703982","1.612998174656586"
"1972","1981","1.003","57400","0.13","false","1.50081249","57400","1.090258450695453","1.6362735001317847"
"1982","1991","1.003","59300","0.13","false","1.50081249","59300","1.1111273494611844","1.6675938040519402"
"1992","2001","1.003","63200","0.13","false","1.50081249","63200","1.1618135208111364","1.7436642430842284"
"2002","2011","1.003","65600","0.13","false","1.50081249","65600","1.1828560428149397","1.7752451229286361"
"2012","2015","1.003","66270","0.13","false","1.50081249","66270","1.1719907149671491","1.7589383031867274"
