"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.0","1500","1.1199236973233844","1.1199236973233844"
"1","43","1.066","2000","0.6","false","1.0","2000","1.0546810284003325","1.0546810284003325"
"44","200","1.066","4500","0.6","false","1.0","4500","1.0571362236099768","1.0571362236099768"
"201","410","1.066","3000","0.6","false","1.0","3000","1.0007297056713762","1.0007297056713762"
"411","430","1.066","1250","0.6","false","1.0","1250","0.97084876813944","0.97084876813944"
"431","500","1.066","1300","0.6","false","1.0","1300","0.999875635789607","0.999875635789607"
"501","750","1.066","1300","0.6","false","1.0","1300","0.9970124623381874","0.9970124623381874"
"751","950","1.066","1400","0.6","false","1.0","1400","0.9970951961269641","0.9970951961269641"
"951","1066","1.066","1500","0.6","false","1.0","1500","0.9979844324222028","0.9979844324222028"
"1067","1086","1.066","2000","0.6","false","1.0","2000","1.0298977485536298","1.0298977485536298"
"1087","1190","1.066","3700","0.6","false","1.0","3700","1.0294564309572636","1.0294564309572636"
"1191","1220","1.066","4800","0.6","false","1.0","4800","1.0184000429717255","1.0184000429717255"
"1221","1250","1.066","5000","0.6","false","1.0","5000","0.9962342383761152","0.9962342383761152"
"1251","1279","1.066","5300","0.6","false","1.0","5300","0.9980762148571307","0.9980762148571307"
"1280","1290","1.066","5700","0.6","false","1.0","5700","1.0047774687406448","1.0047774687406448"
"1291","1315","1.066","5600","0.6","false","1.0","5600","0.9942220579054868","0.9942220579054868"
"1316","1325","1.066","5000","0.6","false","1.0","5000","0.9850469956581032","0.9850469956581032"
"1326","1348","1.066","5700","0.6","false","1.0","5700","1.0041335858572193","1.0041335858572193"
"1349","1351","1.066","3000","0.6","true","1.0","3000","0.8501408114281043","0.8501408114281043"
"1352","1377","1.066","3000","0.6","false","1.0","3000","0.9946314084882537","0.9946314084882537"
"1378","1400","1.066","2500","0.6","false","1.0","2500","0.9872342826013478","0.9872342826013478"
"1401","1430","1.066","2400","0.6","false","1.0","2400","0.9976624421141721","0.9976624421141721"
"1431","1450","1.066","2300","0.6","false","1.0","2300","0.9935001239605118","0.9935001239605118"
"1451","1490","1.066","2600","0.6","false","1.0","2600","0.9986185367746762","0.9986185367746762"
"1491","1522","1.066","2800","0.6","false","1.0","2800","0.9992309318391505","0.9992309318391505"
"1523","1541","1.066","3400","0.6","false","1.0","3400","1.016710803080306","1.016710803080306"
"1542","1560","1.066","3800","0.6","false","1.0","3800","1.0060123098118143","1.0060123098118143"
"1561","1600","1.066","5000","0.6","false","1.0","5000","1.0153395339919915","1.0153395339919915"
"1601","1650","1.066","6300","0.6","false","1.0","6300","1.0060620922577095","1.0060620922577095"
"1651","1700","1.066","6200","0.6","false","1.0","6200","0.9952351320649462","0.9952351320649462"
"1701","1801","1.066","11300","0.6","false","1.0","11300","1.0285158831087196","1.0285158831087196"
"1802","1811","1.066","12500","0.6","false","1.0","12500","1.0091088247234756","1.0091088247234756"
"1812","1821","1.066","13400","0.6","false","1.0","13400","1.0029326806411691","1.0029326806411691"
"1822","1831","1.066","15800","0.6","false","1.0","15800","1.0243893127409964","1.0243893127409964"
"1832","1841","1.066","20200","0.6","false","1.0","20200","1.0550810438007034","1.0550810438007034"
"1842","1851","1.066","27400","0.6","false","1.0","27400","1.0827223570286795","1.0827223570286795"
"1852","1861","1.066","29000","0.6","false","1.0","29000","1.000065832221743","1.000065832221743"
"1862","1871","1.066","31500","0.6","false","1.0","31500","1.005379007778747","1.005379007778747"
"1872","1881","1.066","35000","0.6","false","1.0","35000","1.0100890218289529","1.0100890218289529"
"1882","1891","1.066","37800","0.6","false","1.0","37800","1.004126265840997","1.004126265840997"
"1892","1901","1.066","38200","0.6","false","1.0","38200","0.9968532901628405","0.9968532901628405"
"1902","1911","1.003","42100","0.13","false","1.0","42100","1.0280044693907602","1.0280044693907602"
"1912","1921","1.003","44000","0.13","false","1.0","44000","0.987096601291692","0.987096601291692"
"1922","1931","1.003","45000","0.13","false","1.0","45000","0.9880356271677309","0.9880356271677309"
"1932","1941","1.003","50200","0.13","false","1.0","50200","1.0471097736237183","1.0471097736237183"
"1942","1951","1.003","52800","0.13","false","1.0","52800","1.0247761031423874","1.0247761031423874"
"1952","1961","1.003","55900","0.13","false","1.0","55900","1.0137270187949698","1.0137270187949698"
"1962","1971","1.003","56300","0.13","false","1.0","56300","1.000039800365378","1.000039800365378"
"1972","1981","1.003","57400","0.13","false","1.0","57400","1.0027950078183303","1.0027950078183303"
"1982","1991","1.003","59300","0.13","false","1.0","59300","1.0030560071303483","1.0030560071303483"
"1992","2001","1.003","63200","0.13","false","1.0","63200","1.023060024187977","1.023060024187977"
"2002","2011","1.003","65600","0.13","false","1.0","65600","1.0076398440308176","1.0076398440308176"
"2012","2015","1.003","66270","0.13","false","1.0","66270","0.9997265535572486","0.9997265535572486"
