"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.0","1500","1.003565812101332","1.003565812101332"
"1","43","1.066","2000","0.6","false","1.0","2000","1.0128291008095118","1.0128291008095118"
"44","200","1.066","4500","0.6","false","1.0","4500","1.0316305621300415","1.0316305621300415"
"201","410","1.066","3000","0.6","false","1.0","3000","0.988353819678581","0.988353819678581"
"411","430","1.066","1250","0.6","false","1.0","1250","0.9577222762324707","0.9577222762324707"
"431","500","1.066","1300","0.6","false","1.0","1300","0.989075328369129","0.989075328369129"
"501","750","1.066","1300","0.6","false","1.0","1300","0.9913288895529749","0.9913288895529749"
"751","950","1.066","1400","0.6","false","1.0","1400","0.9904397369019969","0.9904397369019969"
"951","1066","1.066","1500","0.6","false","1.0","1500","0.9903512359511208","0.9903512359511208"
"1067","1086","1.066","2000","0.6","false","1.0","2000","1.0305155298478998","1.0305155298478998"
"1087","1190","1.066","3700","0.6","false","1.0","3700","1.0243959141855103","1.0243959141855103"
"1191","1220","1.066","4800","0.6","false","1.0","4800","1.012007703831591","1.012007703831591"
"1221","1250","1.066","5000","0.6","false","1.0","5000","0.9923164407348132","0.9923164407348132"
"1251","1279","1.066","5300","0.6","false","1.0","5300","0.9911967786272974","0.9911967786272974"
"1280","1290","1.066","5700","0.6","false","1.0","5700","1.0001995655289975","1.0001995655289975"
"1291","1315","1.066","5600","0.6","false","1.0","5600","0.990017501859076","0.990017501859076"
"1316","1325","1.066","5000","0.6","false","1.0","5000","0.9802074868066131","0.9802074868066131"
"1326","1348","1.066","5700","0.6","false","1.0","5700","0.9996388175328517","0.9996388175328517"
"1349","1351","1.066","3000","0.6","true","1.0","3000","0.8367073724921313","0.8367073724921313"
"1352","1377","1.066","3000","0.6","false","1.0","3000","0.9915929513759193","0.9915929513759193"
"1378","1400","1.066","2500","0.6","false","1.0","2500","0.9829405385346979","0.9829405385346979"
"1401","1430","1.066","2400","0.6","false","1.0","2400","0.9908834602654051","0.9908834602654051"
"1431","1450","1.066","2300","0.6","false","1.0","2300","0.9855264160448638","0.9855264160448638"
"1451","1490","1.066","2600","0.6","false","1.0","2600","0.9951344177555423","0.9951344177555423"
"1491","1522","1.066","2800","0.6","false","1.0","2800","0.993102890877092","0.993102890877092"
"1523","1541","1.066","3400","0.6","false","1.0","3400","1.0086736736436046","1.0086736736436046"
"1542","1560","1.066","3800","0.6","false","1.0","3800","0.9974794865390502","0.9974794865390502"
"1561","1600","1.066","5000","0.6","false","1.0","5000","1.0093334972212606","1.0093334972212606"
"1601","1650","1.066","6300","0.6","false","1.0","6300","1.000252251921914","1.000252251921914"
"1651","1700","1.066","6200","0.6","false","1.0","6200","0.9908763898112629","0.9908763898112629"
"1701","1801","1.066","11300","0.6","false","1.0","11300","1.0240985093999857","1.0240985093999857"
"1802","1811","1.066","12500","0.6","false","1.0","12500","1.0037138860162542","1.0037138860162542"
"1812","1821","1.066","13400","0.6","false","1.0","13400","0.9982937453292371","0.9982937453292371"
"1822","1831","1.066","15800","0.6","false","1.0","15800","1.0195289180951987","1.0195289180951987"
"1832","1841","1.066","20200","0.6","false","1.0","20200","1.0474771729452355","1.0474771729452355"
"1842","1851","1.066","27400","0.6","false","1.0","27400","1.0784804037722995","1.0784804037722995"
"1852","1861","1.066","29000","0.6","false","1.0","29000","0.9974153803516888","0.9974153803516888"
"1862","1871","1.066","31500","0.6","false","1.0","31500","0.9991839608818159","0.9991839608818159"
"1872","1881","1.066","35000","0.6","false","1.0","35000","1.004301220915487","1.004301220915487"
"1882","1891","1.066","37800","0.6","false","1.0","37800","0.9985300927906758","0.9985300927906758"
"1892","1901","1.066","38200","0.6","false","1.0","38200","0.9919075857532322","0.9919075857532322"
"1902","1911","1.003","42100","0.13","false","1.0","42100","1.02182665716693","1.02182665716693"
"1912","1921","1.003","44000","0.13","false","1.0","44000","0.9811097271539587","0.9811097271539587"
"1922","1931","1.003","45000","0.13","false","1.0","45000","0.9825322515596102","0.9825322515596102"
"1932","1941","1.003","50200","0.13","false","1.0","50200","1.038760089492293","1.038760089492293"
"1942","1951","1.003","52800","0.13","false","1.0","52800","1.0183779013333603","1.0183779013333603"
"1952","1961","1.003","55900","0.13","false","1.0","55900","1.0087338995767416","1.0087338995767416"
"1962","1971","1.003","56300","0.13","false","1.0","56300","0.9942748404116093","0.9942748404116093"
"1972","1981","1.003","57400","0.13","false","1.0","57400","0.9970127508712654","0.9970127508712654"
"1982","1991","1.003","59300","0.13","false","1.0","59300","0.9975984559193071","0.9975984559193071"
"1992","2001","1.003","63200","0.13","false","1.0","63200","1.0171320110755042","1.0171320110755042"
"2002","2011","1.003","65600","0.13","false","1.0","65600","1.001877170391055","1.001877170391055"
"2012","2015","1.003","66270","0.13","false","1.0","66270","0.9947314545402672","0.9947314545402672"
