Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1500000,0.6,false,1.0,1500000,1.0712874321392802,1.0712874321392802
1,43,1.066,2000000,0.6,false,1.0,2000000,1.0441063484479138,1.0441063484479138
44,200,1.066,4500000,0.6,false,1.0,4500000,1.0517435746919572,1.0517435746919572
201,410,1.066,3000000,0.6,false,1.0,3000000,1.0006291782194814,1.0006291782194814
411,430,1.066,1200000,0.6,false,1.125,1200000,3.5039530180861425,3.9419471453469104
431,500,1.066,1300000,0.6,false,1.125,1300000,0.9227273182000075,1.0380682329750084
501,750,1.066,1300000,0.6,false,0.984375,1300000,5.342767231134822,5.25928649314834
751,950,1.066,1400000,0.6,false,0.984375,1400000,1.061288770053475,1.0447061330213894
951,1066,1.066,1500000,0.6,false,0.984375,1500000,1.035242753358879,1.0190670853376467
1067,1086,1.066,2000000,0.6,false,0.984375,2000000,1.0681801671504187,1.0514898520386935
1087,1190,1.066,3700000,0.6,false,0.984375,3700000,1.0692045863490605,1.0524982646873564
1191,1220,1.066,4800000,0.6,false,0.984375,4800000,1.0185984934409194,1.002682891980905
1221,1250,1.066,5000000,0.6,false,0.984375,5000000,1.0273971071939612,1.0113440273940555
1251,1279,1.066,5300000,0.6,false,0.984375,5300000,1.0111690471349832,0.9953695307734991
1280,1290,1.066,5700000,0.6,false,0.984375,5700000,1.0067693796031458,0.9910386080468466
1291,1315,1.066,5600000,0.6,false,0.984375,5600000,1.020965117495529,1.0050125375346612
1316,1325,1.066,5000000,0.6,false,0.984375,5000000,0.997251834289008,0.9816697743782422
1326,1348,1.066,5700000,0.6,false,0.984375,5700000,1.0141852161143383,0.9983385721125517
1349,1351,1.066,3000000,0.6,true,0.984375,3000000,0.9235764235764234,0.9091455419580419
1352,1377,1.066,3000000,0.6,false,1.0478509999999999,3000000,4.417905647432428,4.629306850567716
1378,1400,1.066,2500000,0.6,false,1.0478509999999999,2500000,0.9774018711770103,1.0241715281147012
1401,1430,1.066,2400000,0.6,false,0.9168689999999999,2400000,5.512286957564991,5.054045030495655
1431,1450,1.066,2300000,0.6,false,0.9168689999999999,2300000,1.1255692260955419,1.0319995307609933
1451,1490,1.066,2600000,0.6,false,0.9168689999999999,2600000,1.103005186439969,1.0113112622860279
1491,1522,1.066,2800000,0.6,false,0.9168689999999999,2800000,1.0864652289239998,0.9961462879783187
1523,1541,1.066,3400000,0.6,false,0.9168689999999999,3400000,1.1040970328846749,1.0123123424439389
1542,1560,1.066,3800000,0.6,false,1.05226,3800000,3.632160975463655,3.8219777080413855
1561,1600,1.066,5000000,0.6,false,1.05226,5000000,0.9553916775469083,1.0053204466155097
1601,1650,1.066,6300000,0.6,false,1.05226,6300000,0.9578972735641738,1.0079569850806374
1651,1700,1.066,6200000,0.6,false,1.05226,6200000,0.9528971016084532,1.0026955041385108
1701,1801,1.066,11300000,0.6,false,1.05226,11300000,0.9658947369102981,1.0163723958612303
1802,1811,1.066,12500000,0.6,false,1.05226,12500000,0.9562525565350585,1.0062263151395805
1812,1821,1.066,13400000,0.6,false,1.05226,13400000,0.9482092595965403,0.9977626755030555
1822,1831,1.066,15800000,0.6,false,1.05226,15800000,0.9517929061079606,1.0015336033811626
1832,1841,1.066,20200000,0.6,false,1.05226,20200000,1.0183813141673048,1.0716019216456882
1842,1851,1.066,27400000,0.6,false,1.05226,27400000,1.0399577353673053,1.0943059266176007
1852,1861,1.066,29000000,0.6,false,1.05226,29000000,0.9475034318906351,0.9970199612412397
1862,1871,1.066,31500000,0.6,false,1.05226,31500000,0.955235881790065,1.0051565089724137
1872,1881,1.066,35000000,0.6,false,1.05226,35000000,0.9544794777583568,1.0043605752660085
1882,1891,1.066,37800000,0.6,false,1.05226,37800000,0.9595658182077342,1.0097127278672704
1892,1901,1.066,38200000,0.6,false,1.05226,38200000,0.9380533377811038,0.9870760052135442
1902,1911,1.003,42100000,0.13,false,1.05226,42100000,0.9660664596286281,1.0165530928088202
1912,1921,1.003,44000000,0.13,false,1.05226,44000000,0.931560121555383,0.9802434535078673
1922,1931,1.003,45000000,0.13,false,1.05226,45000000,0.9355351847955413,0.9844262535529563
1932,1941,1.003,50200000,0.13,false,1.05226,50200000,0.989055466628594,1.0407435053146044
1942,1951,1.003,52800000,0.13,false,1.05226,52800000,0.9600309080652079,1.0102021233206957
1952,1961,1.003,55900000,0.13,false,1.05226,55900000,0.9597314208578525,1.009886984911884
1962,1971,1.003,56300000,0.13,false,1.05226,56300000,0.9457978310503188,0.9952252257010085
1972,1981,1.003,57400000,0.13,false,1.05226,57400000,0.9443386041303793,0.9936897395822328
1982,1991,1.003,59300000,0.13,false,1.05226,59300000,0.9497237516838416,0.9993563149468392
1992,2001,1.003,63200000,0.13,false,1.05226,63200000,0.9690761943352788,1.0197201162512404
2002,2011,1.003,65600000,0.13,false,1.05226,65600000,0.9514599318788692,1.0011832279188588
2012,2015,1.003,66200000,0.13,false,1.05226,66200000,0.9396834833580585,0.9887913421983506
