"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","2.0","1500","1.5367735613605376","3.073547122721075"
"1","43","1.066","2000","0.6","false","2.0","2000","1.0388222897568664","2.077644579513733"
"44","200","1.066","4500","0.6","false","1.25","4500","4.412891398321641","5.516114247902051"
"201","410","1.066","3000","0.6","false","1.25","3000","0.9739909970146913","1.2174887462683641"
"411","430","1.066","1250","0.6","false","1.25","1250","0.9312880135260564","1.1641100169075704"
"431","500","1.066","1300","0.6","false","1.25","1300","0.9536998561711467","1.1921248202139334"
"501","750","1.066","1300","0.6","false","1.25","1300","0.9448722591696579","1.1810903239620725"
"751","950","1.066","1400","0.6","false","1.25","1400","0.9358543087604575","1.169817885950572"
"951","1066","1.066","1500","0.6","false","1.25","1500","0.9327026427894232","1.165878303486779"
"1067","1086","1.066","2000","0.6","false","1.25","2000","0.9679832580178009","1.2099790725222512"
"1087","1190","1.066","3700","0.6","false","1.25","3700","0.9628124867713461","1.2035156084641827"
"1191","1220","1.066","4800","0.6","false","1.25","4800","0.9503898570668644","1.1879873213335805"
"1221","1250","1.066","5000","0.6","false","1.25","5000","0.9300918146523183","1.1626147683153978"
"1251","1279","1.066","5300","0.6","false","1.25","5300","0.931137134722713","1.1639214184033913"
"1280","1290","1.066","5700","0.6","false","1.25","5700","0.9354004415717253","1.1692505519646565"
"1291","1315","1.066","5600","0.6","false","1.25","5600","0.9270216178554059","1.1587770223192575"
"1316","1325","1.066","5000","0.6","false","1.25","5000","0.9164543198598256","1.145567899824782"
"1326","1348","1.066","5700","0.6","false","1.25","5700","0.9361229477415562","1.1701536846769454"
"1349","1351","1.066","3000","0.6","true","1.25","3000","0.7803495542029188","0.9754369427536486"
"1352","1377","1.066","3000","0.6","false","1.25","3000","0.9257026645081218","1.1571283306351523"
"1378","1400","1.066","2500","0.6","false","1.25","2500","0.9209286819868256","1.1511608524835322"
"1401","1430","1.066","2400","0.6","false","1.25","2400","0.9259842136697066","1.1574802670871334"
"1431","1450","1.066","2300","0.6","false","1.25","2300","0.9237285714683386","1.1546607143354233"
"1451","1490","1.066","2600","0.6","false","1.25","2600","0.9303079093407277","1.1628848866759096"
"1491","1522","1.066","2800","0.6","false","1.25","2800","0.9296712265015192","1.162089033126899"
"1523","1541","1.066","3400","0.6","false","1.25","3400","0.9439193999459925","1.1798992499324905"
"1542","1560","1.066","3800","0.6","false","1.25","3800","0.9331538550037374","1.1664423187546717"
"1561","1600","1.066","5000","0.6","false","1.25","5000","0.943282005635768","1.17910250704471"
"1601","1650","1.066","6300","0.6","false","1.25","6300","0.9354155252648575","1.1692694065810718"
"1651","1700","1.066","6200","0.6","false","1.25","6200","0.9239804407705244","1.1549755509631556"
"1701","1801","1.066","11300","0.6","false","1.25","11300","0.9575583469781033","1.1969479337226292"
"1802","1811","1.066","12500","0.6","false","1.25","12500","0.9348118652868926","1.1685148316086158"
"1812","1821","1.066","13400","0.6","false","1.25","13400","0.9301224328126241","1.16265304101578"
"1822","1831","1.066","15800","0.6","false","1.25","15800","0.9484141454068531","1.1855176817585664"
"1832","1841","1.066","20200","0.6","false","1.25","20200","0.9810273266376093","1.2262841582970117"
"1842","1851","1.066","27400","0.6","false","1.25","27400","1.0040017192415278","1.2550021490519097"
"1852","1861","1.066","29000","0.6","false","1.25","29000","0.9299038265640686","1.1623797832050857"
"1862","1871","1.066","31500","0.6","false","1.25","31500","0.9328122025099883","1.1660152531374854"
"1872","1881","1.066","35000","0.6","false","1.25","35000","0.9369255575750204","1.1711569469687755"
"1882","1891","1.066","37800","0.6","false","1.25","37800","0.9324060840362206","1.1655076050452757"
"1892","1901","1.066","38200","0.6","false","1.25","38200","0.9249745752415421","1.1562182190519277"
"1902","1911","1.003","42100","0.13","false","1.25","42100","0.9543005164726308","1.1928756455907885"
"1912","1921","1.003","44000","0.13","false","1.25","44000","0.9159429135812458","1.1449286419765572"
"1922","1931","1.003","45000","0.13","false","1.25","45000","0.9171902404489382","1.1464878005611727"
"1932","1941","1.003","50200","0.13","false","1.25","50200","0.9754546796773953","1.2193183495967441"
"1942","1951","1.003","52800","0.13","false","1.25","52800","0.9661940361154151","1.207742545144269"
"1952","1961","1.003","55900","0.13","false","1.25","55900","0.9592953858394028","1.1991192322992534"
"1962","1971","1.003","56300","0.13","false","1.25","56300","0.9297355359555339","1.1621694199444175"
"1972","1981","1.003","57400","0.13","false","1.25","57400","0.9331489675848805","1.1664362094811007"
"1982","1991","1.003","59300","0.13","false","1.25","59300","0.9338661507179541","1.1673326883974426"
"1992","2001","1.003","63200","0.13","false","1.25","63200","0.9540935859540267","1.1926169824425334"
"2002","2011","1.003","65600","0.13","false","1.25","65600","0.9383415147289315","1.1729268934111643"
"2012","2015","1.003","66270","0.13","false","1.25","66270","0.930444152904524","1.163055191130655"
