"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","2.500375","1500","3.815780340835918","9.540881769717608"
"1","43","1.066","2000","0.6","false","1.87553124","2000","3.6018754244826665","6.755429881205502"
"44","200","1.066","4500","0.6","false","1.40689842","4500","3.775932481310487","5.312353441982404"
"201","410","1.066","3000","0.6","false","1.40689842","3000","0.953836454075969","1.3419510001778834"
"411","430","1.066","1250","0.6","false","1.40689842","1250","0.8989826213847891","1.264777229633718"
"431","500","1.066","1300","0.6","false","1.40689842","1300","0.9235899902545273","1.29939729801691"
"501","750","1.066","1300","0.6","false","1.40689842","1300","0.9110270861273911","1.2817225680498305"
"751","950","1.066","1400","0.6","false","1.40689842","1400","0.9058509540861966","1.2744402760593627"
"951","1066","1.066","1500","0.6","false","1.40689842","1500","0.9034682637795304","1.2710880728315646"
"1067","1086","1.066","2000","0.6","false","1.40689842","2000","0.9460668656382282","1.3310199784807757"
"1087","1190","1.066","3700","0.6","false","1.40689842","3700","0.9429345212352586","1.3266130880893419"
"1191","1220","1.066","4800","0.6","false","1.40689842","4800","0.9290824777433033","1.3071246699867387"
"1221","1250","1.066","5000","0.6","false","1.40689842","5000","0.903719212745674","1.2714411325355328"
"1251","1279","1.066","5300","0.6","false","1.40689842","5300","0.9042372077778339","1.2721698989278463"
"1280","1290","1.066","5700","0.6","false","1.40689842","5700","0.9093630664403963","1.2793814613813488"
"1291","1315","1.066","5600","0.6","false","1.40689842","5600","0.899463694055412","1.2654540500139226"
"1316","1325","1.066","5000","0.6","false","1.40689842","5000","0.8875287840826621","1.2486628440304186"
"1326","1348","1.066","5700","0.6","false","1.40689842","5700","0.9082576179100231","1.2778262075905753"
"1349","1351","1.066","3000","0.6","true","1.40689842","3000","0.7611236038079134","1.0708235956220595"
"1352","1377","1.066","3000","0.6","false","1.40689842","3000","0.8991898718409204","1.2650688099729934"
"1378","1400","1.066","2500","0.6","false","1.40689842","2500","0.8904721869822229","1.252803912919234"
"1401","1430","1.066","2400","0.6","false","1.40689842","2400","0.8951375237401695","1.2593675678327572"
"1431","1450","1.066","2300","0.6","false","1.40689842","2300","0.8983460359733618","1.263881618624186"
"1451","1490","1.066","2600","0.6","false","1.40689842","2600","0.905044687213411","1.2733059404699423"
"1491","1522","1.066","2800","0.6","false","1.40689842","2800","0.9033448633881096","1.2709144610158474"
"1523","1541","1.066","3400","0.6","false","1.40689842","3400","0.9208689788200154","1.2955691113288932"
"1542","1560","1.066","3800","0.6","false","1.40689842","3800","0.9084320044883557","1.2780715517921006"
"1561","1600","1.066","5000","0.6","false","1.40689842","5000","0.9220248608842443","1.2971953199787631"
"1601","1650","1.066","6300","0.6","false","1.40689842","6300","0.9135598528997534","1.2852859136200956"
"1651","1700","1.066","6200","0.6","false","1.40689842","6200","0.8999880697487633","1.266191793348385"
"1701","1801","1.066","11300","0.6","false","1.40689842","11300","0.9378495232924952","1.3194590125179648"
"1802","1811","1.066","12500","0.6","false","1.40689842","12500","0.9163023099808292","1.2891442721543789"
"1812","1821","1.066","13400","0.6","false","1.40689842","13400","0.9108864576549456","1.28152471807414"
"1822","1831","1.066","15800","0.6","false","1.40689842","15800","0.9344617431129075","1.3146927499359955"
"1832","1841","1.066","20200","0.6","false","1.40689842","20200","0.9635955362771453","1.3556810375073685"
"1842","1851","1.066","27400","0.6","false","1.40689842","27400","0.9981635256474906","1.404314687135084"
"1852","1861","1.066","29000","0.6","false","1.40689842","29000","0.9177741783886944","1.2912150414918524"
"1862","1871","1.066","31500","0.6","false","1.40689842","31500","0.9212082654683907","1.2960464531784195"
"1872","1881","1.066","35000","0.6","false","1.40689842","35000","0.9249968280270933","1.3013765758563294"
"1882","1891","1.066","37800","0.6","false","1.40689842","37800","0.9175857707598276","1.2909499710964838"
"1892","1901","1.066","38200","0.6","false","1.40689842","38200","0.9084152635033715","1.2780479989267772"
"1902","1911","1.003","42100","0.13","false","1.40689842","42100","0.9668918901117646","1.3603186725090552"
"1912","1921","1.003","44000","0.13","false","1.40689842","44000","0.9333022970264085","1.313061527068825"
"1922","1931","1.003","45000","0.13","false","1.40689842","45000","0.931198446988032","1.310101623773916"
"1932","1941","1.003","50200","0.13","false","1.40689842","50200","1.029917237983844","1.448988934850234"
"1942","1951","1.003","52800","0.13","false","1.40689842","52800","1.1007263376629548","1.5486101453103978"
"1952","1961","1.003","55900","0.13","false","1.40689842","55900","1.1356794888350348","1.5977856784684181"
"1962","1971","1.003","56300","0.13","false","1.40689842","56300","1.0599423299359934","1.4912311892780679"
"1972","1981","1.003","57400","0.13","false","1.40689842","57400","1.0779975486423807","1.5166330479488388"
"1982","1991","1.003","59300","0.13","false","1.40689842","59300","1.0954970360761445","1.5412530491702108"
"1992","2001","1.003","63200","0.13","false","1.40689842","63200","1.136893264019188","1.5994933368572386"
"2002","2011","1.003","65600","0.13","false","1.40689842","65600","1.14838822580626","1.6156655804334306"
"2012","2015","1.003","66270","0.13","false","1.40689842","66270","1.1386324123056402","1.601940141833594"
