Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1400000,0.6,false,2.5,1400000,2.6476476682359067,6.619119170589767
1,43,1.066,2000000,0.6,false,2.5,2000000,1.4742524916943531,3.6856312292358826
44,200,1.066,4400000,0.6,false,2.5,4400000,1.267350778041261,3.1683769451031525
201,410,1.066,3000000,0.6,false,2.5,3000000,1.3214123469900794,3.3035308674751986
411,430,1.066,1200000,0.6,false,3.671875,1200000,3.02594155844156,11.110879159902604
431,500,1.066,1200000,0.6,false,3.671875,1200000,0.9164625850340133,3.3651360544217677
501,750,1.066,1200000,0.6,false,2.7539059999999997,1200000,2.8665523809523927,7.8942158012190795
751,950,1.066,1400000,0.6,false,3.335876,1400000,3.795362859362852,12.660859873839913
951,1066,1.066,1400000,0.6,false,3.335876,1400000,1.009770114942529,3.368467891954024
1067,1086,1.066,2000000,0.6,false,3.335876,2000000,1.1393578643578643,3.8007565551226548
1087,1190,1.066,3600000,0.6,false,3.335876,3600000,0.9557907141149334,3.1883993042388674
1191,1220,1.066,4800000,0.6,false,3.335876,4800000,0.9207969519513749,3.0716644528877444
1221,1250,1.066,5000000,0.6,false,3.335876,5000000,0.893722491131448,2.98134740882561
1251,1279,1.066,5200000,0.6,false,3.335876,5200000,0.9045176516346591,3.01735872566442
1280,1290,1.066,5600000,0.6,false,3.335876,5600000,0.9095629756288063,3.0341893008887197
1291,1315,1.066,5600000,0.6,false,3.335876,5600000,0.9092869137183079,3.033268392586974
1316,1325,1.066,5000000,0.6,false,3.335876,5000000,0.9862496601627038,3.2900065713449194
1326,1348,1.066,5600000,0.6,false,3.335876,5600000,0.9380217804599967,3.129124344913772
1349,1351,1.066,3000000,0.6,true,3.335876,3000000,0.7862903225806451,2.622967016129032
1352,1377,1.066,3000000,0.6,false,3.335876,3000000,0.9364143586428656,3.1237621850521275
1378,1400,1.066,2400000,0.6,false,3.335876,2400000,0.8693511518319703,2.9000476429686257
1401,1430,1.066,2400000,0.6,false,3.335876,2400000,0.975158175158175,3.253006752713952
1431,1450,1.066,2200000,0.6,false,3.335876,2200000,0.9063736263736265,3.0235500272527474
1451,1490,1.066,2600000,0.6,false,3.335876,2600000,0.9656043894830658,3.2211365083712113
1491,1522,1.066,2800000,0.6,false,3.335876,2800000,0.989553088863751,3.3010263998664544
1523,1541,1.066,3400000,0.6,false,3.335876,3400000,0.9428824253616498,3.1453388535857187
1542,1560,1.066,3800000,0.6,false,3.335876,3800000,1.005271830665558,3.3534621733932983
1561,1600,1.066,5000000,0.6,false,3.335876,5000000,0.9168096904052012,3.058363442790141
1601,1650,1.066,6200000,0.6,false,3.335876,6200000,0.9005169203180041,3.004012782082742
1651,1700,1.066,6200000,0.6,false,3.335876,6200000,0.9140964023262386,3.049312250206443
1701,1801,1.066,11200000,0.6,false,3.335876,11200000,0.9238190523583736,3.0817458051050415
1802,1811,1.066,12400000,0.6,false,3.335876,12400000,0.8878616343612201,2.9617963173863693
1812,1821,1.066,13400000,0.6,false,3.335876,13400000,0.8932463430213348,2.979759037772638
1822,1831,1.066,15800000,0.6,false,3.335876,15800000,0.9116363161624397,3.0411057078146944
1832,1841,1.066,20200000,0.6,false,3.335876,20200000,0.9614208808422348,3.2071808423004704
1842,1851,1.066,27400000,0.6,false,3.335876,27400000,0.9649196685120799,3.218852364117403
1852,1861,1.066,29000000,0.6,false,3.335876,29000000,0.9006909062555882,3.0045931775962664
1862,1871,1.066,31400000,0.6,false,3.335876,31400000,0.9052279003917146,3.0197280274471114
1872,1881,1.066,35000000,0.6,false,3.335876,35000000,0.8971671034534614,2.992838208399919
1882,1891,1.066,37800000,0.6,false,3.335876,37800000,0.9021026219407119,3.0093024860690942
1892,1901,1.066,38200000,0.6,false,3.335876,38200000,0.8948179198551249,2.9850016232146346
1902,1911,1.003,42000000,0.13,false,3.335876,42000000,0.9700587593000547,3.235995733738829
1912,1921,1.003,44000000,0.13,false,3.335876,44000000,0.8914863466415837,2.9738879080893392
1922,1931,1.003,45000000,0.13,false,3.335876,45000000,0.8948732891194661,2.985186328214688
1932,1941,1.003,50200000,0.13,false,3.335876,50200000,0.9462130325802915,3.1564493462718124
1942,1951,1.003,52800000,0.13,false,3.335876,52800000,0.9746234813394427,3.2512230804366946
1952,1961,1.003,55800000,0.13,false,3.335876,55800000,0.9325739397804924,3.1109510239391898
1962,1971,1.003,56200000,0.13,false,3.335876,56200000,0.9030412054231203,3.012433484182057
1972,1981,1.003,57400000,0.13,false,3.335876,57400000,0.9231507431721246,3.079516408530054
1982,1991,1.003,59200000,0.13,false,3.335876,59200000,0.8989230774618472,2.9986959199511167
1992,2001,1.003,63200000,0.13,false,3.335876,63200000,0.930176821001327,3.1029545329346226
2002,2011,1.003,65600000,0.13,false,3.335876,65600000,0.9226651187182089,3.077896425569224
2012,2015,1.003,66200000,0.13,false,3.335876,66200000,0.8887267129338692,2.964682112234984
