"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","3.0","1500","4.9522923698318015","14.856877109495404"
"1","43","1.066","2000","0.6","false","2.25","2000","3.6713999349093402","8.260649853546015"
"44","200","1.066","4500","0.6","false","1.125","4500","2.131266743860336","2.3976750868428782"
"201","410","1.066","3000","0.6","false","1.125","3000","1.0371896205567093","1.166838323126298"
"411","430","1.066","1250","0.6","false","1.125","1250","0.9748400173131649","1.0966950194773106"
"431","500","1.066","1300","0.6","false","1.125","1300","0.9974731996083618","1.122157349559407"
"501","750","1.066","1300","0.6","false","1.125","1300","0.9798364186966808","1.102315971033766"
"751","950","1.066","1400","0.6","false","1.125","1400","0.970067375671608","1.091325797630559"
"951","1066","1.066","1500","0.6","false","1.125","1500","0.9660666335306528","1.0868249627219844"
"1067","1086","1.066","2000","0.6","false","1.125","2000","1.007980934991482","1.133978551865417"
"1087","1190","1.066","3700","0.6","false","1.125","3700","0.9981698574086255","1.1229410895847036"
"1191","1220","1.066","4800","0.6","false","1.125","4800","0.9843796080951484","1.1074270591070419"
"1221","1250","1.066","5000","0.6","false","1.125","5000","0.9657995474228279","1.0865244908506815"
"1251","1279","1.066","5300","0.6","false","1.125","5300","0.965959668683727","1.086704627269193"
"1280","1290","1.066","5700","0.6","false","1.125","5700","0.9706595232133616","1.0919919636150317"
"1291","1315","1.066","5600","0.6","false","1.125","5600","0.9619950912268438","1.0822444776301992"
"1316","1325","1.066","5000","0.6","false","1.125","5000","0.9530631120695661","1.0721960010782619"
"1326","1348","1.066","5700","0.6","false","1.125","5700","0.9720867322535911","1.0935975737852899"
"1349","1351","1.066","3000","0.6","true","1.125","3000","0.8123493394351601","0.9138930068645551"
"1352","1377","1.066","3000","0.6","false","1.125","3000","0.9613653868543502","1.0815360602111441"
"1378","1400","1.066","2500","0.6","false","1.125","2500","0.9546103559993135","1.0739366504992278"
"1401","1430","1.066","2400","0.6","false","1.125","2400","0.9604558126636583","1.0805127892466155"
"1431","1450","1.066","2300","0.6","false","1.125","2300","0.9615531489587811","1.0817472925786287"
"1451","1490","1.066","2600","0.6","false","1.125","2600","0.965583996701749","1.0862819962894676"
"1491","1522","1.066","2800","0.6","false","1.125","2800","0.9637160913418836","1.084180602759619"
"1523","1541","1.066","3400","0.6","false","1.125","3400","0.9831108801255329","1.1059997401412245"
"1542","1560","1.066","3800","0.6","false","1.125","3800","0.9699352323332409","1.0911771363748959"
"1561","1600","1.066","5000","0.6","false","1.125","5000","0.9783969139363459","1.1006965281783891"
"1601","1650","1.066","6300","0.6","false","1.125","6300","0.9722306422576453","1.093759472539851"
"1651","1700","1.066","6200","0.6","false","1.125","6200","0.9610374838009329","1.0811671692760496"
"1701","1801","1.066","11300","0.6","false","1.125","11300","0.9923564716651133","1.1164010306232526"
"1802","1811","1.066","12500","0.6","false","1.125","12500","0.9732894006858179","1.0949505757715452"
"1812","1821","1.066","13400","0.6","false","1.125","13400","0.9693531891858231","1.090522337834051"
"1822","1831","1.066","15800","0.6","false","1.125","15800","0.9897018383400576","1.113414568132565"
"1832","1841","1.066","20200","0.6","false","1.125","20200","1.0194006811611014","1.1468257663062391"
"1842","1851","1.066","27400","0.6","false","1.125","27400","1.0467076770276151","1.177546136656067"
"1852","1861","1.066","29000","0.6","false","1.125","29000","0.9680548801270182","1.0890617401428955"
"1862","1871","1.066","31500","0.6","false","1.125","31500","0.9711275503481085","1.092518494141622"
"1872","1881","1.066","35000","0.6","false","1.125","35000","0.9744728937211871","1.0962820054363354"
"1882","1891","1.066","37800","0.6","false","1.125","37800","0.9698459514592088","1.09107669539161"
"1892","1901","1.066","38200","0.6","false","1.125","38200","0.962368269473353","1.082664303157522"
"1902","1911","1.003","42100","0.13","false","1.125","42100","0.9933453732468852","1.1175135449027458"
"1912","1921","1.003","44000","0.13","false","1.125","44000","0.9520404044522021","1.0710454550087274"
"1922","1931","1.003","45000","0.13","false","1.125","45000","0.9537960601745908","1.0730205676964146"
"1932","1941","1.003","50200","0.13","false","1.125","50200","1.0140835456705484","1.1408439888793669"
"1942","1951","1.003","52800","0.13","false","1.125","52800","1.0101439302945632","1.1364119215813835"
"1952","1961","1.003","55900","0.13","false","1.125","55900","1.0029401480757352","1.128307666585202"
"1962","1971","1.003","56300","0.13","false","1.125","56300","0.9684875049341981","1.089548443050973"
"1972","1981","1.003","57400","0.13","false","1.125","57400","0.9724232035618255","1.0939761040070537"
"1982","1991","1.003","59300","0.13","false","1.125","59300","0.9728159738551755","1.0944179705870725"
"1992","2001","1.003","63200","0.13","false","1.125","63200","0.9966780400233525","1.1212627950262715"
"2002","2011","1.003","65600","0.13","false","1.125","65600","0.9797673592407804","1.102238279145878"
"2012","2015","1.003","66270","0.13","false","1.125","66270","0.9691200543916678","1.0902600611906264"
