"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","3.00025","1500","3.8547021036214417","11.56506998639023"
"1","43","1.066","2000","0.6","false","3.00025","2000","0.9352404633773583","2.805955200247919"
"44","200","1.066","4500","0.6","false","1.50062499","4500","1.872018753618576","2.809198123428688"
"201","410","1.066","3000","0.6","false","1.50062499","3000","0.9031499133400795","1.3552893296744577"
"411","430","1.066","1250","0.6","false","1.50062499","1250","0.8300282999827111","1.245561209361273"
"431","500","1.066","1300","0.6","false","1.50062499","1300","0.8502425857832606","1.2758952717885796"
"501","750","1.066","1300","0.6","false","1.50062499","1300","0.834288044277372","1.251953488100851"
"751","950","1.066","1400","0.6","false","1.50062499","1400","0.8266347596790833","1.2404687779770767"
"951","1066","1.066","1500","0.6","false","1.50062499","1500","0.8301293734583107","1.2457128827445838"
"1067","1086","1.066","2000","0.6","false","1.50062499","2000","0.8712504670435086","1.3074202233946604"
"1087","1190","1.066","3700","0.6","false","1.50062499","3700","0.8676330022592336","1.3019917653389323"
"1191","1220","1.066","4800","0.6","false","1.50062499","4800","0.8534820504735131","1.280756493456995"
"1221","1250","1.066","5000","0.6","false","1.50062499","5000","0.8333066447255948","1.2504807754082792"
"1251","1279","1.066","5300","0.6","false","1.50062499","5300","0.8307720184008364","1.2466772518050349"
"1280","1290","1.066","5700","0.6","false","1.50062499","5700","0.8377323932794233","1.2571221642876105"
"1291","1315","1.066","5600","0.6","false","1.50062499","5600","0.8253428901955808","1.2385301663463146"
"1316","1325","1.066","5000","0.6","false","1.50062499","5000","0.8143576859718111","1.2220454943678722"
"1326","1348","1.066","5700","0.6","false","1.50062499","5700","0.8346414212026834","1.2524837743458626"
"1349","1351","1.066","3000","0.6","true","1.50062499","3000","0.6980098267559537","1.0474509892955548"
"1352","1377","1.066","3000","0.6","false","1.50062499","3000","0.8247524628382868","1.2376441562991796"
"1378","1400","1.066","2500","0.6","false","1.50062499","2500","0.8165878931751752","1.2253921990301184"
"1401","1430","1.066","2400","0.6","false","1.50062499","2400","0.8207898265762794","1.231697725298131"
"1431","1450","1.066","2300","0.6","false","1.50062499","2300","0.8197817230341349","1.2301849399302813"
"1451","1490","1.066","2600","0.6","false","1.50062499","2600","0.8254895525366119","1.2387502515203577"
"1491","1522","1.066","2800","0.6","false","1.50062499","2800","0.8241807052031922","1.2367861625037333"
"1523","1541","1.066","3400","0.6","false","1.50062499","3400","0.8440898581154862","1.2666623348936528"
"1542","1560","1.066","3800","0.6","false","1.50062499","3800","0.8355651240571218","1.253869905932567"
"1561","1600","1.066","5000","0.6","false","1.50062499","5000","0.8474085343703261","1.2716424234153854"
"1601","1650","1.066","6300","0.6","false","1.50062499","6300","0.8406673949837424","1.2615265011908046"
"1651","1700","1.066","6200","0.6","false","1.50062499","6200","0.8234375350757019","1.2356709428386"
"1701","1801","1.066","11300","0.6","false","1.50062499","11300","0.8607097324211923","1.2916025336074544"
"1802","1811","1.066","12500","0.6","false","1.50062499","12500","0.840138410928712","1.2607326944985142"
"1812","1821","1.066","13400","0.6","false","1.50062499","13400","0.8342439789445633","1.2518873625612454"
"1822","1831","1.066","15800","0.6","false","1.50062499","15800","0.8595311710541085","1.2898339549677598"
"1832","1841","1.066","20200","0.6","false","1.50062499","20200","0.8882004261819174","1.3328557556572356"
"1842","1851","1.066","27400","0.6","false","1.50062499","27400","0.9214296307735843","1.3827203304653135"
"1852","1861","1.066","29000","0.6","false","1.50062499","29000","0.8465850503982575","1.2704066827880345"
"1862","1871","1.066","31500","0.6","false","1.50062499","31500","0.8491433356651867","1.2742457095911375"
"1872","1881","1.066","35000","0.6","false","1.50062499","35000","0.8537115963107356","1.2811009556766815"
"1882","1891","1.066","37800","0.6","false","1.50062499","37800","0.8474892696300454","1.2717635767636941"
"1892","1901","1.066","38200","0.6","false","1.50062499","38200","0.836132120556399","1.254720755048625"
"1902","1911","1.003","42100","0.13","false","1.50062499","42100","0.8984844806796499","1.3482882648350547"
"1912","1921","1.003","44000","0.13","false","1.50062499","44000","0.8731020067444367","1.3101986901398501"
"1922","1931","1.003","45000","0.13","false","1.50062499","45000","0.871715628930243","1.3081182569462895"
"1932","1941","1.003","50200","0.13","false","1.50062499","50200","0.9696069472606789","1.4550164155369867"
"1942","1951","1.003","52800","0.13","false","1.50062499","52800","1.0513187049140584","1.5776351210484718"
"1952","1961","1.003","55900","0.13","false","1.50062499","55900","1.1038033136229493","1.656394836467405"
"1962","1971","1.003","56300","0.13","false","1.50062499","56300","1.0291663584395814","1.5443927563417332"
"1972","1981","1.003","57400","0.13","false","1.50062499","57400","1.0446470324597499","1.5676234426384417"
"1982","1991","1.003","59300","0.13","false","1.50062499","59300","1.070216422623504","1.6059935084972314"
"1992","2001","1.003","63200","0.13","false","1.50062499","63200","1.1141782877270907","1.6719637818786826"
"2002","2011","1.003","65600","0.13","false","1.50062499","65600","1.1365085355943112","1.7054731098611278"
"2012","2015","1.003","66270","0.13","false","1.50062499","66270","1.128718441894171","1.6937831005802557"
