Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1400000,0.6,false,0.390625,1400000,3.4552169508051853,1.3496941214082756
1,43,1.066,2000000,0.6,false,0.390625,2000000,1.2125322997416026,0.4736454295865635
44,200,1.066,4400000,0.6,false,0.390625,4400000,1.177999363438484,0.4601560013431578
201,410,1.066,3000000,0.6,false,0.390625,3000000,1.1766045117753219,0.45961113741223514
411,430,1.066,1200000,0.6,false,0.584411,1200000,3.8473917748917748,2.248458074556277
431,500,1.066,1200000,0.6,false,0.584411,1200000,0.7918367346938768,0.46275809795918327
501,750,1.066,1200000,0.6,false,0.511359,1200000,6.021515151515197,3.0791559663636594
751,950,1.066,1400000,0.6,false,0.511359,1400000,0.9854722222222217,0.5039300900833331
951,1066,1.066,1400000,0.6,false,0.511359,1400000,0.918965517241379,0.4699212879310343
1067,1086,1.066,2000000,0.6,false,0.511359,2000000,0.8915501165501167,0.45590217604895117
1087,1190,1.066,3600000,0.6,false,0.511359,3600000,0.9316295335151401,0.47639714662876853
1191,1220,1.066,4800000,0.6,false,0.511359,4800000,0.8709267617059936,0.4453562379392152
1221,1250,1.066,5000000,0.6,false,0.383519,5000000,3.6382438748142,1.395335652624867
1251,1279,1.066,5200000,0.6,false,0.383519,5200000,1.1513252532995293,0.44155510982018215
1280,1290,1.066,5600000,0.6,false,0.383519,5600000,1.1582177915774752,0.4441985292080017
1291,1315,1.066,5600000,0.6,false,0.383519,5600000,1.1522520725651162,0.4419105626181008
1316,1325,1.066,5000000,0.6,false,0.383519,5000000,1.1354256441499007,0.43545730761872575
1326,1348,1.066,5600000,0.6,false,0.383519,5600000,1.1665016213220374,0.44737553530780644
1349,1351,1.066,3000000,0.6,true,0.383519,3000000,1.005050505050505,0.3854559646464646
1352,1377,1.066,3000000,0.6,false,0.383519,3000000,1.1803773149926995,0.4526971274686851
1378,1400,1.066,2400000,0.6,false,0.383519,2400000,1.464012798795408,0.561476724581216
1401,1430,1.066,2400000,0.6,false,0.383519,2400000,1.1830924630924629,0.45373843835275823
1431,1450,1.066,2200000,0.6,false,0.383519,2200000,1.1853632478632479,0.45460932745726496
1451,1490,1.066,2600000,0.6,false,0.383519,2600000,1.229438131313131,0.4715128826830807
1491,1522,1.066,2800000,0.6,false,0.383519,2800000,1.2747766122766122,0.48890105156371405
1523,1541,1.066,3400000,0.6,false,0.383519,3400000,1.254235895683264,0.48102329647654973
1542,1560,1.066,3800000,0.6,false,0.383519,3800000,1.1932306255835667,0.4576266162931839
1561,1600,1.066,5000000,0.6,false,0.383519,5000000,1.1745840381173616,0.4504752957147324
1601,1650,1.066,6200000,0.6,false,0.383519,6200000,1.1507087359778576,0.441318663713492
1651,1700,1.066,6200000,0.6,false,0.383519,6200000,1.1547961431926945,0.442886262041119
1701,1801,1.066,11200000,0.6,false,0.383519,11200000,1.167428755147277,0.44773110874532857
1802,1811,1.066,12400000,0.6,false,0.383519,12400000,1.1391768399811188,0.4368959624927187
1812,1821,1.066,13400000,0.6,false,0.383519,13400000,1.1449221181728153,0.43909938583951996
1822,1831,1.066,15800000,0.6,false,0.383519,15800000,1.1612817921977787,0.4453736316618999
1832,1841,1.066,20200000,0.6,false,0.383519,20200000,1.2068913142486781,0.46286574994933877
1842,1851,1.066,27400000,0.6,false,0.383519,27400000,1.272836644267676,0.4881570369728948
1852,1861,1.066,29000000,0.6,false,0.383519,29000000,1.1293183446304793,0.4331150422143368
1862,1871,1.066,31400000,0.6,false,0.383519,31400000,1.1257945863235421,0.4317636139522186
1872,1881,1.066,35000000,0.6,false,0.383519,35000000,1.1465755513233966,0.4397335088679977
1882,1891,1.066,37800000,0.6,false,0.383519,37800000,1.124929599669736,0.43143187513573744
1892,1901,1.066,38200000,0.6,false,0.383519,38200000,1.1307434514673553,0.43366159776330865
1902,1911,1.003,42000000,0.13,false,0.383519,42000000,1.1685622407823255,0.4481658220225967
1912,1921,1.003,44000000,0.13,false,0.383519,44000000,1.099928945092231,0.4218436490928273
1922,1931,1.003,45000000,0.13,false,0.383519,45000000,1.1134646982709604,0.4270348676161805
1932,1941,1.003,50200000,0.13,false,0.383519,50200000,1.1669917014182438,0.44756349033622345
1942,1951,1.003,52800000,0.13,false,0.383519,52800000,1.1624686693876314,0.445828821614875
1952,1961,1.003,55800000,0.13,false,0.383519,55800000,1.1424082862355733,0.43813528352878084
1962,1971,1.003,56200000,0.13,false,0.383519,56200000,1.1377411179963817,0.4363453358328543
1972,1981,1.003,57400000,0.13,false,0.383519,57400000,1.1173497659404208,0.4285248648837042
1982,1991,1.003,59200000,0.13,false,0.383519,59200000,1.1320287126635762,0.4341545198520221
1992,2001,1.003,63200000,0.13,false,0.383519,63200000,1.164915438141909,0.44676720392074676
2002,2011,1.003,65600000,0.13,false,0.383519,65600000,1.1428592111013829,0.43830822178239126
2012,2015,1.003,66200000,0.13,false,0.383519,66200000,1.124268631415253,0.4311783812517464
