"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.75","1500","4.734589355842959","8.28553137272518"
"1","43","1.066","2000","0.6","false","1.3125","2000","3.827687389681775","5.02383969895733"
"44","200","1.066","4500","0.6","false","1.1484","4500","5.212634600742325","5.986189575492486"
"201","410","1.066","3000","0.6","false","1.0048000000000001","3000","5.01535367608578","5.039427373730993"
"411","430","1.066","1250","0.6","false","1.0048000000000001","1250","0.9875378764057338","0.9922780582124814"
"431","500","1.066","1300","0.6","false","1.0048000000000001","1300","1.0108301729527158","1.015682157782889"
"501","750","1.066","1300","0.6","false","1.0048000000000001","1300","0.9941891203106448","0.998961228088136"
"751","950","1.066","1400","0.6","false","1.0048000000000001","1400","0.9827459161927794","0.9874630965905049"
"951","1066","1.066","1500","0.6","false","1.0048000000000001","1500","0.9780659210714641","0.9827606374926072"
"1067","1086","1.066","2000","0.6","false","1.0048000000000001","2000","1.0160404986881681","1.0209174930818714"
"1087","1190","1.066","3700","0.6","false","1.0048000000000001","3700","1.009888841782108","1.0147363082226621"
"1191","1220","1.066","4800","0.6","false","1.0048000000000001","4800","0.9963857022786726","1.0011683536496103"
"1221","1250","1.066","5000","0.6","false","1.0048000000000001","5000","0.9740207706719489","0.9786960703711745"
"1251","1279","1.066","5300","0.6","false","1.0048000000000001","5300","0.9747355180641931","0.9794142485509014"
"1280","1290","1.066","5700","0.6","false","1.0048000000000001","5700","0.9782820396603974","0.9829777934507674"
"1291","1315","1.066","5600","0.6","false","1.0048000000000001","5600","0.9713577948135144","0.9760203122286194"
"1316","1325","1.066","5000","0.6","false","1.0048000000000001","5000","0.961984263247567","0.9666017877111555"
"1326","1348","1.066","5700","0.6","false","1.0048000000000001","5700","0.9789804355252067","0.9836795416157279"
"1349","1351","1.066","3000","0.6","true","1.0048000000000001","3000","0.8175278373850582","0.8214519710045066"
"1352","1377","1.066","3000","0.6","false","1.0048000000000001","3000","0.9710953980968108","0.9757566560076756"
"1378","1400","1.066","2500","0.6","false","1.0048000000000001","2500","0.9636654676286672","0.968291061873285"
"1401","1430","1.066","2400","0.6","false","1.0048000000000001","2400","0.9695909182705996","0.9742449546782986"
"1431","1450","1.066","2300","0.6","false","1.0048000000000001","2300","0.9675043150428577","0.9721483357550635"
"1451","1490","1.066","2600","0.6","false","1.0048000000000001","2600","0.9748749417222949","0.979554341442562"
"1491","1522","1.066","2800","0.6","false","1.0048000000000001","2800","0.971257881040844","0.9759199188698402"
"1523","1541","1.066","3400","0.6","false","1.0048000000000001","3400","0.9917395211076686","0.9964998708089855"
"1542","1560","1.066","3800","0.6","false","1.0048000000000001","3800","0.9778632190802702","0.9825569625318556"
"1561","1600","1.066","5000","0.6","false","1.0048000000000001","5000","0.9857085731495646","0.9904399743006826"
"1601","1650","1.066","6300","0.6","false","1.0048000000000001","6300","0.9798109887481953","0.9845140814941867"
"1651","1700","1.066","6200","0.6","false","1.0048000000000001","6200","0.9678027999744289","0.9724482534143063"
"1701","1801","1.066","11300","0.6","false","1.0048000000000001","11300","0.999976982571586","1.0047768720879298"
"1802","1811","1.066","12500","0.6","false","1.0048000000000001","12500","0.9815838265909942","0.9862954289586311"
"1812","1821","1.066","13400","0.6","false","1.0048000000000001","13400","0.9736831404487004","0.9783568195228544"
"1822","1831","1.066","15800","0.6","false","1.0048000000000001","15800","0.9954200777894527","1.0001980941628423"
"1832","1841","1.066","20200","0.6","false","1.0048000000000001","20200","1.023868396056151","1.0287829643572206"
"1842","1851","1.066","27400","0.6","false","1.0048000000000001","27400","1.0522980276103149","1.0573490581428446"
"1852","1861","1.066","29000","0.6","false","1.0048000000000001","29000","0.9730858837142533","0.9777566959560818"
"1862","1871","1.066","31500","0.6","false","1.0048000000000001","31500","0.9764620313185187","0.9811490490688477"
"1872","1881","1.066","35000","0.6","false","1.0048000000000001","35000","0.983240267234007","0.9879598205167304"
"1882","1891","1.066","37800","0.6","false","1.0048000000000001","37800","0.975399103756201","0.9800810194542309"
"1892","1901","1.066","38200","0.6","false","1.0048000000000001","38200","0.9683074016581628","0.9729552771861221"
"1902","1911","1.003","42100","0.13","false","1.0048000000000001","42100","0.9977678215427208","1.002557107086126"
"1912","1921","1.003","44000","0.13","false","1.0048000000000001","44000","0.9580287957611298","0.9626273339807833"
"1922","1931","1.003","45000","0.13","false","1.0048000000000001","45000","0.9596089230851315","0.9642150459159402"
"1932","1941","1.003","50200","0.13","false","1.0048000000000001","50200","1.0216197988107623","1.026523573845054"
"1942","1951","1.003","52800","0.13","false","1.0048000000000001","52800","1.0036328872397136","1.0084503250984642"
"1952","1961","1.003","55900","0.13","false","1.0048000000000001","55900","0.996662241753049","1.0014462205134638"
"1962","1971","1.003","56300","0.13","false","1.0048000000000001","56300","0.9716000272125797","0.9762637073432001"
"1972","1981","1.003","57400","0.13","false","1.0048000000000001","57400","0.9755986106534371","0.9802814839845737"
"1982","1991","1.003","59300","0.13","false","1.0048000000000001","59300","0.9767245686291878","0.981412846558608"
"1992","2001","1.003","63200","0.13","false","1.0048000000000001","63200","0.9973475913141371","1.002134859752445"
"2002","2011","1.003","65600","0.13","false","1.0048000000000001","65600","0.98112284163138","0.9858322312712108"
"2012","2015","1.003","66270","0.13","false","1.0048000000000001","66270","0.9730746243814885","0.9777453825785198"
