"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.75","1500","4.879404007920771","8.53895701386135"
"1","43","1.066","2000","0.6","false","1.75","2000","0.9877558498890754","1.728572737305882"
"44","200","1.066","4500","0.6","false","1.3125","4500","3.394677011463089","4.455513577545304"
"201","410","1.066","3000","0.6","false","0.984375","3000","3.732959660357228","3.6746321656641463"
"411","430","1.066","1250","0.6","false","0.984375","1250","1.083129953666704","1.0662060481406619"
"431","500","1.066","1300","0.6","false","0.984375","1300","1.1138407027238557","1.0964369417437956"
"501","750","1.066","1300","0.6","false","0.984375","1300","1.102338449500062","1.0851144112266236"
"751","950","1.066","1400","0.6","false","0.984375","1400","1.092551101895239","1.0754799909281259"
"951","1066","1.066","1500","0.6","false","0.984375","1500","1.0914535749587824","1.0743996128500515"
"1067","1086","1.066","2000","0.6","false","0.984375","2000","1.1300171305256863","1.1123606128612225"
"1087","1190","1.066","3700","0.6","false","0.984375","3700","1.1260401646347098","1.1084457870622924"
"1191","1220","1.066","4800","0.6","false","0.984375","4800","1.1138118898605152","1.0964085790814446"
"1221","1250","1.066","5000","0.6","false","0.984375","5000","1.0931393011988695","1.076058999617637"
"1251","1279","1.066","5300","0.6","false","0.984375","5300","1.0909860196067322","1.073939363050377"
"1280","1290","1.066","5700","0.6","false","0.984375","5700","1.0974299118113493","1.080282569439297"
"1291","1315","1.066","5600","0.6","false","0.984375","5600","1.0891923417220146","1.0721737113826082"
"1316","1325","1.066","5000","0.6","false","0.984375","5000","1.077684358799345","1.0608455406931052"
"1326","1348","1.066","5700","0.6","false","0.984375","5700","1.0985666176305673","1.0814015142300897"
"1349","1351","1.066","3000","0.6","true","0.984375","3000","0.9171621260981099","0.9028314678778269"
"1352","1377","1.066","3000","0.6","false","0.984375","3000","1.0887536871169146","1.0717419107557127"
"1378","1400","1.066","2500","0.6","false","0.984375","2500","1.0787193022054358","1.0618643131084757"
"1401","1430","1.066","2400","0.6","false","0.984375","2400","1.084696786480216","1.0677483991914625"
"1431","1450","1.066","2300","0.6","false","0.984375","2300","1.085676333980669","1.068712641262221"
"1451","1490","1.066","2600","0.6","false","0.984375","2600","1.0936675633723467","1.0765790076946538"
"1491","1522","1.066","2800","0.6","false","0.984375","2800","1.0921670488280046","1.075101938690067"
"1523","1541","1.066","3400","0.6","false","0.984375","3400","1.1130450532174339","1.0956537242609115"
"1542","1560","1.066","3800","0.6","false","0.984375","3800","1.0964983731822582","1.0793655861012854"
"1561","1600","1.066","5000","0.6","false","0.984375","5000","1.1069946786930744","1.0896978868384952"
"1601","1650","1.066","6300","0.6","false","0.984375","6300","1.098198976976925","1.0810396179616604"
"1651","1700","1.066","6200","0.6","false","0.984375","6200","1.086964336206782","1.0699805184535511"
"1701","1801","1.066","11300","0.6","false","0.984375","11300","1.1256681472948116","1.10807958249333"
"1802","1811","1.066","12500","0.6","false","0.984375","12500","1.1021950791108606","1.0849732809997534"
"1812","1821","1.066","13400","0.6","false","0.984375","13400","1.095589884633087","1.078471292685695"
"1822","1831","1.066","15800","0.6","false","0.984375","15800","1.1193191722518818","1.1018298101854462"
"1832","1841","1.066","20200","0.6","false","0.984375","20200","1.1526230736554868","1.1346133381296197"
"1842","1851","1.066","27400","0.6","false","0.984375","27400","1.1822441959941528","1.163771630431744"
"1852","1861","1.066","29000","0.6","false","0.984375","29000","1.0936619383463917","1.0765734705597294"
"1862","1871","1.066","31500","0.6","false","0.984375","31500","1.0985728019039533","1.081407601874204"
"1872","1881","1.066","35000","0.6","false","0.984375","35000","1.103647365047325","1.0864028749684607"
"1882","1891","1.066","37800","0.6","false","0.984375","37800","1.0957528001958798","1.0786316626928192"
"1892","1901","1.066","38200","0.6","false","0.984375","38200","1.0878520409336914","1.0708543527941023"
"1902","1911","1.003","42100","0.13","false","0.984375","42100","1.1255979273408734","1.1080104597261722"
"1912","1921","1.003","44000","0.13","false","0.984375","44000","1.0767026821870893","1.059879202777916"
"1922","1931","1.003","45000","0.13","false","0.984375","45000","1.0786886465099799","1.0618341364082615"
"1932","1941","1.003","50200","0.13","false","0.984375","50200","1.144464796556296","1.126582534110104"
"1942","1951","1.003","52800","0.13","false","0.984375","52800","1.139611129551096","1.12180470565186"
"1952","1961","1.003","55900","0.13","false","0.984375","55900","1.1255264152814837","1.1079400650427105"
"1962","1971","1.003","56300","0.13","false","0.984375","56300","1.0941251682668445","1.077029462512675"
"1972","1981","1.003","57400","0.13","false","0.984375","57400","1.09988662433309","1.0827008958278854"
"1982","1991","1.003","59300","0.13","false","0.984375","59300","1.1000986503596113","1.0829096089477424"
"1992","2001","1.003","63200","0.13","false","0.984375","63200","1.125385136772456","1.1078009940103866"
"2002","2011","1.003","65600","0.13","false","0.984375","65600","1.109595191696134","1.092257766825882"
"2012","2015","1.003","66270","0.13","false","0.984375","66270","1.096146183723699","1.0790188996030161"
